actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-21T23:40:40.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-21T23:40:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-21T23:40:43.6Z,1,REGULAR,jumpball,recovered,[],1630532,,,1610612753,0,0,2022-10-21T23:40:43Z,40000,,,0,,Jump Ball W. Carter Jr. vs. C. Capela: Tip to F. Wagner,"[1630532, 1628976, 203991]",1610612753.0,ORL,startperiod,F. Wagner,1630532.0,Wagner,F. Wagner,Carter Jr.,1628976.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-10-21T23:40:55.4Z,1,REGULAR,2pt,Jump Shot,[],1628976,24.78646517739816,36.76470588235294,1610612753,0,0,2022-10-21T23:41:01Z,70000,66.0,180.0,1,left,MISS W. Carter Jr. 19' Jump Shot,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Right Center,19.23,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-10-21T23:41:00.4Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,0,0,2022-10-21T23:41:01Z,80000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2022-10-21T23:41:07.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,90.48948751642575,60.5392156862745,1610612737,0,0,2022-10-21T23:41:18Z,90000,53.0,37.0,1,right,MISS J. Collins 6' fadeaway Shot,[1628381],1610612737.0,ATL,fadeaway,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,6.43,Missed,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2022-10-21T23:41:11.6Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2022-10-21T23:41:18Z,100000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M15.00S,2022-10-21T23:41:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,6.521024967148489,52.69607843137255,1610612753,0,0,2022-10-21T23:41:30Z,110000,-13.0,9.0,1,left,MISS W. Carter Jr. driving Layup - blocked,"[1628976, 203991]",1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,1.61,Missed,,,,,Capela,203991.0,,,,,,,,,,,,
12,PT11M15.00S,2022-10-21T23:41:24.8Z,1,REGULAR,block,,[],203991,,,1610612753,0,0,2022-10-21T23:41:27Z,120000,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2022-10-21T23:41:28.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2022-10-21T23:41:30Z,130000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M09.00S,2022-10-21T23:41:30.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629027,59.8718791064389,47.794117647058826,1610612737,0,0,2022-10-21T23:41:43Z,140000,-11.0,325.0,1,right,MISS T. Young 32' running pullup 3PT,[1629027],1610612737.0,ATL,running pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,32.49,Missed,,,,,,,,,,,,,,,,,,
