actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-26T20:10:23.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-26T20:10:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-26T20:10:26.5Z,1,REGULAR,jumpball,recovered,[],1629661,,,1610612751,0,0,2023-02-26T20:10:26Z,40000,False,,,0,,Jump Ball N. Claxton vs. C. Capela: Tip to C. Johnson,"[1629661, 1629651, 203991]",1610612751.0,BKN,startperiod,C. Johnson,1629661.0,Johnson,C. Johnson,Claxton,1629651.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-02-26T20:10:35.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,17.69053876478318,60.5392156862745,1610612751,0,0,2023-02-26T20:10:43Z,70000,False,-53.0,114.0,1,left,MISS S. Dinwiddie 12' pullup Shot,[203915],1610612751.0,BKN,pullup,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),8-16 Center,12.54,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-02-26T20:10:39.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2023-02-26T20:10:43Z,80000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2023-02-26T20:10:56.1Z,1,REGULAR,turnover,bad pass,[],1628381,,,1610612737,0,0,2023-02-26T20:11:03Z,90000,False,,,0,,J. Collins bad pass TURNOVER (1 TO),"[1628381, 1629651]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Right Center,,,,,,,1.0,Claxton,1629651.0,,,,,,,,,,,
10,PT11M26.00S,2023-02-26T20:10:56.1Z,1,REGULAR,steal,,[],1629651,,,1610612751,0,0,2023-02-26T20:10:58Z,100000,False,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2023-02-26T20:11:00.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629651,5.601182654402102,50.73529411764706,1610612751,0,2,2023-02-26T20:11:10Z,110000,False,-4.0,0.0,1,left,N. Claxton running DUNK (2 PTS),[1629651],1610612751.0,BKN,running,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,0.37,Made,,,,,,,,2.0,,,,,,,,,,
12,PT11M10.00S,2023-02-26T20:11:13.7Z,1,REGULAR,foul,personal,['2freethrow'],1627827,,,1610612737,0,2,2023-02-26T20:11:34Z,120000,False,,,0,,D. Finney-Smith shooting personal FOUL (1 PF) (Hunter 2 FT),"[1627827, 1629631]",1610612751.0,BKN,shooting,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,204059.0,1.0,0.0,Hunter,1629631.0,,,,,
14,PT11M10.00S,2023-02-26T20:11:38.5Z,1,REGULAR,freethrow,1 of 2,[],1629631,,,1610612737,1,2,2023-02-26T20:11:38Z,140000,False,,,0,,D. Hunter Free Throw 1 of 2 (1 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
15,PT11M10.00S,2023-02-26T20:11:56.6Z,1,REGULAR,freethrow,2 of 2,[],1629631,,,1610612737,2,2,2023-02-26T20:11:56Z,150000,False,,,0,,D. Hunter Free Throw 2 of 2 (2 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
