actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-08T01:15:34.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-08T01:15:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-08T01:15:36.7Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-11-08T01:15:36Z,40000,,,0,,Jump Ball B. Lopez vs. C. Capela: Tip to G. Antetokounmpo,"[203507, 201572, 203991]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-11-08T01:15:47.2Z,1,REGULAR,3pt,Jump Shot,[],1628960,67.88764783180025,34.068627450980394,1610612749,0,3,2022-11-08T01:15:53Z,70000,-80.0,249.0,1,right,G. Allen 26' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[1628960, 203507]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,26.18,Made,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-11-08T01:16:13.2Z,1,REGULAR,violation,kicked ball,[],203507,,,1610612737,0,3,2022-11-08T01:17:04Z,90000,,,0,,G. Antetokounmpo kicked ball VIOLATION,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,2882.0,,,,,,,,,,,,,
10,PT11M14.00S,2022-11-08T01:16:34.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,7.966491458607096,47.05882352941176,1610612737,0,3,2022-11-08T01:16:40Z,100000,15.0,22.0,1,left,MISS C. Capela Layup - blocked,"[203991, 1628960]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,2.68,Missed,,,,,,Allen,1628960.0,,,,,,,,,,,
11,PT11M14.00S,2022-11-08T01:16:34.0Z,1,REGULAR,block,,[],1628960,,,1610612737,0,3,2022-11-08T01:16:37Z,110000,,,0,,G. Allen BLOCK (1 BLK),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2022-11-08T01:16:38.0Z,1,REGULAR,rebound,offensive,[],1627749,,,1610612737,0,3,2022-11-08T01:16:40Z,120000,,,0,,D. Murray REBOUND (Off:1 Def:0),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,
13,PT11M08.00S,2022-11-08T01:16:40.1Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612737,0,3,2022-11-08T01:16:47Z,130000,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 1628975]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,Carter,1628975.0,,,,
14,PT11M08.00S,2022-11-08T01:16:40.1Z,1,REGULAR,steal,,[],1628975,,,1610612749,0,3,2022-11-08T01:16:41Z,140000,,,0,,J. Carter STEAL (1 STL),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2022-11-08T01:16:48.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203507,92.72339027595268,50.73529411764706,1610612749,0,5,2022-11-08T01:24:29Z,150000,4.0,16.0,1,right,G. Antetokounmpo driving reverse Layup (2 PTS) (G. Allen 1 AST),"[203507, 1628960]",1610612749.0,MIL,driving reverse,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.63,Made,2.0,G. Allen,1628960.0,1.0,,,,,,,,,,,,,,
