actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-19T23:42:43.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-19T23:42:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-19T23:42:46.2Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612737,0,0,2022-10-19T23:42:46Z,40000,,,0,,Jump Ball C. Capela vs. B. Fernando: Tip to J. Collins,"[1628381, 203991, 1628981]",1610612737.0,ATL,startperiod,J. Collins,1628381.0,Collins,J. Collins,Capela,203991.0,Fernando,1628981.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-10-19T23:42:58.7Z,1,REGULAR,2pt,Jump Shot,[],1627749,76.16622864651774,65.44117647058823,1610612737,2,0,2022-10-19T23:43:04Z,70000,77.0,172.0,1,right,D. Murray 18' pullup Jump Shot (2 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Right Center,18.81,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2022-10-19T23:43:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,6.652431011826544,46.32352941176471,1610612745,2,0,2022-10-19T23:43:29Z,80000,18.0,10.0,1,left,MISS J. Green driving Layup,[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.09,Missed,,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2022-10-19T23:43:22.0Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,2,0,2022-10-19T23:43:29Z,90000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M14.00S,2022-10-19T23:43:29.1Z,1,REGULAR,3pt,Jump Shot,[],1629027,55.79829172141918,50.245098039215684,1610612737,2,0,2022-10-19T23:43:40Z,100000,1.0,363.0,1,right,MISS T. Young 36' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,36.3,Missed,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2022-10-19T23:43:30.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,2,0,2022-10-19T23:43:40Z,110000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Center,,,,10.0,,,,,,,,,,,,,,,,
13,PT10M59.00S,2022-10-19T23:43:50.1Z,1,REGULAR,3pt,Jump Shot,[],1631095,27.94021024967148,22.30392156862745,1610612745,2,0,2022-10-19T23:43:56Z,130000,138.0,210.0,1,left,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,25.16,Missed,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2022-10-19T23:43:55.1Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,2,0,2022-10-19T23:43:56Z,140000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M49.00S,2022-10-19T23:43:59.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627749,78.79434954007884,9.803921568627452,1610612737,2,0,2022-10-19T23:44:07Z,150000,-201.0,147.0,1,right,MISS D. Murray 24' running 3PT,[1627749],1610612737.0,ATL,running,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,24.89,Missed,,,,,,,,,,,,,,,,,,
