actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-04-02T22:10:16.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-02T22:10:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-04-02T22:10:18.6Z,1,REGULAR,jumpball,recovered,[],1629029,,,1610612742,0,0,2023-04-02T22:10:18Z,40000,False,,,0,,Jump Ball D. Powell vs. C. Capela: Tip to L. Doncic,"[1629029, 203939, 203991]",1610612742.0,DAL,startperiod,L. Doncic,1629029.0,Doncic,L. Doncic,Powell,203939.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-04-02T22:10:36.4Z,1,REGULAR,3pt,Jump Shot,[],203501,28.728646517739815,23.03921568627451,1610612742,0,0,2023-04-02T22:10:44Z,70000,False,135.0,218.0,1,left,MISS T. Hardaway Jr. 25' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,25.59,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2023-04-02T22:10:40.4Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,0,0,2023-04-02T22:10:44Z,80000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2023-04-02T22:10:43.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630180,78.13731931668858,11.27450980392157,1610612737,0,0,2023-04-02T22:10:50Z,90000,False,-194.0,153.0,1,right,MISS S. Bey 24' running 3PT,[1630180],1610612737.0,ATL,running,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,24.68,Missed,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2023-04-02T22:10:46.1Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,0,0,2023-04-02T22:10:50Z,100000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M20.00S,2023-04-02T22:10:55.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,12.565703022339028,47.30392156862745,1610612742,0,2,2023-04-02T22:11:00Z,110000,False,13.0,66.0,1,left,K. Irving 6' pullup Jump Shot (2 PTS),[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,6.7,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M01.00S,2023-04-02T22:11:13.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,87.07293035479631,55.88235294117647,1610612737,0,2,2023-04-02T22:11:19Z,120000,False,29.0,69.0,1,right,MISS T. Young 7' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,7.5,Missed,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2023-04-02T22:11:14.5Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,0,2,2023-04-02T22:19:12Z,130000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
53,PT11M00.00S,2023-04-02T22:11:18.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,90.22667542706965,50.245098039215684,1610612737,0,2,2023-04-02T22:19:12Z,135000,False,1.0,39.0,1,right,MISS C. Capela tip Layup,[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,3.94,Missed,,,,,,,,,,,,,,,,,,
