actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-10T00:40:37.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-10T00:40:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-10T00:40:39.5Z,1,REGULAR,jumpball,recovered,[],1628470,,,1610612756,0,0,2023-02-10T00:40:39Z,40000,False,,,0,,Jump Ball D. Ayton vs. C. Capela: Tip to T. Craig,"[1628470, 1629028, 203991]",1610612756.0,PHX,startperiod,T. Craig,1628470.0,Craig,T. Craig,Ayton,1629028.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-02-10T00:40:51.0Z,1,REGULAR,2pt,Jump Shot,[],101108,79.05716162943496,74.01960784313727,1610612756,0,2,2023-02-10T00:40:56Z,70000,False,120.0,144.0,1,right,C. Paul 18' pullup Jump Shot (2 PTS),[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,Mid-Range,16-24 Right Center,18.78,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2023-02-10T00:41:07.7Z,1,REGULAR,3pt,Jump Shot,[],1629027,26.49474375821288,83.57843137254902,1610612737,3,2,2023-02-10T00:41:12Z,80000,False,-168.0,197.0,1,left,T. Young 25' 3PT pullup (3 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,25.85,Made,3.0,,,,,,,,,,,,,,,,,
10,PT11M03.00S,2023-02-10T00:41:52.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627814,89.96386333771353,45.83333333333333,1610612756,3,2,2023-02-10T00:41:58Z,100000,False,-21.0,42.0,1,right,MISS D. Lee driving floating bank Shot,[1627814],1610612756.0,PHX,driving floating bank,,,Lee,D. Lee,,,,,In The Paint (Non-RA),0-8 Center,4.67,Missed,,,,,,,,,,,,,,,,,,
11,PT11M01.00S,2023-02-10T00:41:54.8Z,1,REGULAR,rebound,offensive,[],1627814,,,1610612756,3,2,2023-02-10T00:41:59Z,110000,False,,,0,,D. Lee REBOUND (Off:1 Def:0),[1627814],1610612756.0,PHX,,,,Lee,D. Lee,,,,,In The Paint (Non-RA),0-8 Center,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
12,PT10M53.00S,2023-02-10T00:42:03.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629028,93.64323258869908,50.98039215686274,1610612756,3,4,2023-02-10T00:42:12Z,120000,False,5.0,7.0,1,right,D. Ayton DUNK (2 PTS) (D. Lee 1 AST),"[1629028, 1627814]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.88,Made,2.0,,,,,D. Lee,1627814.0,1.0,,,,,,,,,,
14,PT10M35.00S,2023-02-10T00:42:20.7Z,1,REGULAR,3pt,Jump Shot,[],1628381,9.149145860709593,4.901960784313726,1610612737,3,4,2023-02-10T00:42:26Z,140000,False,225.0,34.0,1,left,MISS J. Collins 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,22.8,Missed,,,,,,,,,,,,,,,,,,
15,PT10M32.00S,2023-02-10T00:42:23.7Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,3,4,2023-02-10T00:42:26Z,150000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Right Corner 3,24+ Right,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,
16,PT10M25.00S,2023-02-10T00:42:31.6Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612737,3,4,2023-02-10T00:42:35Z,160000,False,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 101108]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,1.0,Paul,101108.0,,,,,,,
