actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-09T00:10:29.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-09T00:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-09T00:10:31.2Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612742,0,0,2023-01-09T00:10:31Z,40000,False,,,0,,Jump Ball D. Powell vs. K. Williams: Tip to S. Dinwiddie,"[203915, 203939, 1629026]",1610612742.0,DAL,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Powell,203939.0,Williams,1629026.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-01-09T00:10:48.7Z,1,REGULAR,2pt,Jump Shot,[],203915,77.61169513797634,31.862745098039213,1610612742,0,2,2023-01-09T00:11:11Z,70000,False,-91.0,158.0,1,right,S. Dinwiddie 18' pullup Jump Shot (2 PTS),[203915],1610612742.0,DAL,pullup,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,16-24 Left Center,18.22,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2023-01-09T00:11:03.5Z,1,REGULAR,3pt,Jump Shot,[],1629026,30.17411300919842,24.754901960784316,1610612760,3,2,2023-01-09T00:11:07Z,80000,False,126.0,231.0,1,left,K. Williams 26' 3PT  (3 PTS) (J. Giddey 1 AST),"[1629026, 1630581]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,Above the Break 3,24+ Right Center,26.33,Made,3.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,
10,PT10M57.00S,2023-01-09T00:11:32.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612742,3,2,2023-01-09T00:11:39Z,100000,False,,,0,,DAL shot clock Team TURNOVER,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,2530.0,,,,,,,,,,,,,
11,PT10M43.00S,2023-01-09T00:11:56.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629652,21.369908015768726,51.71568627450981,1610612760,3,2,2023-01-09T00:12:02Z,110000,False,-9.0,148.0,1,left,MISS L. Dort 14' pullup Shot,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,Mid-Range,8-16 Center,14.86,Missed,,,,,,,,,,,,,,,,,,
12,PT10M41.00S,2023-01-09T00:11:58.9Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612742,3,2,2023-01-09T00:12:02Z,120000,False,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Mid-Range,8-16 Center,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT10M31.00S,2023-01-09T00:12:12.0Z,1,REGULAR,turnover,traveling,[],1626174,,,1610612742,3,2,2023-01-09T00:12:17Z,130000,False,,,0,,C. Wood traveling TURNOVER (1 TO),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2530.0,,,,,1.0,,,,,,,,
14,PT10M23.00S,2023-01-09T00:12:32.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631114,8.886333771353483,37.745098039215684,1610612760,3,2,2023-01-09T00:12:36Z,140000,False,61.0,31.0,1,left,MISS J. Williams 6' driving floating Shot,[1631114],1610612760.0,OKC,driving floating,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,6.87,Missed,,,,,,,,,,,,,,,,,,
15,PT10M21.00S,2023-01-09T00:12:34.1Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,3,2,2023-01-09T00:12:36Z,150000,False,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
