actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-16T01:10:40.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-16T01:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-16T01:10:48.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612745,0,0,2023-02-16T01:10:48Z,40000,False,,,0,,Jump Ball A. Sengun vs. J. Williams: Tip to Team (HOU),"[1630578, 1631119]",1610612745.0,HOU,startperiod,Team (HOU),Sengun,1630578.0,Williams,1631119.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-02-16T01:11:22.0Z,1,REGULAR,3pt,Jump Shot,[],1630231,94.1688567674113,95.58823529411765,1610612745,0,0,2023-02-16T01:11:26Z,80000,False,228.0,2.0,1,right,MISS K. Martin Jr. 3PT,[1630231],1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,22.79,Missed,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2023-02-16T01:11:26.0Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,0,0,2023-02-16T01:11:26Z,90000,False,,,0,,A. Sengun REBOUND (Off:1 Def:0),[1630578],1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,,,Sengun,A. Sengun,8.0,1.0,0.0,1.0,,,,,,,,,,,,,,
10,PT11M35.00S,2023-02-16T01:11:27.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630578,89.83245729303549,48.77450980392157,1610612745,0,0,2023-02-16T01:12:22Z,100000,False,-6.0,43.0,1,right,MISS A. Sengun driving floating Shot,[1630578],1610612745.0,HOU,driving floating,,,,,,Restricted Area,0-8 Center,4.35,Missed,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2023-02-16T01:11:30.7Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,0,0,2023-02-16T01:11:31Z,110000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,,,Williams,J. Williams,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M27.00S,2023-02-16T01:11:36.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630581,6.1268068331143235,52.94117647058824,1610612760,2,0,2023-02-16T01:11:40Z,120000,False,-15.0,5.0,1,left,J. Giddey running Layup (2 PTS),[1630581],1610612760.0,OKC,running,,,,,,Restricted Area,0-8 Center,1.56,Made,Giddey,J. Giddey,,,,,2.0,,,,,,,,,,,,,
13,PT11M09.00S,2023-02-16T01:11:53.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630231,89.04402102496715,53.18627450980392,1610612745,2,0,2023-02-16T01:11:58Z,130000,False,16.0,50.0,1,right,MISS K. Martin Jr. cutting Layup - blocked,"[1630231, 1628983]",1610612745.0,HOU,cutting,,,,,,In The Paint (Non-RA),0-8 Center,5.29,Missed,Martin Jr.,K. Martin Jr.,,,,,,Gilgeous-Alexander,1628983.0,,,,,,,,,,,
14,PT11M09.00S,2023-02-16T01:11:53.1Z,1,REGULAR,block,,[],1628983,,,1610612745,2,0,2023-02-16T01:11:55Z,140000,False,,,0,,S. Gilgeous-Alexander BLOCK (1 BLK),[1628983],1610612760.0,OKC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2023-02-16T01:11:55.1Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,2,0,2023-02-16T01:11:58Z,150000,False,,,0,,J. Williams REBOUND (Off:0 Def:2),[1631119],1610612760.0,OKC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Williams,J. Williams,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
