actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-28T00:10:52.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-28T00:10:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-10-28T00:10:56.3Z,1,REGULAR,jumpball,recovered,[],1630526,,,1610612760,0,0,2022-10-28T00:10:56Z,40000,,,0,,Jump Ball J. Robinson-Earl vs. I. Zubac: Tip to J. Robinson-Earl,"[1630526, 1630526, 1627826]",1610612760.0,OKC,startperiod,J. Robinson-Earl,1630526.0,Robinson-Earl,J. Robinson-Earl,Robinson-Earl,1630526.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-10-28T00:11:08.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,88.78120893561103,58.82352941176471,1610612760,2,0,2022-10-28T00:12:04Z,70000,44.0,53.0,1,right,S. Gilgeous-Alexander 6' floating Jump Shot (2 PTS),[1628983],1610612760.0,OKC,floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,6.89,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2022-10-28T00:11:26.9Z,1,REGULAR,foul,personal,[],1628983,,,1610612746,2,0,2022-10-28T00:11:35Z,80000,,,0,,S. Gilgeous-Alexander personal FOUL (1 PF),"[1628983, 202704]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,,,,1162.0,1.0,0.0,Jackson,202704.0,,,,,,,,,,,,
10,PT11M23.00S,2022-10-28T00:11:47.8Z,1,REGULAR,foul,personal,['2freethrow'],1630526,,,1610612746,2,0,2022-10-28T00:11:54Z,100000,,,0,,J. Robinson-Earl shooting personal FOUL (1 PF) (Zubac 2 FT),"[1630526, 1627826]",1610612760.0,OKC,shooting,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,,1627539.0,1.0,0.0,Zubac,1627826.0,,,,,,,,,,,,
12,PT11M23.00S,2022-10-28T00:12:09.6Z,1,REGULAR,freethrow,1 of 2,[],1627826,,,1610612746,2,1,2022-10-28T00:12:09Z,120000,,,0,,I. Zubac Free Throw 1 of 2 (1 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2022-10-28T00:12:24.5Z,1,REGULAR,freethrow,2 of 2,[],1627826,,,1610612746,2,2,2022-10-28T00:12:24Z,130000,,,0,,I. Zubac Free Throw 2 of 2 (2 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2022-10-28T00:12:41.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,92.59198423127464,44.36274509803921,1610612760,4,2,2022-10-28T00:12:46Z,140000,-28.0,17.0,1,right,L. Dort cutting Layup (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1629652, 1628983]",1610612760.0,OKC,cutting,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,3.3,Made,2.0,,,,,,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,
16,PT10M49.00S,2022-10-28T00:12:59.0Z,1,REGULAR,turnover,lost ball,[],202331,,,1610612746,4,2,2022-10-28T00:13:06Z,160000,,,0,,P. George lost ball TURNOVER (1 TO),"[202331, 1630544]",1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,Mann,1630544.0,,,,,,
17,PT10M49.00S,2022-10-28T00:12:59.0Z,1,REGULAR,steal,,[],1630544,,,1610612760,4,2,2022-10-28T00:13:01Z,170000,,,0,,T. Mann STEAL (1 STL),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
