actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-22T01:11:05.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-22T01:11:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-12-22T01:11:10.8Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2022-12-22T01:11:10Z,40000,False,,,0,,Jump Ball J. Nurkic vs. A. Pokusevski: Tip to J. Grant,"[203924, 203994, 1630197]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Nurkic,203994.0,Pokusevski,1630197.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-12-22T01:11:26.4Z,1,REGULAR,3pt,Jump Shot,[],203924,94.30026281208936,96.07843137254902,1610612757,0,3,2022-12-22T01:11:30Z,70000,False,230.0,1.0,1,right,J. Grant 3PT  (3 PTS) (A. Simons 1 AST),"[203924, 1629014]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Right Corner 3,24+ Right,23.04,Made,3.0,A. Simons,1629014.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2022-12-22T01:11:49.3Z,1,REGULAR,turnover,out-of-bounds,[],1630197,,,1610612760,0,3,2022-12-22T01:11:57Z,90000,False,,,0,,A. Pokusevski step out-of-bounds TURNOVER (1 TO),[1630197],1610612760.0,OKC,step,,,Pokusevski,A. Pokusevski,,,,,Right Corner 3,24+ Right,,,,,,,1179.0,1.0,,,,,,,,,,,,
10,PT11M06.00S,2022-12-22T01:12:06.4Z,1,REGULAR,turnover,bad pass,[],1628404,,,1610612757,0,3,2022-12-22T01:12:10Z,100000,False,,,0,,J. Hart bad pass TURNOVER (1 TO),"[1628404, 1630197]",1610612757.0,POR,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,1.0,Pokusevski,1630197.0,,,,,,,,,,
11,PT11M06.00S,2022-12-22T01:12:06.4Z,1,REGULAR,steal,,[],1630197,,,1610612760,0,3,2022-12-22T01:12:08Z,110000,False,,,0,,A. Pokusevski STEAL (1 STL),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
12,PT10M49.00S,2022-12-22T01:12:24.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,35.56176084099869,31.372549019607842,1610612760,0,3,2022-12-22T01:12:29Z,120000,False,93.0,282.0,1,left,MISS L. Dort 29' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,29.68,Missed,,,,,,,,,,,,,,,,,,
13,PT10M45.00S,2022-12-22T01:12:28.0Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,0,3,2022-12-22T01:12:29Z,130000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
14,PT10M37.00S,2022-12-22T01:12:37.4Z,1,REGULAR,violation,kicked ball,[],1630197,,,1610612757,0,3,2022-12-22T01:12:43Z,140000,False,,,0,,A. Pokusevski kicked ball VIOLATION,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,1179.0,,,,,,,,,,,,,
16,PT10M24.00S,2022-12-22T01:13:05.3Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612757,0,3,2022-12-22T01:13:08Z,160000,False,,,0,,D. Lillard bad pass TURNOVER (1 TO),"[203081, 1629652]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,Dort,1629652.0,,,,,,,,,,
