actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2022-11-10T01:10:31.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-10T01:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-10T01:10:33.3Z,1,REGULAR,jumpball,recovered,[],1626171,,,1610612749,0,0,2022-11-10T01:10:33Z,40000,False,,,0,,Jump Ball B. Lopez vs. J. Robinson-Earl: Tip to B. Portis,"[1626171, 201572, 1630526]",1610612749.0,MIL,startperiod,B. Portis,1626171.0,Portis,B. Portis,Lopez,201572.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-11-10T01:11:15.1Z,1,REGULAR,2pt,Jump Shot,[],1626171,11.908672798948752,79.16666666666666,1610612749,0,0,2022-11-10T01:11:22Z,80000,False,-146.0,59.0,1,left,MISS B. Portis 15' Jump Shot - blocked,"[1626171, 1630197]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,8-16 Left,15.74,Missed,Pokusevski,1630197.0,,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-11-10T01:11:15.1Z,1,REGULAR,block,,[],1630197,,,1610612749,0,0,2022-11-10T01:11:19Z,90000,False,,,0,,A. Pokusevski BLOCK (1 BLK),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2022-11-10T01:11:15.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,0,0,2022-11-10T01:15:04Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Mid-Range,8-16 Left,,,,,8.0,,,,,,,,,,,,,,,
11,PT11M34.00S,2022-11-10T01:11:21.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612749,0,0,2022-11-10T01:14:41Z,110000,False,,,0,,MIL shot clock Team TURNOVER,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,1627541.0,,,,,,,,,,,,,,
12,PT11M16.00S,2022-11-10T01:11:44.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628983,92.06636005256242,49.754901960784316,1610612760,2,0,2022-11-10T01:15:52Z,120000,False,-1.0,22.0,1,right,S. Gilgeous-Alexander driving Layup (2 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,2.21,Made,,,,,2.0,,,,,,,,,,,,,
13,PT11M02.00S,2022-11-10T01:11:57.6Z,1,REGULAR,turnover,lost ball,[],1630699,,,1610612749,2,0,2022-11-10T01:12:01Z,130000,False,,,0,,M. Beauchamp lost ball TURNOVER (1 TO),"[1630699, 1630197]",1610612749.0,MIL,,,,Beauchamp,M. Beauchamp,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Pokusevski,1630197.0,,,,,,,,,,
14,PT11M02.00S,2022-11-10T01:11:57.6Z,1,REGULAR,steal,,[],1630197,,,1610612760,2,0,2022-11-10T01:18:12Z,140000,False,,,0,,A. Pokusevski STEAL (1 STL),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M58.00S,2022-11-10T01:12:02.7Z,1,REGULAR,foul,personal,['2freethrow'],1628960,,,1610612760,2,0,2022-11-10T01:12:26Z,150000,False,,,0,,G. Allen shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1628960, 1628983]",1610612749.0,MIL,shooting,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,,,2003.0,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,
17,PT10M58.00S,2022-11-10T01:12:53.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628983,,,1610612760,3,0,2022-11-10T01:12:53Z,170000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (3 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
18,PT10M58.00S,2022-11-10T01:13:05.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628983,,,1610612760,4,0,2022-11-10T01:13:05Z,180000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (4 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
19,PT10M45.00S,2022-11-10T01:13:20.9Z,1,REGULAR,3pt,Jump Shot,[],1628975,28.07161629434954,21.07843137254902,1610612749,4,3,2022-11-10T01:13:26Z,190000,False,145.0,211.0,1,left,J. Carter 25' 3PT step back (3 PTS) (G. Allen 1 AST),"[1628975, 1628960]",1610612749.0,MIL,step back,,,Carter,J. Carter,,,,,Above the Break 3,24+ Right Center,25.61,Made,,,,,3.0,,,,,,,,G. Allen,1628960.0,1.0,,,
21,PT10M31.00S,2022-11-10T01:13:41.7Z,1,REGULAR,turnover,out-of-bounds,[],1630197,,,1610612760,4,3,2022-11-10T01:13:47Z,210000,False,,,0,,A. Pokusevski lost ball out-of-bounds TURNOVER (1 TO),[1630197],1610612760.0,OKC,lost ball,,,Pokusevski,A. Pokusevski,,,,,Mid-Range,8-16 Left,,,,,,1628487.0,,1.0,,,,,,,,,,,,
