actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-02T01:10:31.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-02T01:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-03-02T01:10:33.5Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612747,0,0,2023-03-02T01:10:33Z,40000,False,,,0,,Jump Ball M. Bamba vs. J. Williams: Tip to D. Schroder,"[203471, 1628964, 1631119]",1610612747.0,LAL,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Bamba,1628964.0,Williams,1631119.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2023-03-02T01:10:56.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627736,9.149145860709593,35.78431372549019,1610612747,0,2,2023-03-02T01:11:02Z,70000,False,71.0,34.0,1,left,M. Beasley 7' driving floating bank Jump Shot (2 PTS),[1627736],1610612747.0,LAL,driving floating bank,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,7.86,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2023-03-02T01:11:14.0Z,1,REGULAR,turnover,bad pass,[],1631119,,,1610612760,0,2,2023-03-02T01:11:18Z,80000,False,,,0,,J. Williams bad pass TURNOVER (1 TO),"[1631119, 1629020]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Left Corner 3,24+ Left,,,,1.0,Vanderbilt,1629020.0,,,,,,,,,,,,,,
9,PT11M16.00S,2023-03-02T01:11:14.0Z,1,REGULAR,steal,,[],1629020,,,1610612747,0,2,2023-03-02T01:11:15Z,90000,False,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
10,PT11M12.00S,2023-03-02T01:11:18.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629020,6.258212877792378,46.81372549019608,1610612747,0,2,2023-03-02T01:11:26Z,100000,False,16.0,6.0,1,left,MISS J. Vanderbilt running Layup,[1629020],1610612747.0,LAL,running,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,1.71,Missed,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2023-03-02T01:11:18.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,0,2,2023-03-02T01:11:32Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,10.0,,,,,,,,,,,,,
12,PT11M12.00S,2023-03-02T01:11:23.6Z,1,REGULAR,foul,personal,[],1629020,,,1610612760,0,2,2023-03-02T01:11:34Z,120000,False,,,0,,J. Vanderbilt loose ball personal FOUL (1 PF),"[1629020, 1630526]",1610612747.0,LAL,loose ball,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,,,,,,204059.0,1.0,0.0,Robinson-Earl,1630526.0,,,,,,,,
16,PT10M50.00S,2023-03-02T01:12:14.1Z,1,REGULAR,3pt,Jump Shot,[],1631119,73.53810775295663,17.647058823529413,1610612760,0,2,2023-03-02T01:12:21Z,160000,False,-162.0,196.0,1,right,MISS J. Williams 25' 3PT,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,25.43,Missed,,,,,,,,,,,,,,,,,,
17,PT10M48.00S,2023-03-02T01:12:16.1Z,1,REGULAR,rebound,offensive,[],1630526,,,1610612760,0,2,2023-03-02T01:12:21Z,170000,False,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:0),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Left Center,,,,,,,16.0,,,,,,1.0,0.0,1.0,,,,,
