actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-01T01:10:20.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-01T01:10:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-01T01:10:22.3Z,1,REGULAR,jumpball,recovered,[],1629003,,,1610612755,0,0,2023-01-01T01:10:22Z,40000,False,,,0,,Jump Ball J. Embiid vs. J. Williams: Tip to S. Milton,"[1629003, 203954, 1631119]",1610612755.0,PHI,startperiod,S. Milton,1629003.0,Milton,S. Milton,Embiid,203954.0,Williams,1631119.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-01-01T01:10:34.1Z,1,REGULAR,foul,personal,[],1628983,,,1610612755,0,0,2023-01-01T01:10:47Z,70000,False,,,0,,S. Gilgeous-Alexander personal FOUL (1 PF),"[1628983, 202699]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,202053.0,1.0,0.0,Harris,202699.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2023-01-01T01:11:07.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,92.19776609724047,46.81372549019608,1610612755,0,2,2023-01-01T01:11:11Z,90000,False,-16.0,21.0,1,right,J. Embiid Layup (2 PTS) (D. Melton 1 AST),"[203954, 1629001]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,2.62,Made,2.0,D. Melton,1629001.0,1.0,,,,,,,,,
11,PT11M13.00S,2023-01-01T01:11:32.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,8.09789750328515,60.78431372549019,1610612760,0,2,2023-01-01T01:11:37Z,110000,False,-54.0,24.0,1,left,MISS S. Gilgeous-Alexander floating Shot,[1628983],1610612760.0,OKC,floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.88,Missed,,,,,,,,,,,,,
12,PT11M11.00S,2023-01-01T01:11:34.7Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,0,2,2023-01-01T01:11:37Z,120000,False,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
13,PT11M04.00S,2023-01-01T01:11:42.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202699,86.94152431011827,44.11764705882353,1610612755,0,4,2023-01-01T01:12:10Z,130000,False,-29.0,70.0,1,right,T. Harris 7' driving Hook (2 PTS) (D. Melton 2 AST),"[202699, 1629001]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,7.61,Made,2.0,D. Melton,1629001.0,2.0,,,,,,,,,
15,PT10M45.00S,2023-01-01T01:12:01.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,12.565703022339028,52.69607843137255,1610612760,2,4,2023-01-01T01:12:04Z,150000,False,-13.0,66.0,1,left,J. Giddey 6' pullup Jump Shot (2 PTS),[1630581],1610612760.0,OKC,pullup,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.7,Made,2.0,,,,,,,,,,,,
16,PT10M31.00S,2023-01-01T01:12:14.8Z,1,REGULAR,3pt,Jump Shot,[],1629003,80.50262812089356,6.862745098039216,1610612755,2,7,2023-01-01T01:12:18Z,160000,False,-216.0,131.0,1,right,S. Milton 25' 3PT  (3 PTS) (T. Harris 1 AST),"[1629003, 202699]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,Above the Break 3,24+ Left Center,,,,,,25.23,Made,3.0,T. Harris,202699.0,1.0,,,,,,,,,
18,PT10M13.00S,2023-01-01T01:12:32.2Z,1,REGULAR,turnover,bad pass,[],1631114,,,1610612760,2,7,2023-01-01T01:12:36Z,180000,False,,,0,,J. Williams bad pass TURNOVER (1 TO),"[1631114, 1629001]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Melton,1629001.0,,
