actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-04-09T19:40:40.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-09T19:40:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-04-09T19:40:45.4Z,1,REGULAR,jumpball,recovered,[],1630544,,,1610612760,0,0,2023-04-09T19:40:45Z,40000,False,,,0,,Jump Ball O. Sarr vs. K. Lofton Jr.: Tip to T. Mann,"[1630544, 1630846, 1631254]",1610612760.0,OKC,startperiod,T. Mann,1630544.0,Mann,T. Mann,Sarr,1630846.0,Lofton Jr.,1631254.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M31.00S,2023-04-09T19:41:09.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612760,0,0,2023-04-09T19:41:18Z,70000,False,,,0,,OKC shot clock Team TURNOVER,[],1610612760.0,OKC,,,,,,,,,,Restricted Area,0-8 Center,2882.0,,,,,,,,,,,,,,,,,,,
8,PT11M12.00S,2023-04-09T19:41:38.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1631223,7.30946123521682,54.90196078431373,1610612763,0,2,2023-04-09T19:41:43Z,80000,False,-25.0,16.0,1,left,D. Roddy driving Hook (2 PTS),[1631223],1610612763.0,MEM,driving,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,,2.94,Made,2.0,,,,,,,,,,,,,,,,
9,PT11M02.00S,2023-04-09T19:41:50.4Z,1,REGULAR,foul,personal,[],1631254,,,1610612760,0,2,2023-04-09T19:42:15Z,90000,False,,,0,,K. Lofton Jr. personal FOUL (1 PF),"[1631254, 1630846]",1610612763.0,MEM,,,,Lofton Jr.,K. Lofton Jr.,,,,,Restricted Area,0-8 Center,2882.0,,,,1.0,0.0,Sarr,1630846.0,,,,,,,,,,,,
11,PT10M49.00S,2023-04-09T19:42:26.6Z,1,REGULAR,turnover,lost ball,[],1630544,,,1610612760,0,2,2023-04-09T19:42:30Z,110000,False,,,0,,T. Mann lost ball TURNOVER (1 TO),"[1630544, 1629723]",1610612760.0,OKC,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,Konchar,1629723.0,,,,,,,,,
12,PT10M49.00S,2023-04-09T19:42:26.6Z,1,REGULAR,steal,,[],1629723,,,1610612763,0,2,2023-04-09T19:42:28Z,120000,False,,,0,,J. Konchar STEAL (1 STL),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M44.00S,2023-04-09T19:42:31.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1631223,26.231931668856767,16.42156862745098,1610612763,0,2,2023-04-09T19:42:39Z,130000,False,168.0,194.0,1,left,MISS D. Roddy 25' running pullup 3PT,[1631223],1610612763.0,MEM,running pullup,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Right Center,,25.66,Missed,,,,,,,,,,,,,,,,,
14,PT10M38.00S,2023-04-09T19:42:36.9Z,1,REGULAR,rebound,offensive,[],1631246,,,1610612763,0,2,2023-04-09T19:42:36Z,140000,False,,,0,,V. Williams Jr. REBOUND (Off:1 Def:0),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,
15,PT10M37.00S,2023-04-09T19:42:38.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629723,2.7102496714848883,95.58823529411765,1610612763,0,2,2023-04-09T19:42:43Z,150000,False,-228.0,-27.0,1,left,MISS J. Konchar 3PT,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Left Corner 3,24+ Left,,22.95,Missed,,,,,,,,,,,,,,,,,
