actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-18T01:10:06.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-18T01:10:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-18T01:10:08.9Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-12-18T01:10:08Z,40000,False,,,0,,Jump Ball S. Adams vs. A. Pokusevski: Tip to J. Morant,"[1629630, 203500, 1630197]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Pokusevski,1630197.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-12-18T01:10:25.4Z,1,REGULAR,foul,personal,['2freethrow'],1630197,,,1610612763,0,0,2022-12-18T01:10:35Z,70000,False,,,0,,A. Pokusevski shooting personal FOUL (1 PF) (Adams 2 FT),"[1630197, 203500]",1610612760.0,OKC,shooting,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,1627963.0,1.0,0.0,Adams,203500.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2022-12-18T01:10:48.0Z,1,REGULAR,freethrow,1 of 2,[],203500,,,1610612763,0,0,2022-12-18T01:10:48Z,90000,False,,,0,,MISS S. Adams Free Throw 1 of 2,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M42.00S,2022-12-18T01:10:48.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,0,0,2022-12-18T01:10:48Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M42.00S,2022-12-18T01:11:03.9Z,1,REGULAR,freethrow,2 of 2,[],203500,,,1610612763,0,1,2022-12-18T01:11:03Z,110000,False,,,0,,S. Adams Free Throw 2 of 2 (1 PTS),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M25.00S,2022-12-18T01:11:21.2Z,1,REGULAR,2pt,Jump Shot,[],1630198,94.30026281208936,91.66666666666666,1610612760,2,1,2022-12-18T01:13:12Z,120000,False,208.0,1.0,1,right,I. Joe 20' pullup Jump Shot (2 PTS) (A. Pokusevski 1 AST),"[1630198, 1630197]",1610612760.0,OKC,pullup,,,Joe,I. Joe,,,,,Mid-Range,16-24 Right,,,,,,Made,,2.0,20.83,A. Pokusevski,1630197.0,1.0,,,,,,,,
14,PT11M14.00S,2022-12-18T01:11:32.4Z,1,REGULAR,3pt,Jump Shot,[],1628415,30.831143232588698,32.59803921568628,1610612763,2,4,2022-12-18T01:12:27Z,140000,False,87.0,237.0,1,left,D. Brooks 25' 3PT pullup (3 PTS) (S. Adams 1 AST),"[1628415, 203500]",1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,3.0,25.27,S. Adams,203500.0,1.0,,,,,,,,
15,PT10M56.00S,2022-12-18T01:11:50.7Z,1,REGULAR,2pt,Jump Shot,[],1630647,76.47831800262811,71.80989583333334,1610612760,2,4,2022-12-18T01:13:46Z,150000,False,109.0,169.0,1,right,MISS E. Omoruyi 20' driving floating Shot,[1630647],1610612760.0,OKC,driving floating,,,Omoruyi,E. Omoruyi,,,,,Mid-Range,16-24 Right Center,,,,,,Missed,,,20.08,,,,,,,,,,,
16,PT10M56.00S,2022-12-18T01:11:50.7Z,1,REGULAR,rebound,offensive,[],1630647,,,1610612760,2,4,2022-12-18T01:12:51Z,160000,False,,,0,,E. Omoruyi REBOUND (Off:1 Def:0),[1630647],1610612760.0,OKC,,,,Omoruyi,E. Omoruyi,,,,,Mid-Range,16-24 Right Center,,,,,,,15.0,,,,,,1.0,0.0,1.0,,,,,
