actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-01T01:10:08.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-01T01:10:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-01T01:10:10.5Z,1,REGULAR,jumpball,recovered,[],1630526,,,1610612760,0,0,2022-12-01T01:10:10Z,40000,False,,,0,,Jump Ball A. Pokusevski vs. Z. Collins: Tip to J. Robinson-Earl,"[1630526, 1630197, 1628380]",1610612760.0,OKC,startperiod,J. Robinson-Earl,1630526.0,Robinson-Earl,J. Robinson-Earl,Pokusevski,1630197.0,Collins,1628380.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-12-01T01:10:44.2Z,1,REGULAR,foul,personal,[],1629640,,,1610612760,0,0,2022-12-01T01:10:53Z,80000,False,,,0,,K. Johnson personal FOUL (1 PF),"[1629640, 1629652]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,203592.0,1.0,0.0,Dort,1629652.0,,,,,,,,,,,,,,,
10,PT11M35.00S,2022-12-01T01:11:04.8Z,1,REGULAR,3pt,Jump Shot,[],1630526,29.6484888304862,22.794117647058822,1610612760,3,0,2022-12-01T01:11:10Z,100000,False,136.0,226.0,1,left,J. Robinson-Earl 26' 3PT  (3 PTS) (J. Giddey 1 AST),"[1630526, 1630581]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Right Center,,,,,,26.39,Made,3.0,J. Giddey,1630581.0,1.0,,,,,,,,,
12,PT11M14.00S,2022-12-01T01:11:24.8Z,1,REGULAR,3pt,Jump Shot,[],1629640,72.35545335085413,16.911764705882355,1610612759,3,3,2022-12-01T01:11:30Z,120000,False,-165.0,207.0,1,right,K. Johnson 26' 3PT  (3 PTS) (D. Vassell 1 AST),"[1629640, 1630170]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,26.53,Made,3.0,D. Vassell,1630170.0,1.0,,,,,,,,,
14,PT10M59.00S,2022-12-01T01:11:41.4Z,1,REGULAR,turnover,out-of-bounds,[],1631114,,,1610612760,3,3,2022-12-01T01:11:49Z,140000,False,,,0,,J. Williams lost ball out-of-bounds TURNOVER (1 TO),[1631114],1610612760.0,OKC,lost ball,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Left,203592.0,,,,,,,,,,,1.0,,,,,,,,
15,PT10M44.00S,2022-12-01T01:12:00.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629640,91.27792378449409,96.32352941176471,1610612759,3,3,2022-12-01T01:12:08Z,150000,False,232.0,29.0,1,right,MISS K. Johnson 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Right Corner 3,24+ Right,,,,,,23.35,Missed,,,,,,,,,,,,,
16,PT10M40.00S,2022-12-01T01:12:04.8Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,3,3,2022-12-01T01:12:08Z,160000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,
17,PT10M33.00S,2022-12-01T01:12:12.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,10.463206307490145,59.55882352941176,1610612760,3,3,2022-12-01T01:12:18Z,170000,False,-48.0,46.0,1,left,MISS J. Giddey 6' driving Layup - blocked,"[1630581, 1628966]",1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.63,Missed,,,,,,,,,,Bates-Diop,1628966.0,,
18,PT10M33.00S,2022-12-01T01:12:12.3Z,1,REGULAR,block,,[],1628966,,,1610612760,3,3,2022-12-01T01:12:15Z,180000,False,,,0,,K. Bates-Diop BLOCK (1 BLK),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M28.00S,2022-12-01T01:12:17.3Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,3,3,2022-12-01T01:12:18Z,190000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,
20,PT10M24.00S,2022-12-01T01:12:20.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628966,92.46057818659659,58.82352941176471,1610612759,3,5,2022-12-01T01:12:26Z,200000,False,44.0,18.0,1,right,K. Bates-Diop driving finger roll Layup (2 PTS) (K. Johnson 1 AST),"[1628966, 1629640]",1610612759.0,SAS,driving finger roll,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.78,Made,2.0,K. Johnson,1629640.0,1.0,,,,,,,,,
22,PT10M16.00S,2022-12-01T01:12:33.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,3,5,2022-12-01T01:12:33Z,220000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M00.00S,2022-12-01T01:15:47.5Z,1,REGULAR,turnover,lost ball,[],1630197,,,1610612760,3,5,2022-12-01T01:15:54Z,230000,False,,,0,,A. Pokusevski lost ball TURNOVER (1 TO),"[1630197, 1628380]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,1.0,,,,,,,Collins,1628380.0
24,PT10M00.00S,2022-12-01T01:15:47.5Z,1,REGULAR,steal,,[],1628380,,,1610612759,3,5,2022-12-01T01:15:50Z,240000,False,,,0,,Z. Collins STEAL (1 STL),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
26,PT09M47.00S,2022-12-01T01:16:12.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630170,92.59198423127464,13.480392156862745,1610612759,3,5,2022-12-01T01:16:18Z,260000,False,-183.0,17.0,1,right,MISS D. Vassell 18' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Left,,,,,,18.34,Missed,,,,,,,,,,,,,
27,PT09M44.00S,2022-12-01T01:16:15.8Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,3,5,2022-12-01T01:16:18Z,270000,False,,,0,,A. Pokusevski REBOUND (Off:0 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,
28,PT09M38.00S,2022-12-01T01:16:22.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630197,7.30946123521682,54.90196078431373,1610612760,3,5,2022-12-01T01:17:02Z,280000,False,-25.0,16.0,1,left,MISS A. Pokusevski cutting Layup,[1630197],1610612760.0,OKC,cutting,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,,,,,,2.94,Missed,,,,,,,,,,,,,
29,PT09M33.00S,2022-12-01T01:16:27.3Z,1,REGULAR,rebound,offensive,[],1630197,,,1610612760,3,5,2022-12-01T01:16:31Z,290000,False,,,0,,A. Pokusevski REBOUND (Off:1 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,28.0,2.0,1.0,1.0,,,,
30,PT09M33.00S,2022-12-01T01:16:26.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630197,5.590000152587891,50.0,1610612760,3,5,2022-12-01T01:16:26Z,300000,False,0.0,0.0,1,left,MISS A. Pokusevski tip Layup,[1630197],1610612760.0,OKC,tip,,,Pokusevski,A. Pokusevski,,,,,Mid-Range,8-16 Left,,,,,,0.0,Missed,,,,,,,,,,,,,
31,PT09M31.00S,2022-12-01T01:16:28.3Z,1,REGULAR,rebound,offensive,[],1630197,,,1610612760,3,5,2022-12-01T01:16:28Z,310000,False,,,0,,A. Pokusevski REBOUND (Off:2 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,30.0,3.0,1.0,2.0,,,,
34,PT09M30.00S,2022-12-01T01:16:29.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630197,5.590000152587891,50.0,1610612760,3,5,2022-12-01T01:28:15Z,340000,False,0.0,0.0,1,left,MISS A. Pokusevski tip Layup,[1630197],1610612760.0,OKC,tip,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,,,,,,0.0,Missed,,,,,,,,,,,,,
35,PT09M30.00S,2022-12-01T01:16:29.6Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,3,5,2022-12-01T01:16:32Z,350000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,
36,PT09M24.00S,2022-12-01T01:16:35.5Z,1,REGULAR,3pt,Jump Shot,[],1630170,68.9388961892247,76.22549019607843,1610612759,3,5,2022-12-01T01:18:35Z,360000,False,131.0,239.0,1,right,MISS D. Vassell 27' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,,,27.3,Missed,,,,,,,,,,,,,
