actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2023-03-04T01:10:40.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-04T01:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-03-04T01:10:42.3Z,1,REGULAR,jumpball,recovered,[],1629652,,,1610612760,0,0,2023-03-04T01:10:42Z,40000,False,,,0,,Jump Ball J. Williams vs. W. Kessler: Tip to L. Dort,"[1629652, 1631119, 1631117]",1610612760.0,OKC,startperiod,L. Dort,1629652.0,Dort,L. Dort,Williams,1631119.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-03-04T01:10:52.8Z,1,REGULAR,3pt,Jump Shot,[],1631119,67.88764783180025,67.64705882352942,1610612760,3,0,2023-03-04T01:11:00Z,70000,False,88.0,249.0,1,right,J. Williams 26' 3PT  (3 PTS) (J. Giddey 1 AST),"[1631119, 1630581]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,26.45,Made,3.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2023-03-04T01:11:15.7Z,1,REGULAR,foul,personal,[],1631119,,,1610612762,3,0,2023-03-04T01:11:28Z,90000,False,,,0,,J. Williams personal FOUL (1 PF),"[1631119, 1630534]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2714.0,1.0,0.0,Agbaji,1630534.0,,,,,,,,,
11,PT11M19.00S,2023-03-04T01:11:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631117,6.521024967148489,44.6078431372549,1610612762,3,2,2023-03-04T01:11:45Z,110000,False,27.0,9.0,1,left,W. Kessler cutting Layup (2 PTS) (K. Olynyk 1 AST),"[1631117, 203482]",1610612762.0,UTA,cutting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,2.84,Made,2.0,K. Olynyk,203482.0,1.0,,,,,,,,,,,,,,
13,PT11M08.00S,2023-03-04T01:11:51.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,84.83902759526939,40.931372549019606,1610612760,5,2,2023-03-04T01:12:27Z,130000,False,-45.0,90.0,1,right,J. Giddey 10' driving floating Jump Shot (2 PTS),[1630581],1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,10.08,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2023-03-04T01:12:09.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631117,8.886333771353483,44.6078431372549,1610612762,5,4,2023-03-04T01:12:13Z,140000,False,27.0,31.0,1,left,W. Kessler cutting Layup (4 PTS) (T. Horton-Tucker 1 AST),"[1631117, 1629659]",1610612762.0,UTA,cutting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,4.11,Made,4.0,T. Horton-Tucker,1629659.0,1.0,,,,,,,,,,,,,,
16,PT10M40.00S,2023-03-04T01:12:19.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,93.51182654402102,42.64705882352941,1610612760,5,4,2023-03-04T01:13:01Z,160000,False,-37.0,8.0,1,right,MISS L. Dort driving Layup - blocked,"[1629652, 1631117]",1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,3.78,Missed,,,,,,,,,,Kessler,1631117.0,,,,,,,
17,PT10M40.00S,2023-03-04T01:12:19.6Z,1,REGULAR,block,,[],1631117,,,1610612760,5,4,2023-03-04T01:12:22Z,170000,False,,,0,,W. Kessler BLOCK (1 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M40.00S,2023-03-04T01:12:19.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,5,4,2023-03-04T01:12:25Z,180000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,16.0,,,,,,
20,PT10M38.00S,2023-03-04T01:12:38.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629652,66.5735873850197,69.11764705882352,1610612760,8,4,2023-03-04T01:12:43Z,200000,False,96.0,262.0,1,right,L. Dort 27' 3PT  (3 PTS) (J. Giddey 2 AST),"[1629652, 1630581]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,27.86,Made,3.0,J. Giddey,1630581.0,2.0,,,,,,,,,,,,,,
