actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-12T01:10:28.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-12T01:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-12T01:10:30.5Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2022-11-12T01:10:30Z,40000,False,,,0,,Jump Ball C. Koloko vs. A. Pokusevski: Tip to S. Barnes,"[1630567, 1631132, 1630197]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Koloko,1631132.0,Pokusevski,1630197.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-11-12T01:10:44.2Z,1,REGULAR,3pt,Jump Shot,[],1627832,79.05716162943496,8.57843137254902,1610612761,0,0,2022-11-12T01:10:50Z,70000,False,-207.0,144.0,1,right,MISS F. VanVleet 25' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,25.25,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-11-12T01:10:48.2Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,0,0,2022-11-12T01:10:50Z,80000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M37.00S,2022-11-12T01:10:50.0Z,1,REGULAR,turnover,lost ball,[],1628983,,,1610612760,0,0,2022-11-12T01:10:54Z,90000,False,,,0,,S. Gilgeous-Alexander lost ball TURNOVER (1 TO),"[1628983, 1629018]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left Center,,,,,,,1.0,Trent Jr.,1629018.0,,,,,,,,,,,
10,PT11M37.00S,2022-11-12T01:10:50.0Z,1,REGULAR,steal,,[],1629018,,,1610612761,0,0,2022-11-12T01:10:52Z,100000,False,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
11,PT11M29.00S,2022-11-12T01:10:59.2Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,0,0,2022-11-12T01:11:04Z,110000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 1628983]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,
12,PT11M29.00S,2022-11-12T01:10:59.2Z,1,REGULAR,steal,,[],1628983,,,1610612760,0,0,2022-11-12T01:11:01Z,120000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2022-11-12T01:11:04.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628983,5.075558475689881,51.71568627450981,1610612760,2,0,2022-11-12T01:11:12Z,130000,False,-9.0,-5.0,1,left,S. Gilgeous-Alexander running Layup (2 PTS),[1628983],1610612760.0,OKC,running,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,0.98,Made,,,,,,,,2.0,,,,,,,,,,
14,PT11M07.00S,2022-11-12T01:11:20.3Z,1,REGULAR,3pt,Jump Shot,[],1629018,67.09921156373193,48.03921568627451,1610612761,2,0,2022-11-12T01:11:27Z,140000,False,-10.0,257.0,1,right,MISS G. Trent Jr. 25' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Center,25.7,Missed,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2022-11-12T01:11:26.3Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,2,0,2022-11-12T01:11:27Z,150000,False,,,0,,A. Pokusevski REBOUND (Off:0 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Above the Break 3,24+ Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M58.00S,2022-11-12T01:11:31.5Z,1,REGULAR,turnover,traveling,[],1630197,,,1610612760,2,0,2022-11-12T01:11:38Z,160000,False,,,0,,A. Pokusevski traveling TURNOVER (1 TO),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,,,,,,,1.0,,,,2534.0,,,,,,,,,
17,PT10M48.00S,2022-11-12T01:11:48.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628384,75.50919842312747,58.57843137254902,1610612761,2,2,2022-11-12T01:11:52Z,170000,False,43.0,178.0,1,right,O. Anunoby 18' pullup Jump Shot (2 PTS),[1628384],1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Center,18.28,Made,,,,,,,,2.0,,,,,,,,,,
18,PT10M36.00S,2022-11-12T01:12:02.4Z,1,REGULAR,foul,personal,['2freethrow'],1629018,,,1610612760,2,2,2022-11-12T01:12:26Z,180000,False,,,0,,G. Trent Jr. shooting personal FOUL (1 PF) (Dort 2 FT),"[1629018, 1629652]",1610612761.0,TOR,shooting,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627964.0,1.0,0.0,Dort,1629652.0,,,,,
20,PT10M36.00S,2022-11-12T01:12:28.6Z,1,REGULAR,freethrow,1 of 2,[],1629652,,,1610612760,3,2,2022-11-12T01:12:28Z,200000,False,,,0,,L. Dort Free Throw 1 of 2 (1 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
21,PT10M36.00S,2022-11-12T01:12:38.3Z,1,REGULAR,freethrow,2 of 2,[],1629652,,,1610612760,4,2,2022-11-12T01:12:38Z,210000,False,,,0,,L. Dort Free Throw 2 of 2 (2 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
67,PT10M22.00S,2022-11-12T01:12:44.4Z,1,REGULAR,turnover,bad pass,[],1627832,,,1610612761,4,2,2022-11-12T01:20:03Z,225000,False,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 1630581]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Giddey,1630581.0,,,,,,,,,,,
68,PT10M22.00S,2022-11-12T01:12:44.4Z,1,REGULAR,steal,,[],1630581,,,1610612760,4,2,2022-11-12T01:20:03Z,232500,False,,,0,,J. Giddey STEAL (1 STL),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
24,PT10M15.00S,2022-11-12T01:13:00.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'fromturnover']",1630197,7.178055190538765,60.78431372549019,1610612760,4,2,2022-11-12T01:20:03Z,240000,False,-54.0,15.0,1,left,MISS A. Pokusevski Layup,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,In The Paint (Non-RA),0-8 Center,5.59,Missed,,,,,,,,,,,,,,,,,,
25,PT10M13.00S,2022-11-12T01:13:02.3Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,4,2,2022-11-12T01:13:06Z,250000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT10M09.00S,2022-11-12T01:13:06.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627832,94.82588699080158,45.09803921568628,1610612761,4,2,2022-11-12T01:13:12Z,260000,False,-25.0,-4.0,1,right,MISS F. VanVleet running Layup,[1627832],1610612761.0,TOR,running,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,2.48,Missed,,,,,,,,,,,,,,,,,,
27,PT10M08.00S,2022-11-12T01:13:07.6Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,4,2,2022-11-12T01:13:12Z,270000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
