actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-10-26T00:10:35.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-26T00:10:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-26T00:10:39.0Z,1,REGULAR,jumpball,recovered,[],1629611,,,1610612746,0,0,2022-10-26T00:10:39Z,40000,,,0,,Jump Ball I. Zubac vs. J. Robinson-Earl: Tip to T. Mann,"[1629611, 1627826, 1630526]",1610612746.0,LAC,startperiod,T. Mann,1629611.0,Mann,T. Mann,Zubac,1627826.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-10-26T00:10:52.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,7.046649145860711,55.14705882352941,1610612746,0,0,2022-10-26T00:10:56Z,70000,-26.0,14.0,1,left,MISS I. Zubac driving Layup,[1627826],1610612746.0,LAC,driving,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,2.91,Missed,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-10-26T00:10:55.0Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,0,0,2022-10-26T00:10:56Z,90000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M21.00S,2022-10-26T00:11:30.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,93.24901445466492,47.794117647058826,1610612760,0,0,2022-10-26T00:11:35Z,110000,-11.0,11.0,1,right,MISS L. Dort driving Layup,[1629652],1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,1.56,Missed,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2022-10-26T00:11:34.7Z,1,REGULAR,rebound,offensive,[],1630598,,,1610612760,0,0,2022-10-26T00:11:35Z,120000,,,0,,A. Wiggins REBOUND (Off:1 Def:1),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,
13,PT11M17.00S,2022-10-26T00:11:33.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630598,94.40999984741211,50.0,1610612760,0,0,2022-10-26T00:11:33Z,130000,0.0,0.0,1,right,MISS A. Wiggins tip Layup,[1630598],1610612760.0,OKC,tip,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2022-10-26T00:11:34.2Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,0,0,2022-10-26T00:11:34Z,140000,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Mid-Range,8-16 Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M13.00S,2022-10-26T00:11:38.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626181,5.075558475689881,50.98039215686274,1610612746,0,0,2022-10-26T00:11:43Z,150000,-5.0,-5.0,1,left,MISS N. Powell running Layup,[1626181],1610612746.0,LAC,running,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,0.69,Missed,,,,,,,,,,,,,,,,,,
16,PT11M10.00S,2022-10-26T00:11:41.4Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,0,0,2022-10-26T00:11:43Z,160000,,,0,,A. Wiggins REBOUND (Off:1 Def:2),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,15.0,3.0,2.0,1.0,,,,,,,,,,,,,,
17,PT11M07.00S,2022-10-26T00:11:43.7Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628983,76.95466491458606,46.32352941176471,1610612760,2,0,2022-10-26T00:11:53Z,170000,-18.0,164.0,1,right,S. Gilgeous-Alexander 16' running pullup Jump Shot (2 PTS),[1628983],1610612760.0,OKC,running pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Center,16.51,Made,,,,,2.0,,,,,,,,,,,,,
