actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-31T01:11:23.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-31T01:11:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-31T01:11:25.8Z,1,REGULAR,jumpball,recovered,[],201939,,,1610612744,0,0,2023-01-31T01:11:25Z,40000,False,,,0,,Jump Ball A. Wiggins vs. K. Williams: Tip to S. Curry,"[201939, 203952, 1629026]",1610612744.0,GSW,startperiod,S. Curry,201939.0,Curry,S. Curry,Wiggins,203952.0,Williams,1629026.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-01-31T01:11:34.8Z,1,REGULAR,3pt,Jump Shot,[],203952,78.9257555847569,7.8431372549019605,1610612744,0,3,2023-01-31T01:11:39Z,70000,False,-211.0,146.0,1,right,A. Wiggins 25' 3PT  (3 PTS) (K. Thompson 1 AST),"[203952, 202691]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,25.62,Made,3.0,K. Thompson,202691.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2023-01-31T01:11:52.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629026,15.193823915900131,41.911764705882355,1610612760,0,3,2023-01-31T01:11:56Z,90000,False,40.0,90.0,1,left,MISS K. Williams 9' pullup Shot,[1629026],1610612760.0,OKC,pullup,,,Williams,K. Williams,,,,,In The Paint (Non-RA),8-16 Center,9.89,Missed,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2023-01-31T01:11:54.4Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,0,3,2023-01-31T01:11:56Z,100000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M10.00S,2023-01-31T01:12:12.6Z,1,REGULAR,3pt,Jump Shot,[],201939,71.96123521681997,79.16666666666666,1610612744,0,3,2023-01-31T01:12:17Z,110000,False,146.0,211.0,1,right,MISS S. Curry 25' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,25.66,Missed,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2023-01-31T01:12:16.6Z,1,REGULAR,rebound,defensive,[],1629026,,,1610612760,0,3,2023-01-31T01:12:17Z,120000,False,,,0,,K. Williams REBOUND (Off:0 Def:1),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M54.00S,2023-01-31T01:12:29.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,10.5946123521682,59.55882352941176,1610612760,0,3,2023-01-31T01:12:32Z,130000,False,-48.0,47.0,1,left,MISS S. Gilgeous-Alexander 6' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,6.71,Missed,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2023-01-31T01:12:31.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,3,2023-01-31T01:12:32Z,140000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M45.00S,2023-01-31T01:12:37.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,91.67214191852825,45.83333333333333,1610612744,0,5,2023-01-31T01:12:53Z,150000,False,-21.0,26.0,1,right,S. Curry cutting Layup (2 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,cutting,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,3.31,Made,2.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
