actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-04T00:11:13.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-04T00:11:13Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-04T00:11:15.5Z,1,REGULAR,jumpball,recovered,[],1627750,,,1610612743,0,0,2022-11-04T00:11:15Z,40000,,,0,,Jump Ball N. Jokic vs. J. Robinson-Earl: Tip to J. Murray,"[1627750, 203999, 1630526]",1610612743.0,DEN,startperiod,J. Murray,1627750.0,Murray,J. Murray,Jokic,203999.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-11-04T00:11:28.6Z,1,REGULAR,3pt,Jump Shot,[],1627750,81.8166885676741,93.62745098039215,1610612743,0,3,2022-11-04T00:11:35Z,70000,218.0,118.0,1,right,J. Murray 24' 3PT  (3 PTS) (N. Jokic 1 AST),"[1627750, 203999]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,24.82,Made,3.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2022-11-04T00:11:43.2Z,1,REGULAR,2pt,Jump Shot,[],1630526,24.655059132720105,52.20588235294118,1610612760,0,3,2022-11-04T00:11:48Z,90000,-11.0,179.0,1,left,MISS J. Robinson-Earl 17' Jump Shot,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Mid-Range,16-24 Center,17.96,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2022-11-04T00:11:45.2Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,3,2022-11-04T00:11:48Z,100000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M22.00S,2022-11-04T00:11:54.8Z,1,REGULAR,foul,personal,[],1630197,,,1610612743,0,3,2022-11-04T00:12:09Z,110000,,,0,,A. Pokusevski personal FOUL (1 PF),"[1630197, 203932]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1198.0,1.0,0.0,Gordon,203932.0,,,,,
13,PT11M08.00S,2022-11-04T00:12:28.4Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,0,3,2022-11-04T00:13:03Z,130000,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Center,,,,,,,,,,,203177.0,,,,,1.0,,,,
14,PT10M54.00S,2022-11-04T00:12:45.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630526,5.601182654402102,44.36274509803921,1610612760,0,3,2022-11-04T00:12:52Z,140000,28.0,0.0,1,left,MISS J. Robinson-Earl cutting Layup,[1630526],1610612760.0,OKC,cutting,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,2.82,Missed,,,,,,,,,,,,,,,,,,
15,PT10M52.00S,2022-11-04T00:12:47.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,3,2022-11-04T00:12:52Z,150000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M48.00S,2022-11-04T00:12:52.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203932,92.9862023653088,49.754901960784316,1610612743,0,5,2022-11-04T00:13:33Z,160000,-1.0,13.0,1,right,A. Gordon cutting DUNK (2 PTS) (K. Caldwell-Pope 1 AST),"[203932, 203484]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.35,Made,2.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,,
18,PT10M28.00S,2022-11-04T00:13:11.8Z,1,REGULAR,3pt,Jump Shot,[],1629652,27.808804204993432,79.41176470588235,1610612760,0,5,2022-11-04T00:13:17Z,180000,-147.0,209.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,25.55,Missed,,,,,,,,,,,,,,,,,,
19,PT10M23.00S,2022-11-04T00:13:16.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,5,2022-11-04T00:13:17Z,190000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,
