actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-04-02T23:10:26.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-02T23:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-04-02T23:10:29.6Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2023-04-02T23:10:29Z,40000,False,,,0,,Jump Ball D. Ayton vs. J. Williams: Tip to D. Booker,"[1626164, 1629028, 1631114]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Ayton,1629028.0,Williams,1631114.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-04-02T23:10:38.7Z,1,REGULAR,3pt,Jump Shot,[],101108,29.25427069645204,73.52941176470588,1610612756,0,0,2023-04-02T23:10:43Z,70000,False,-118.0,222.0,1,left,MISS C. Paul 25' pullup 3PT,[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,Above the Break 3,24+ Left Center,25.17,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-04-02T23:10:41.7Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,0,0,2023-04-02T23:10:43Z,80000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2023-04-02T23:10:58.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,95.48291721419186,64.4607843137255,1610612760,0,0,2023-04-02T23:11:08Z,90000,False,72.0,-10.0,1,right,MISS S. Gilgeous-Alexander 7' driving floating Shot,[1628983],1610612760.0,OKC,driving floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,7.3,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2023-04-02T23:11:00.1Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,0,0,2023-04-02T23:11:08Z,100000,False,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M18.00S,2023-04-02T23:11:07.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,19.92444152431012,54.65686274509803,1610612756,0,2,2023-04-02T23:11:12Z,110000,False,-23.0,135.0,1,left,D. Booker 13' pullup Jump Shot (2 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,13.68,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M59.00S,2023-04-02T23:11:27.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,90.80157687253613,55.10110294117647,1610612760,2,2,2023-04-02T23:11:57Z,120000,False,26.0,34.0,1,right,L. Dort driving floating bank Jump Shot (2 PTS),[1629652],1610612760.0,OKC,driving floating bank,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,4.25,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M38.00S,2023-04-02T23:11:47.6Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612756,2,2,2023-04-02T23:11:50Z,130000,False,,,0,,C. Paul bad pass TURNOVER (1 TO),"[101108, 1628983]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,
14,PT10M38.00S,2023-04-02T23:11:47.6Z,1,REGULAR,steal,,[],1628983,,,1610612760,2,2,2023-04-02T23:11:49Z,140000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
