actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-10-24T00:11:47.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-24T00:11:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-24T00:11:50.3Z,1,REGULAR,jumpball,recovered,[],1626157,,,1610612750,0,0,2022-10-24T00:11:50Z,40000,,,0,,Jump Ball R. Gobert vs. J. Robinson-Earl: Tip to K. Towns,"[1626157, 203497, 1630526]",1610612750.0,MIN,startperiod,K. Towns,1626157.0,Towns,K. Towns,Gobert,203497.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-10-24T00:12:04.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,93.51182654402102,37.00980392156863,1610612750,0,2,2022-10-24T00:12:12Z,70000,-65.0,8.0,1,right,K. Towns 6' cutting Layup (2 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,cutting,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,6.56,Made,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2022-10-24T00:12:22.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,6.1268068331143235,46.32352941176471,1610612760,0,2,2022-10-24T00:12:31Z,90000,18.0,5.0,1,left,MISS J. Giddey driving finger roll Layup,[1630581],1610612760.0,OKC,driving finger roll,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,1.91,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2022-10-24T00:12:24.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,2,2022-10-24T00:12:31Z,100000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M09.00S,2022-10-24T00:12:37.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,91.93495400788436,49.50980392156863,1610612750,0,4,2022-10-24T00:38:15Z,110000,-2.0,23.0,1,right,A. Edwards floating Jump Shot (2 PTS),[1630162],1610612750.0,MIN,floating,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,2.34,Made,2.0,,,,,,,,,,,,,,,,,
12,PT10M52.00S,2022-10-24T00:12:54.4Z,1,REGULAR,3pt,Jump Shot,[],1630526,7.046649145860711,2.941176470588235,1610612760,3,4,2022-10-24T00:13:00Z,120000,235.0,14.0,1,left,J. Robinson-Earl 3PT  (3 PTS) (J. Giddey 1 AST),"[1630526, 1630581]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Right Corner 3,24+ Right,23.57,Made,3.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,
14,PT10M30.00S,2022-10-24T00:13:17.0Z,1,REGULAR,2pt,Jump Shot,[],1626156,96.66557161629436,24.019607843137255,1610612750,3,6,2022-10-24T00:13:24Z,140000,-130.0,-21.0,1,right,D. Russell 13' step back Jump Shot (2 PTS),[1626156],1610612750.0,MIN,step back,,,Russell,D. Russell,,,,,Mid-Range,8-16 Left,13.16,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M16.00S,2022-10-24T00:13:30.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,6.652431011826544,49.01960784313725,1610612760,5,6,2022-10-24T00:13:37Z,150000,5.0,10.0,1,left,J. Giddey cutting Layup (2 PTS) (J. Robinson-Earl 1 AST),"[1630581, 1630526]",1610612760.0,OKC,cutting,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,1.11,Made,2.0,J. Robinson-Earl,1630526.0,1.0,,,,,,,,,,,,,,
17,PT10M01.00S,2022-10-24T00:13:45.7Z,1,REGULAR,2pt,Jump Shot,[],1630183,90.62089356110381,68.13725490196079,1610612750,5,8,2022-10-24T00:13:53Z,170000,91.0,36.0,1,right,J. McDaniels 9' pullup Jump Shot (2 PTS) (A. Edwards 1 AST),"[1630183, 1630162]",1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Right,9.75,Made,2.0,A. Edwards,1630162.0,1.0,,,,,,,,,,,,,,
