actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-02-14T01:10:12.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-14T01:10:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-14T01:10:15.2Z,1,REGULAR,jumpball,recovered,[],1627742,,,1610612740,0,0,2023-02-14T01:10:15Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. J. Williams: Tip to B. Ingram,"[1627742, 202685, 1631119]",1610612740.0,NOP,startperiod,B. Ingram,1627742.0,Ingram,B. Ingram,Valanciunas,202685.0,Williams,1631119.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-02-14T01:10:28.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,19.398817345597898,43.38235294117647,1610612740,0,2,2023-02-14T01:10:33Z,70000,False,33.0,130.0,1,left,B. Ingram 13' pullup Jump Shot (2 PTS),[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,13.4,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2023-02-14T01:10:46.1Z,1,REGULAR,3pt,Jump Shot,[],1629652,79.84559789750328,92.15686274509804,1610612760,0,2,2023-02-14T01:10:51Z,80000,False,211.0,137.0,1,right,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,25.14,Missed,,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2023-02-14T01:10:49.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,2,2023-02-14T01:10:51Z,90000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M13.00S,2023-02-14T01:10:58.7Z,1,REGULAR,3pt,Jump Shot,[],202685,29.38567674113009,75.98039215686273,1610612740,0,2,2023-02-14T01:11:03Z,100000,False,-130.0,224.0,1,left,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,25.87,Missed,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2023-02-14T01:11:02.7Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,2,2023-02-14T01:11:03Z,110000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M00.00S,2023-02-14T01:11:10.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,91.67214191852825,59.55882352941176,1610612760,0,2,2023-02-14T01:11:14Z,120000,False,48.0,26.0,1,right,MISS S. Gilgeous-Alexander driving Layup - blocked,"[1628983, 1630631]",1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,5.43,Missed,,,,,,Alvarado,1630631.0,,,,,,,,,,,
13,PT11M00.00S,2023-02-14T01:11:10.9Z,1,REGULAR,block,,[],1630631,,,1610612760,0,2,2023-02-14T01:11:13Z,130000,False,,,0,,J. Alvarado BLOCK (1 BLK),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2023-02-14T01:11:12.9Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,0,2,2023-02-14T01:11:14Z,140000,False,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M56.00S,2023-02-14T01:11:17.4Z,1,REGULAR,turnover,out-of-bounds,[],1630530,,,1610612740,0,2,2023-02-14T01:11:22Z,150000,False,,,0,,T. Murphy III lost ball out-of-bounds TURNOVER (1 TO),[1630530],1610612740.0,NOP,lost ball,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1628171.0,1.0,,,,,,,,,
