actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-07T01:10:16.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-07T01:10:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-07T01:10:18.5Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2023-01-07T01:10:18Z,40000,False,,,0,,Jump Ball M. Muscala vs. K. Porzingis: Tip to S. Gilgeous-Alexander,"[1628983, 203488, 204001]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Muscala,203488.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-01-07T01:10:32.8Z,1,REGULAR,3pt,Jump Shot,[],1631114,78.13731931668858,11.27450980392157,1610612760,0,0,2023-01-07T01:10:37Z,70000,False,-194.0,153.0,1,right,MISS J. Williams 24' 3PT,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,24.68,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-01-07T01:10:36.8Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,0,0,2023-01-07T01:10:37Z,80000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2023-01-07T01:10:47.7Z,1,REGULAR,foul,personal,[],1631114,,,1610612764,0,0,2023-01-07T01:11:07Z,90000,False,,,0,,J. Williams personal FOUL (1 PF),"[1631114, 204001]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,1627964.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,
11,PT11M27.00S,2023-01-07T01:11:09.3Z,1,REGULAR,3pt,Jump Shot,[],1630557,22.28975032851511,89.70588235294117,1610612764,0,0,2023-01-07T01:11:13Z,110000,False,-199.0,157.0,1,left,MISS C. Kispert 25' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,25.31,Missed,,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2023-01-07T01:11:11.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,0,0,2023-01-07T01:11:13Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Above the Break 3,24+ Left Center,,,11.0,,,,,,,,,,,,,,,,,
14,PT11M18.00S,2023-01-07T01:11:30.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,88.91261498028909,63.970588235294116,1610612760,2,0,2023-01-07T01:11:34Z,140000,False,70.0,52.0,1,right,J. Williams 8' pullup Jump Shot (2 PTS),[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Right,8.69,Made,,,,,,,,,,2.0,,,,,,,,
15,PT11M03.00S,2023-01-07T01:11:44.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,5.338370565045992,49.754901960784316,1610612764,2,2,2023-01-07T01:11:47Z,150000,False,1.0,-2.0,1,left,D. Gafford DUNK (2 PTS) (M. Morris 1 AST),"[1629655, 1628420]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,0.26,Made,,,,,,,,,,2.0,M. Morris,1628420.0,1.0,,,,,
17,PT10M56.00S,2023-01-07T01:11:51.3Z,1,REGULAR,3pt,Jump Shot,[],1629652,94.82588699080158,96.07843137254902,1610612760,2,2,2023-01-07T01:11:56Z,170000,False,230.0,-4.0,1,right,MISS L. Dort 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Right Corner 3,24+ Right,23.04,Missed,,,,,,,,,,,,,,,,,,
