actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-19T01:10:31.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-19T01:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-01-19T01:10:38.6Z,1,REGULAR,violation,jumpball,[],1626167,,,0,0,0,2023-01-19T01:10:38Z,40000,False,,,0,,M. Turner jumpball VIOLATION,[1626167],1610612754.0,IND,201639.0,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,
5,PT11M45.00S,2023-01-19T01:11:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,93.64323258869908,49.26470588235294,1610612760,2,0,2023-01-19T01:11:17Z,50000,False,-4.0,7.0,1,right,J. Williams cutting Layup (2 PTS) (J. Giddey 1 AST),"[1631114, 1630581]",1610612760.0,OKC,,Williams,J. Williams,cutting,Restricted Area,0-8 Center,0.82,Made,2.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,
7,PT11M25.00S,2023-01-19T01:11:32.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,9.937582128777924,58.333333333333336,1610612754,2,0,2023-01-19T01:11:38Z,70000,False,-42.0,41.0,1,left,MISS M. Turner Layup,[1626167],1610612754.0,IND,,Turner,M. Turner,,In The Paint (Non-RA),0-8 Center,5.84,Missed,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2023-01-19T01:11:36.8Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,2,0,2023-01-19T01:11:38Z,80000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,Williams,J. Williams,,In The Paint (Non-RA),0-8 Center,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,
9,PT11M13.00S,2023-01-19T01:11:44.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,80.3712220762155,62.5,1610612760,4,0,2023-01-19T01:12:46Z,90000,False,62.0,132.0,1,right,S. Gilgeous-Alexander 14' turnaround Jump Shot (2 PTS) (J. Giddey 2 AST),"[1628983, 1630581]",1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,turnaround,In The Paint (Non-RA),8-16 Center,14.6,Made,2.0,J. Giddey,1630581.0,2.0,,,,,,,,,,,,,
11,PT10M55.00S,2023-01-19T01:12:02.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,17.821944809461236,37.99019607843137,1610612754,4,0,2023-01-19T01:12:12Z,110000,False,60.0,115.0,1,left,MISS A. Nembhard 12' pullup Shot,[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,pullup,In The Paint (Non-RA),8-16 Center,12.97,Missed,,,,,,,,,,,,,,,,,
12,PT10M53.00S,2023-01-19T01:12:04.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,4,0,2023-01-19T01:12:12Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,11.0,,,,,,,,,,,,
13,PT10M53.00S,2023-01-19T01:12:09.7Z,1,REGULAR,foul,personal,[],1628983,,,1610612754,4,0,2023-01-19T01:13:21Z,130000,False,,,0,,S. Gilgeous-Alexander loose ball personal FOUL (1 PF),"[1628983, 1626167]",1610612760.0,OKC,203591.0,Gilgeous-Alexander,S. Gilgeous-Alexander,loose ball,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Turner,1626167.0,,,,,
16,PT10M43.00S,2023-01-19T01:12:50.4Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612754,4,0,2023-01-19T01:13:03Z,160000,False,,,0,,L. Dort shooting personal FOUL (1 PF) (Nesmith 2 FT),"[1629652, 1630174]",1610612760.0,OKC,1627519.0,Dort,L. Dort,shooting,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Nesmith,1630174.0,,,,,
18,PT10M43.00S,2023-01-19T01:13:13.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630174,,,1610612754,4,0,2023-01-19T01:13:13Z,180000,False,,,0,,MISS A. Nesmith Free Throw 1 of 2,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,,,,Missed,,,,,,,,,,,,,,,,,
19,PT10M43.00S,2023-01-19T01:13:13.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,4,0,2023-01-19T01:13:13Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,18.0,,,,,,,,,,,,
