shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
10:29,17,PT10M29.00S,2022-12-15T01:11:53.7Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,2,2,2022-12-15T01:11:55Z,170000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],8,1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
10:13,18,PT10M13.00S,2022-12-15T01:12:09.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,19.398817345597898,61.029411764705884,1610612760,4,2,2022-12-15T01:12:13Z,180000,False,-55.0,130.0,1,left,S. Gilgeous-Alexander 14' pullup Jump Shot (2 PTS),[1628983],2,1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,14.1,Made,2.0,,,,,,,,,,,,,,,,,
09:55,19,PT09M55.00S,2022-12-15T01:12:28.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,81.8166885676741,60.5392156862745,1610612748,4,4,2022-12-15T01:12:33Z,190000,False,53.0,118.0,1,right,B. Adebayo 12' turnaround Jump Shot (4 PTS),[1628389],13,1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,12.96,Made,4.0,,,,,,,,,,,,,,,,,
09:44,20,PT09M44.00S,2022-12-15T01:12:39.3Z,1,REGULAR,turnover,bad pass,[],1628983,,,1610612760,4,4,2022-12-15T01:12:43Z,200000,False,,,0,,S. Gilgeous-Alexander bad pass TURNOVER (1 TO),"[1628983, 1629622]",2,1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,Strus,1629622.0,,,,,,
09:44,21,PT09M44.00S,2022-12-15T01:12:39.3Z,1,REGULAR,steal,,[],1629622,,,1610612748,4,4,2022-12-15T01:12:40Z,210000,False,,,0,,M. Strus STEAL (1 STL),[1629622],31,1610612748.0,MIA,,,,Strus,M. Strus,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
09:40,22,PT09M40.00S,2022-12-15T01:12:45.1Z,1,REGULAR,foul,personal,['2freethrow'],1629647,,,1610612748,4,4,2022-12-15T01:12:55Z,220000,False,,,0,,D. Bazley shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1629647, 1628389]",55,1610612760.0,OKC,shooting,,,Bazley,D. Bazley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2530.0,,,,1.0,0.0,Adebayo,1628389.0,,
09:40,24,PT09M40.00S,2022-12-15T01:13:13.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628389,,,1610612748,4,5,2022-12-15T01:13:13Z,240000,False,,,0,,B. Adebayo Free Throw 1 of 2 (5 PTS),[1628389],13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
09:40,25,PT09M40.00S,2022-12-15T01:13:33.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628389,,,1610612748,4,6,2022-12-15T01:13:33Z,250000,False,,,0,,B. Adebayo Free Throw 2 of 2 (6 PTS),[1628389],13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
09:27,26,PT09M27.00S,2022-12-15T01:13:47.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,13.61695137976347,50.98039215686274,1610612760,6,6,2022-12-15T01:14:31Z,260000,False,-5.0,75.0,1,left,S. Gilgeous-Alexander 7' driving floating Jump Shot (4 PTS),[1628983],2,1610612760.0,OKC,driving floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,7.57,Made,4.0,,,,,,,,,,,,,,,,,
09:20,27,PT09M20.00S,2022-12-15T01:13:54.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,93.38042049934296,52.69607843137255,1610612748,6,8,2022-12-15T01:14:01Z,270000,False,13.0,10.0,1,right,M. Strus cutting Layup (2 PTS) (K. Lowry 1 AST),"[1629622, 200768]",31,1610612748.0,MIA,cutting,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,1.66,Made,2.0,K. Lowry,200768.0,1.0,,,,,,,,,,,,,,
09:12,29,PT09M12.00S,2022-12-15T01:14:05.2Z,1,REGULAR,turnover,out-of-bounds,[],1628983,,,1610612760,6,8,2022-12-15T01:14:10Z,290000,False,,,0,,S. Gilgeous-Alexander bad pass out-of-bounds TURNOVER (2 TO),[1628983],2,1610612760.0,OKC,bad pass,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,1201.0,2.0,,,,,,,,
08:57,30,PT08M57.00S,2022-12-15T01:14:24.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628389,91.67214191852825,53.18627450980392,1610612748,6,8,2022-12-15T01:14:32Z,300000,False,16.0,26.0,1,right,MISS B. Adebayo Layup,[1628389],13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,3.03,Missed,,,,,,,,,,,,,,,,,,
08:54,31,PT08M54.00S,2022-12-15T01:14:27.2Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,6,8,2022-12-15T01:14:32Z,310000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],2,1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,
08:39,32,PT08M39.00S,2022-12-15T01:14:44.3Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612760,6,8,2022-12-15T01:15:00Z,320000,False,,,0,,K. Lowry shooting personal FOUL (1 PF) (Bazley 2 FT),"[200768, 1629647]",7,1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2530.0,,,,1.0,0.0,Bazley,1629647.0,,
08:39,34,PT08M39.00S,2022-12-15T01:15:05.1Z,1,REGULAR,freethrow,1 of 2,[],1629647,,,1610612760,7,8,2022-12-15T01:15:22Z,340000,False,,,0,,D. Bazley Free Throw 1 of 2 (1 PTS),[1629647],55,1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
08:39,35,PT08M39.00S,2022-12-15T01:15:05.1Z,1,REGULAR,freethrow,2 of 2,[],1629647,,,1610612760,7,8,2022-12-15T01:15:22Z,350000,False,,,0,,MISS D. Bazley Free Throw 2 of 2,[1629647],55,1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
08:37,36,PT08M37.00S,2022-12-15T01:15:07.1Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,7,8,2022-12-15T01:15:22Z,360000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,
08:20,37,PT08M20.00S,2022-12-15T01:15:44.2Z,1,REGULAR,turnover,3-second-violation,[],1628389,,,1610612748,7,8,2022-12-15T01:15:53Z,370000,False,,,0,,B. Adebayo 3-second-violation TURNOVER (1 TO),[1628389],13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2530.0,1.0,,,,,,,,
08:07,38,PT08M07.00S,2022-12-15T01:16:05.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628983,6.258212877792378,43.872549019607845,1610612760,7,8,2022-12-15T01:16:08Z,380000,False,31.0,6.0,1,left,MISS S. Gilgeous-Alexander Layup,[1628983],2,1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,3.12,Missed,,,,,,,,,,,,,,,,,,
08:05,39,PT08M05.00S,2022-12-15T01:16:07.1Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,7,8,2022-12-15T01:16:08Z,390000,False,,,0,,M. Strus REBOUND (Off:0 Def:2),[1629622],31,1610612748.0,MIA,,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,,,,,,,38.0,2.0,2.0,0.0,,,,,,,,,,
08:01,40,PT08M01.00S,2022-12-15T01:16:11.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629639,72.61826544021025,77.94117647058823,1610612748,7,8,2022-12-15T01:16:18Z,400000,False,140.0,205.0,1,right,MISS T. Herro 24' pullup 3PT,[1629639],14,1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,24.8,Missed,,,,,,,,,,,,,,,,,,
07:57,41,PT07M57.00S,2022-12-15T01:16:15.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,7,8,2022-12-15T01:16:18Z,410000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],3,1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,
07:52,42,PT07M52.00S,2022-12-15T01:16:20.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628983,4.5499342969776615,53.431372549019606,1610612760,7,8,2022-12-15T01:16:27Z,420000,False,-17.0,-10.0,1,left,MISS S. Gilgeous-Alexander reverse Layup,[1628983],2,1610612760.0,OKC,reverse,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.97,Missed,,,,,,,,,,,,,,,,,,
07:51,43,PT07M51.00S,2022-12-15T01:16:21.1Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,7,8,2022-12-15T01:16:27Z,430000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,42.0,2.0,2.0,0.0,,,,,,,,,,
07:39,44,PT07M39.00S,2022-12-15T01:16:33.1Z,1,REGULAR,3pt,Jump Shot,[],200768,92.32917214191852,4.166666666666666,1610612748,7,11,2022-12-15T01:16:38Z,440000,False,-229.0,20.0,1,right,K. Lowry 3PT  (3 PTS) (B. Adebayo 1 AST),"[200768, 1628389]",7,1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Left Corner 3,24+ Left,23.0,Made,3.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,
07:22,46,PT07M22.00S,2022-12-15T01:16:49.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,7.178055190538765,62.745098039215684,1610612760,9,11,2022-12-15T02:09:18Z,460000,False,-64.0,15.0,1,left,L. Dort 6' driving floating bank Jump Shot (2 PTS),[1629652],5,1610612760.0,OKC,driving floating bank,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,6.54,Made,2.0,,,,,,,,,,,,,,,,,
07:14,47,PT07M14.00S,2022-12-15T01:17:01.1Z,1,REGULAR,foul,offensive,[],1628997,,,1610612748,9,11,2022-12-15T01:17:08Z,470000,False,,,0,,C. Martin offensive FOUL (1 PF),"[1628997, 1629652]",16,1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,201638.0,,,,1.0,0.0,Dort,1629652.0,,
07:14,49,PT07M14.00S,2022-12-15T01:17:01.1Z,1,REGULAR,turnover,offensive foul,[],1628997,,,1610612748,9,11,2022-12-15T01:17:01Z,490000,False,,,0,,C. Martin offensive foul TURNOVER (1 TO),[1628997],16,1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,201638.0,1.0,,,,,,,,
07:04,50,PT07M04.00S,2022-12-15T01:17:19.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,4.5499342969776615,94.85294117647058,1610612760,12,11,2022-12-15T01:17:23Z,500000,False,-224.0,-10.0,1,left,L. Dort 3PT  (5 PTS) (J. Giddey 1 AST),"[1629652, 1630581]",5,1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,22.45,Made,5.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,
06:40,52,PT06M40.00S,2022-12-15T01:17:42.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,91.40932982917214,50.49019607843137,1610612748,12,11,2022-12-15T01:17:46Z,520000,False,2.0,28.0,1,right,MISS B. Adebayo Layup - blocked,"[1628389, 1629647]",13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,2.84,Missed,,,,,,,,,,,,,,,,,Bazley,1629647.0
06:40,53,PT06M40.00S,2022-12-15T01:17:42.4Z,1,REGULAR,block,,[],1629647,,,1610612748,12,11,2022-12-15T01:17:45Z,530000,False,,,0,,D. Bazley BLOCK (1 BLK),[1629647],55,1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
06:36,54,PT06M36.00S,2022-12-15T01:17:46.4Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,12,11,2022-12-15T01:17:46Z,540000,False,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628997],16,1610612748.0,MIA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,52.0,1.0,0.0,1.0,,,,,,,,,,
06:36,55,PT06M36.00S,2022-12-15T01:17:46.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628997,94.03745072273325,49.50980392156863,1610612748,12,11,2022-12-15T01:17:49Z,550000,False,-2.0,4.0,1,right,MISS C. Martin putback Layup,[1628997],16,1610612748.0,MIA,putback,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,0.43,Missed,,,,,,,,,,,,,,,,,,
06:34,56,PT06M34.00S,2022-12-15T01:17:47.7Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,12,11,2022-12-15T01:17:47Z,560000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:2),[1628983],2,1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,
06:34,57,PT06M34.00S,2022-12-15T01:17:57.3Z,1,REGULAR,foul,personal,['2freethrow'],1629639,,,1610612760,12,11,2022-12-15T01:20:33Z,570000,False,,,0,,T. Herro shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1629639, 1628983]",14,1610612748.0,MIA,shooting,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201638.0,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,
06:34,59,PT06M34.00S,2022-12-15T01:18:08.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,12,11,2022-12-15T01:18:08Z,590000,False,,,0,,OKC Timeout,[],,1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:34,60,PT06M34.00S,2022-12-15T01:20:54.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628983,,,1610612760,13,11,2022-12-15T01:21:16Z,600000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (5 PTS),[1628983],2,1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
06:34,61,PT06M34.00S,2022-12-15T01:20:54.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628983,,,1610612760,14,11,2022-12-15T01:21:16Z,610000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (6 PTS),[1628983],2,1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
06:13,62,PT06M13.00S,2022-12-15T01:21:29.2Z,1,REGULAR,3pt,Jump Shot,[],1629639,83.78777923784494,2.941176470588235,1610612748,14,14,2022-12-15T01:21:34Z,620000,False,-235.0,100.0,1,right,T. Herro 25' 3PT pullup (3 PTS) (C. Martin 2 AST),"[1629639, 1628997]",14,1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,25.56,Made,3.0,C. Martin,1628997.0,2.0,,,,,,,,,,,,,,
05:52,64,PT05M52.00S,2022-12-15T01:21:50.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.521024967148489,49.754901960784316,1610612760,16,14,2022-12-15T01:21:52Z,640000,False,1.0,9.0,1,left,S. Gilgeous-Alexander driving Layup (8 PTS),[1628983],2,1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,0.89,Made,8.0,,,,,,,,,,,,,,,,,
