actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-02T00:10:20.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-02T00:10:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-02T00:10:22.0Z,1,REGULAR,jumpball,recovered,[],1628976,,,1610612753,0,0,2022-11-02T00:10:22Z,40000,,,0,,Jump Ball B. Bol vs. J. Robinson-Earl: Tip to W. Carter Jr.,"[1628976, 1629626, 1630526]",1610612753.0,ORL,startperiod,W. Carter Jr.,1628976.0,Carter Jr.,W. Carter Jr.,Bol,1629626.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-11-02T00:10:37.7Z,1,REGULAR,turnover,bad pass,[],1631094,,,1610612753,0,0,2022-11-02T00:16:16Z,70000,,,0,,P. Banchero bad pass TURNOVER (1 TO),"[1631094, 1630526]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,1.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-11-02T00:10:37.7Z,1,REGULAR,steal,,[],1630526,,,1610612760,0,0,2022-11-02T00:10:40Z,80000,,,0,,J. Robinson-Earl STEAL (1 STL),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-11-02T00:10:50.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631114,7.440867279894875,51.71568627450981,1610612760,2,0,2022-11-02T00:10:55Z,90000,-9.0,17.0,1,left,J. Williams cutting Layup (2 PTS) (L. Dort 1 AST),"[1631114, 1629652]",1610612760.0,OKC,cutting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,1.94,Made,2.0,L. Dort,1629652.0,1.0,,,,,,,,,,,
11,PT11M11.00S,2022-11-02T00:11:07.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628976,92.46057818659659,49.754901960784316,1610612753,2,2,2022-11-02T00:11:39Z,110000,-1.0,18.0,1,right,W. Carter Jr. turnaround Hook (2 PTS) (T. Ross 1 AST),"[1628976, 203082]",1610612753.0,ORL,turnaround,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,1.84,Made,2.0,T. Ross,203082.0,1.0,,,,,,,,,,,
13,PT10M57.00S,2022-11-02T00:11:24.4Z,1,REGULAR,turnover,traveling,[],1631114,,,1610612760,2,2,2022-11-02T00:11:31Z,130000,,,0,,J. Williams traveling TURNOVER (1 TO),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,1.0,,,,,,,,,1626301.0,,,,,,,,,,
14,PT10M47.00S,2022-11-02T00:11:48.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1631094,70.38436268068331,49.50980392156863,1610612753,2,2,2022-11-02T00:11:58Z,140000,-2.0,226.0,1,right,MISS P. Banchero 22' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Center,,,,22.59,Missed,,,,,,,,,,,,,,,
15,PT10M44.00S,2022-11-02T00:11:51.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,2,2,2022-11-02T00:11:58Z,150000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Center,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,
16,PT10M38.00S,2022-11-02T00:11:56.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630581,4.28712220762155,54.65686274509803,1610612760,2,2,2022-11-02T00:12:04Z,160000,-23.0,-12.0,1,left,MISS J. Giddey running Layup - blocked,"[1630581, 1629626]",1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,2.63,Missed,,,,,,,,,,Bol,1629626.0,,,,
