actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-03-10T23:10:31.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-10T23:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-03-10T23:10:34.0Z,1,REGULAR,jumpball,recovered,[],1628379,,,1610612763,0,0,2024-03-10T23:10:34Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. C. Holmgren: Tip to L. Kennard,"[1628379, 1628991, 1631096]",1610612763.0,MEM,startperiod,L. Kennard,1628379.0,Kennard,L. Kennard,Jackson Jr.,1628991.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
12,PT11M44.00S,2024-03-10T23:11:00.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,12.959921156373195,40.931372549019606,1610612763,0,0,2024-03-10T23:11:36Z,120000,False,45.0,69.0,1,left,MISS J. Jackson Jr. 8' Hook,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Right,8.28,Missed,,,,,,,,,,,,,,,,,,
13,PT11M42.00S,2024-03-10T23:11:02.4Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,0,0,2024-03-10T23:11:06Z,130000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),8-16 Right,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M28.00S,2024-03-10T23:11:16.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,81.02825229960578,42.40196078431372,1610612760,0,0,2024-03-10T23:13:56Z,140000,False,-38.0,126.0,1,right,MISS J. Giddey 13' driving floating Shot - blocked,"[1630581, 1630583]",1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,13.14,Missed,,,,,Aldama,1630583.0,,,,,,,,,,,,
15,PT11M28.00S,2024-03-10T23:11:16.7Z,1,REGULAR,block,,[],1630583,,,1610612760,0,0,2024-03-10T23:11:19Z,150000,False,,,0,,S. Aldama BLOCK (1 BLK),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
16,PT11M28.00S,2024-03-10T23:11:16.7Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,0,0,2024-03-10T23:11:41Z,160000,False,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,PT11M28.00S,2024-03-10T23:11:21.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630581,90.88370565045992,46.07843137254902,1610612760,0,0,2024-03-10T23:13:48Z,170000,False,-20.0,33.0,1,right,MISS J. Giddey putback Layup - blocked,"[1630581, 1630583]",1610612760.0,OKC,putback,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,3.86,Missed,,,,,Aldama,1630583.0,,,,,,,,,,,,
18,PT11M28.00S,2024-03-10T23:11:21.5Z,1,REGULAR,block,,[],1630583,,,1610612760,0,0,2024-03-10T23:11:25Z,180000,False,,,0,,S. Aldama BLOCK (2 BLK),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT11M28.00S,2024-03-10T23:11:21.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,0,0,2024-03-10T23:11:46Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Restricted Area,0-8 Center,,,17.0,,,,,,,,,,,,,,,,,
