actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-28T03:05:26.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-28T03:05:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-28T03:05:29.1Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2024-02-28T03:05:29Z,40000,False,,,0,,Jump Ball A. Sengun vs. C. Holmgren: Tip to J. Smith Jr.,"[1631095, 1630578, 1631096]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-02-28T03:05:42.2Z,1,REGULAR,foul,personal,['2freethrow'],1631096,,,1610612745,0,0,2024-02-28T03:05:59Z,70000,False,,,0,,C. Holmgren shooting personal FOUL (1 PF) (Sengun 2 FT),"[1631096, 1630578]",1610612760.0,OKC,shooting,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,201639.0,1.0,0.0,Sengun,1630578.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2024-02-28T03:06:10.2Z,1,REGULAR,freethrow,1 of 2,[],1630578,,,1610612745,0,0,2024-02-28T03:06:10Z,90000,False,,,0,,MISS A. Sengun Free Throw 1 of 2,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M45.00S,2024-02-28T03:06:10.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,0,0,2024-02-28T03:06:10Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M45.00S,2024-02-28T03:06:31.1Z,1,REGULAR,freethrow,2 of 2,[],1630578,,,1610612745,0,1,2024-02-28T03:06:31Z,110000,False,,,0,,A. Sengun Free Throw 2 of 2 (1 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M26.00S,2024-02-28T03:06:51.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,71.56701708278581,75.98039215686273,1610612760,0,1,2024-02-28T03:07:13Z,120000,False,130.0,215.0,1,right,MISS L. Dort 25' step back 3PT,[1629652],1610612760.0,OKC,step back,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,25.1,,,,,,,,,,,
13,PT11M22.00S,2024-02-28T03:06:55.0Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,0,1,2024-02-28T03:06:58Z,130000,False,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,,,,12.0,,,1.0,0.0,1.0,,,,,,,,
14,PT11M20.00S,2024-02-28T03:06:55.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631114,69.72733245729303,24.754901960784316,1610612760,0,1,2024-02-28T03:07:01Z,140000,False,-126.0,232.0,1,right,MISS J. Williams 26' 3PT,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,26.42,,,,,,,,,,,
15,PT11M18.00S,2024-02-28T03:06:57.7Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,1,2024-02-28T03:07:01Z,150000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,14.0,,,1.0,1.0,0.0,,,,,,,,
16,PT11M12.00S,2024-02-28T03:07:04.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,28.203022339027594,26.715686274509803,1610612745,0,4,2024-02-28T04:15:48Z,160000,False,116.0,213.0,1,left,F. VanVleet 24' 3PT running pullup (3 PTS),[1627832],1610612745.0,HOU,running pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,3.0,24.24,,,,,,,,,,,
17,PT10M59.00S,2024-02-28T03:07:16.5Z,1,REGULAR,2pt,Jump Shot,[],1630581,85.89027595269383,75.73529411764706,1610612760,2,4,2024-02-28T03:07:21Z,170000,False,129.0,80.0,1,right,J. Giddey 15' pullup Jump Shot (2 PTS),[1630581],1610612760.0,OKC,pullup,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Right,,,,,,Made,,2.0,15.16,,,,,,,,,,,
18,PT10M50.00S,2024-02-28T03:07:27.1Z,1,REGULAR,3pt,Jump Shot,[],1627832,30.042706964520367,21.323529411764707,1610612745,2,4,2024-02-28T03:07:32Z,180000,False,143.0,230.0,1,left,MISS F. VanVleet 27' 3PT,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,27.1,,,,,,,,,,,
19,PT10M45.00S,2024-02-28T03:07:32.1Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,2,4,2024-02-28T03:07:32Z,190000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,18.0,,,1.0,1.0,0.0,,,,,,,,
20,PT10M40.00S,2024-02-28T03:07:36.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630581,93.24901445466492,51.71568627450981,1610612760,4,4,2024-02-28T03:08:15Z,200000,False,9.0,11.0,1,right,J. Giddey running finger roll Layup (4 PTS) (J. Williams 1 AST),"[1630581, 1631114]",1610612760.0,OKC,running finger roll,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,Made,,4.0,1.4,,,,J. Williams,1631114.0,1.0,,,,,
