actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-11-23T01:10:22.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-23T01:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-23T01:10:25.0Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612760,0,0,2023-11-23T01:10:25Z,40000,False,,,0,,Jump Ball C. Holmgren vs. N. Vucevic: Tip to J. Giddey,"[1630581, 1631096, 202696]",1610612760.0,OKC,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Holmgren,1631096.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-11-23T01:10:40.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641717,92.59198423127464,51.71568627450981,1610612760,2,0,2023-11-23T01:10:46Z,70000,False,9.0,17.0,1,right,C. Wallace driving finger roll Layup (2 PTS),[1641717],1610612760.0,OKC,driving finger roll,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,1.91,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2023-11-23T01:10:55.0Z,1,REGULAR,2pt,Jump Shot,[],202696,21.369908015768726,59.068627450980394,1610612741,2,0,2023-11-23T01:11:01Z,80000,False,-45.0,148.0,1,left,MISS N. Vucevic 15' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Center,15.52,Missed,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2023-11-23T01:10:58.0Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,2,0,2023-11-23T01:11:01Z,90000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Mid-Range,8-16 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M07.00S,2023-11-23T01:11:14.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,92.72339027595268,55.88235294117647,1610612760,2,0,2023-11-23T01:11:21Z,100000,False,29.0,16.0,1,right,MISS J. Giddey cutting Layup - blocked,"[1630581, 201942]",1610612760.0,OKC,cutting,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,3.34,Missed,,,,,,DeRozan,201942.0,,,,,,,,,,,
11,PT11M07.00S,2023-11-23T01:11:14.0Z,1,REGULAR,block,,[],201942,,,1610612760,2,0,2023-11-23T01:11:16Z,110000,False,,,0,,D. DeRozan BLOCK (1 BLK),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2023-11-23T01:11:17.0Z,1,REGULAR,rebound,offensive,[],1631096,,,1610612760,2,0,2023-11-23T01:11:21Z,120000,False,,,0,,C. Holmgren REBOUND (Off:1 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,10.0,2.0,1.0,1.0,,,,,,,,,,,,,
13,PT11M04.00S,2023-11-23T01:11:17.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1631096,88.12417871222075,57.107843137254896,1610612760,2,0,2023-11-23T01:11:24Z,130000,False,36.0,59.0,1,right,MISS C. Holmgren 6' Jump Shot,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,6.89,Missed,,,,,,,,,,,,,,,,,,
14,PT11M02.00S,2023-11-23T01:11:19.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,0,2023-11-23T01:11:24Z,140000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
