actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-21T00:10:29.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-21T00:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-21T00:10:33.2Z,1,REGULAR,jumpball,recovered,[],1629652,,,1610612760,0,0,2024-03-21T00:10:33Z,40000,False,,,0,,Jump Ball C. Holmgren vs. J. Collins: Tip to L. Dort,"[1629652, 1631096, 1628381]",1610612760.0,OKC,startperiod,L. Dort,1629652.0,Dort,L. Dort,Holmgren,1631096.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M55.00S,2024-03-21T00:10:35.3Z,1,REGULAR,foul,personal,['2freethrow'],1627739,,,1610612760,0,0,2024-03-21T00:10:46Z,70000,False,,,0,,K. Dunn shooting personal FOUL (1 PF) (Dort 2 FT),"[1627739, 1629652]",1610612762.0,UTA,shooting,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,1627541.0,1.0,0.0,Dort,1629652.0,,,,,,,,,,,,,,,
9,PT11M55.00S,2024-03-21T00:11:05.9Z,1,REGULAR,freethrow,1 of 2,[],1629652,,,1610612760,1,0,2024-03-21T00:11:05Z,90000,False,,,0,,L. Dort Free Throw 1 of 2 (1 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M55.00S,2024-03-21T00:11:24.2Z,1,REGULAR,freethrow,2 of 2,[],1629652,,,1610612760,2,0,2024-03-21T00:11:24Z,100000,False,,,0,,L. Dort Free Throw 2 of 2 (2 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M34.00S,2024-03-21T00:11:47.6Z,1,REGULAR,foul,personal,['2freethrow'],1630581,,,1610612762,2,0,2024-03-21T00:11:59Z,110000,False,,,0,,J. Giddey shooting personal FOUL (1 PF) (Hendricks 2 FT),"[1630581, 1641707]",1610612760.0,OKC,shooting,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,1627541.0,1.0,0.0,Hendricks,1641707.0,,,,,,,,,,,,,,,
13,PT11M34.00S,2024-03-21T00:12:14.1Z,1,REGULAR,freethrow,1 of 2,[],1641707,,,1610612762,2,1,2024-03-21T00:12:14Z,130000,False,,,0,,T. Hendricks Free Throw 1 of 2 (1 PTS),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
14,PT11M34.00S,2024-03-21T00:12:29.3Z,1,REGULAR,freethrow,2 of 2,[],1641707,,,1610612762,2,2,2024-03-21T00:12:29Z,140000,False,,,0,,T. Hendricks Free Throw 2 of 2 (2 PTS),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
15,PT11M22.00S,2024-03-21T00:12:42.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631096,92.72339027595268,46.568627450980394,1610612760,4,2,2024-03-21T00:13:11Z,150000,False,-17.0,16.0,1,right,C. Holmgren cutting Layup (2 PTS) (J. Giddey 1 AST),"[1631096, 1630581]",1610612760.0,OKC,cutting,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,2.34,J. Giddey,1630581.0,1.0,,,,,,,,,
17,PT10M58.00S,2024-03-21T00:13:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,7.5722733245729295,44.85294117647059,1610612762,4,2,2024-03-21T00:13:53Z,170000,False,26.0,19.0,1,left,MISS J. Collins cutting Layup - blocked,"[1628381, 1631096]",1610612762.0,UTA,cutting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.18,,,,Holmgren,1631096.0,,,,,,,
