actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-11-15T00:35:46.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-15T00:35:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-15T00:35:49.6Z,1,REGULAR,jumpball,recovered,[],1629652,,,1610612760,0,0,2023-11-15T00:35:49Z,40000,False,,,0,,Jump Ball C. Holmgren vs. V. Wembanyama: Tip to L. Dort,"[1629652, 1631096, 1641705]",1610612760.0,OKC,startperiod,L. Dort,1629652.0,Dort,L. Dort,Holmgren,1631096.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-11-15T00:36:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,7.178055190538765,50.49019607843137,1610612760,2,0,2023-11-15T00:36:13Z,70000,False,-2.0,15.0,1,left,J. Giddey cutting Layup (2 PTS) (C. Holmgren 1 AST),"[1630581, 1631096]",1610612760.0,OKC,cutting,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,1.52,Made,2.0,C. Holmgren,1631096.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-11-15T00:36:23.3Z,1,REGULAR,2pt,Jump Shot,[],1630170,77.7431011826544,63.725490196078425,1610612759,2,0,2023-11-15T00:36:44Z,90000,False,69.0,157.0,1,right,MISS D. Vassell 17' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Right Center,17.11,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2023-11-15T00:36:27.3Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,2,0,2023-11-15T00:36:28Z,100000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Mid-Range,16-24 Right Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M03.00S,2023-11-15T00:36:42.2Z,1,REGULAR,2pt,Jump Shot,[],1631096,24.26084099868594,56.61764705882353,1610612760,2,0,2023-11-15T00:36:47Z,110000,False,-33.0,176.0,1,left,MISS C. Holmgren 17' step back Shot,[1631096],1610612760.0,OKC,step back,,,Holmgren,C. Holmgren,,,,,Mid-Range,16-24 Center,17.87,Missed,,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2023-11-15T00:36:44.2Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,2,0,2023-11-15T00:36:47Z,120000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M48.00S,2023-11-15T00:36:58.1Z,1,REGULAR,3pt,Jump Shot,[],1630577,70.38436268068331,73.2843137254902,1610612759,2,0,2023-11-15T00:37:04Z,130000,False,116.0,226.0,1,right,MISS J. Champagnie 25' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,25.41,Missed,,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2023-11-15T00:37:00.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,2,0,2023-11-15T00:37:04Z,140000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,13.0,,,,,,,,,,,,,
16,PT10M31.00S,2023-11-15T00:37:24.0Z,1,REGULAR,2pt,Jump Shot,[],1629652,21.632720105124836,37.5,1610612760,2,0,2023-11-15T00:37:30Z,160000,False,62.0,151.0,1,left,MISS L. Dort 16' step back Shot,[1629652],1610612760.0,OKC,step back,,,Dort,L. Dort,,,,,Mid-Range,16-24 Right Center,16.32,Missed,,,,,,,,,,,,,,,,,,
17,PT10M28.00S,2023-11-15T00:37:27.0Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,2,0,2023-11-15T00:37:30Z,170000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Right Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
