actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-10-31T00:11:10.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-31T00:11:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-10-31T00:11:12.4Z,1,REGULAR,jumpball,recovered,[],1630165,,,1610612765,0,0,2023-10-31T00:11:12Z,40000,False,,,0,,Jump Ball J. Duren vs. C. Holmgren: Tip to K. Hayes,"[1630165, 1631105, 1631096]",1610612765.0,DET,startperiod,K. Hayes,1630165.0,Hayes,K. Hayes,Duren,1631105.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-10-31T00:11:24.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,7.703679369250986,58.333333333333336,1610612765,0,0,2023-10-31T00:11:31Z,70000,False,-42.0,20.0,1,left,MISS I. Stewart Layup - blocked,"[1630191, 1631114]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),0-8 Center,4.62,Missed,Williams,1631114.0,,,,,,,,,,,,,,,,
8,PT11M47.00S,2023-10-31T00:11:24.4Z,1,REGULAR,block,,[],1631114,,,1610612765,0,0,2023-10-31T00:11:27Z,80000,False,,,0,,J. Williams BLOCK (1 BLK),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M47.00S,2023-10-31T00:11:24.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,0,0,2023-10-31T00:11:31Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M37.00S,2023-10-31T00:11:59.7Z,1,REGULAR,foul,personal,['2freethrow'],1628983,,,1610612765,0,0,2023-10-31T00:12:11Z,110000,False,,,0,,S. Gilgeous-Alexander shooting personal FOUL (1 PF) (Hayes 2 FT),"[1628983, 1630165]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left Center,,,,,,203177.0,1.0,0.0,Hayes,1630165.0,,,,,,,,,,
13,PT11M37.00S,2023-10-31T00:12:17.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630165,,,1610612765,0,1,2023-10-31T00:12:33Z,130000,False,,,0,,K. Hayes Free Throw 1 of 2 (1 PTS),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
14,PT11M37.00S,2023-10-31T00:12:17.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630165,,,1610612765,0,1,2023-10-31T00:12:33Z,140000,False,,,0,,MISS K. Hayes Free Throw 2 of 2,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M35.00S,2023-10-31T00:12:19.0Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,0,1,2023-10-31T00:12:33Z,150000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,14.0,,,,,,,1.0,1.0,0.0,,,,,,
16,PT11M18.00S,2023-10-31T00:12:48.5Z,1,REGULAR,2pt,Jump Shot,[],1631114,77.08607095926413,18.38235294117647,1610612760,2,1,2023-10-31T00:12:54Z,160000,False,-158.0,163.0,1,right,J. Williams 22' step back Jump Shot (2 PTS),[1631114],1610612760.0,OKC,step back,,,Williams,J. Williams,,,,,Mid-Range,16-24 Left Center,22.7,Made,,,,,,,,,2.0,,,,,,,,,
