actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-12T01:10:16.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-12T01:10:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-12T01:10:18.2Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2024-01-12T01:10:18Z,40000,False,,,0,,Jump Ball C. Holmgren vs. D. Reath: Tip to S. Gilgeous-Alexander,"[1628983, 1631096, 1641871]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Holmgren,1631096.0,Reath,1641871.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-01-12T01:10:27.8Z,1,REGULAR,turnover,lost ball,[],1630581,,,1610612760,0,0,2024-01-12T01:10:33Z,70000,False,,,0,,J. Giddey lost ball TURNOVER (1 TO),"[1630581, 1630703]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,1.0,Henderson,1630703.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2024-01-12T01:10:27.8Z,1,REGULAR,steal,,[],1630703,,,1610612757,0,0,2024-01-12T01:10:30Z,80000,False,,,0,,S. Henderson STEAL (1 STL),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2024-01-12T01:10:31.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630703,92.9862023653088,50.73529411764706,1610612757,0,2,2024-01-12T01:10:37Z,90000,False,4.0,13.0,1,right,S. Henderson running DUNK (2 PTS),[1630703],1610612757.0,POR,running,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,,,,1.39,Made,2.0,,,,,,,,,,,,,,
10,PT11M33.00S,2024-01-12T01:10:41.7Z,1,REGULAR,3pt,Jump Shot,[],1631096,28.33442838370565,24.264705882352942,1610612760,0,2,2024-01-12T01:10:48Z,100000,False,129.0,214.0,1,left,MISS C. Holmgren 24' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,,,,24.95,Missed,,,,,,,,,,,,,,,
11,PT11M30.00S,2024-01-12T01:10:44.7Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,0,2,2024-01-12T01:10:48Z,110000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M21.00S,2024-01-12T01:10:53.9Z,1,REGULAR,3pt,Jump Shot,[],1630703,71.56701708278581,76.22549019607843,1610612757,0,5,2024-01-12T01:10:58Z,120000,False,131.0,215.0,1,right,S. Henderson 25' 3PT  (5 PTS) (T. Camara 1 AST),"[1630703, 1641739]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Right Center,,,,25.16,Made,5.0,,,,,T. Camara,1641739.0,1.0,,,,,,,
14,PT10M52.00S,2024-01-12T01:11:23.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631114,5.601182654402102,50.49019607843137,1610612760,2,5,2024-01-12T01:11:27Z,140000,False,-2.0,0.0,1,left,J. Williams DUNK (2 PTS) (J. Giddey 1 AST),"[1631114, 1630581]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,0.25,Made,2.0,,,,,J. Giddey,1630581.0,1.0,,,,,,,
16,PT10M38.00S,2024-01-12T01:11:41.2Z,1,REGULAR,foul,offensive,[],1629014,,,1610612757,2,5,2024-01-12T01:11:47Z,160000,False,,,0,,A. Simons offensive FOUL (1 PF),"[1629014, 1631114]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,1626301.0,1.0,0.0,Williams,1631114.0,,
