actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-11T20:10:37.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-11T20:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-02-11T20:10:39.7Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2024-02-11T20:10:39Z,40000,False,,,0,,Jump Ball D. Sabonis vs. C. Holmgren: Tip to H. Barnes,"[203084, 1627734, 1631096]",1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Sabonis,1627734.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-02-11T20:10:54.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,93.24901445466492,47.794117647058826,1610612758,0,0,2024-02-11T20:11:22Z,70000,False,-11.0,11.0,1,right,MISS D. Sabonis cutting Layup,[1627734],1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.56,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-02-11T20:10:57.4Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,0,0,2024-02-11T20:11:02Z,80000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2024-02-11T20:10:56.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627734,94.40999984741211,50.0,1610612758,0,2,2024-02-11T20:10:57Z,90000,False,0.0,0.0,1,right,D. Sabonis tip Layup (2 PTS),[1627734],1610612758.0,SAC,tip,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M22.00S,2024-02-11T20:11:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,7.440867279894875,48.77450980392157,1610612760,0,2,2024-02-11T20:15:12Z,100000,False,6.0,17.0,1,left,MISS J. Giddey cutting Layup - blocked,"[1630581, 1631099]",1610612760.0,OKC,cutting,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,1.84,Missed,,,,,,Murray,1631099.0,,,,,,,,,,,
11,PT11M22.00S,2024-02-11T20:11:16.3Z,1,REGULAR,block,,[],1631099,,,1610612760,0,2,2024-02-11T20:11:18Z,110000,False,,,0,,K. Murray BLOCK (1 BLK),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2024-02-11T20:11:17.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,0,2,2024-02-11T20:15:12Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Restricted Area,0-8 Center,,,10.0,,,,,,,,,,,,,,,,,
14,PT11M16.00S,2024-02-11T20:11:32.1Z,1,REGULAR,turnover,bad pass,[],1631096,,,1610612760,0,2,2024-02-11T20:11:36Z,140000,False,,,0,,C. Holmgren bad pass TURNOVER (1 TO),"[1631096, 1627734]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1.0,Sabonis,1627734.0,,,,,,,,
15,PT11M16.00S,2024-02-11T20:11:32.1Z,1,REGULAR,steal,,[],1627734,,,1610612758,0,2,2024-02-11T20:11:34Z,150000,False,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
16,PT11M05.00S,2024-02-11T20:11:43.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628368,74.98357424441524,86.51960784313727,1610612758,0,2,2024-02-11T20:11:47Z,160000,False,183.0,183.0,1,right,MISS D. Fox 25' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,25.83,Missed,,,,,,,,,,,,,,,,,,
17,PT11M02.00S,2024-02-11T20:11:46.0Z,1,REGULAR,rebound,offensive,[],1631099,,,1610612758,0,2,2024-02-11T20:11:46Z,170000,False,,,0,,K. Murray REBOUND (Off:1 Def:0),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,
