actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,jumpBallRecoverdPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
19,PT10M36.00S,2024-04-14T19:43:07.9Z,1,REGULAR,foul,personal,[],1628983,,,1610612742,2,0,2024-04-14T19:43:33Z,190000,False,,,0,,S. Gilgeous-Alexander personal FOUL (1 PF),"[1628983, 1630182]",1610612760.0,OKC,,,,,,,Mid-Range,16-24 Right Center,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,202026.0,1.0,0.0,Green,1630182.0,,,,,
21,PT10M26.00S,2024-04-14T19:43:39.2Z,1,REGULAR,turnover,palming,[],1641765,,,1610612742,2,0,2024-04-14T19:43:45Z,210000,False,,,0,,O. Prosper palming TURNOVER (1 TO),[1641765],1610612742.0,DAL,,,,,,,Mid-Range,16-24 Right Center,,,Prosper,O. Prosper,,,,,,,,,,1162.0,,,,,1.0,,,,
22,PT10M10.00S,2024-04-14T19:44:01.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631096,6.389618922470433,46.568627450980394,1610612760,4,0,2024-04-14T19:44:51Z,220000,False,17.0,8.0,1,left,C. Holmgren alley-oop Layup (2 PTS) (J. Williams 1 AST),"[1631096, 1631114]",1610612760.0,OKC,alley-oop,,,,,,Restricted Area,0-8 Center,1.88,Made,Holmgren,C. Holmgren,,,,,,2.0,J. Williams,1631114.0,1.0,,,,,,,,,,
24,PT09M59.00S,2024-04-14T19:44:11.7Z,1,REGULAR,2pt,Jump Shot,[],203501,89.30683311432325,23.52941176470588,1610612742,4,0,2024-04-14T19:45:11Z,240000,False,-132.0,48.0,1,right,MISS T. Hardaway Jr. 14' fadeaway bank Shot,[203501],1610612742.0,DAL,fadeaway bank,,,,,,Mid-Range,8-16 Left,14.08,Missed,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,
26,PT09M59.00S,2024-04-14T19:44:11.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,4,0,2024-04-14T19:44:18Z,250000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,Mid-Range,8-16 Left,,,,,24.0,,,,,,,,,,,,,,,,,,
28,PT09M45.00S,2024-04-14T19:44:32.7Z,1,REGULAR,3pt,Jump Shot,[],1628983,19.793035479632064,92.15686274509804,1610612760,4,0,2024-04-14T19:44:37Z,270000,False,-211.0,134.0,1,left,MISS S. Gilgeous-Alexander 24' step back 3PT,[1628983],1610612760.0,OKC,step back,,,,,,Above the Break 3,24+ Left Center,24.96,Missed,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,
29,PT09M41.00S,2024-04-14T19:44:36.7Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,4,0,2024-04-14T19:44:37Z,280000,False,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,,,Giddey,J. Giddey,28.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
30,PT09M40.00S,2024-04-14T19:44:36.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630581,7.046649145860711,48.77450980392157,1610612760,6,0,2024-04-14T19:44:39Z,290000,False,6.0,14.0,1,left,J. Giddey putback Layup (2 PTS),[1630581],1610612760.0,OKC,putback,,,,,,Restricted Area,0-8 Center,1.5,Made,Giddey,J. Giddey,,,,,,2.0,,,,,,,,,,,,,
31,PT09M23.00S,2024-04-14T19:44:55.8Z,1,REGULAR,turnover,out-of-bounds,[],203939,,,1610612742,6,0,2024-04-14T19:45:03Z,300000,False,,,0,,D. Powell bad pass out-of-bounds TURNOVER (1 TO),[203939],1610612742.0,DAL,bad pass,,,,,,In The Paint (Non-RA),0-8 Center,,,Powell,D. Powell,,,,,,,,,,1627541.0,,,,,1.0,,,,
32,PT09M10.00S,2024-04-14T19:45:17.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628983,5.732588699080158,49.50980392156863,1610612760,8,0,2024-04-14T19:46:08Z,310000,False,2.0,1.0,1,left,S. Gilgeous-Alexander driving Layup (4 PTS),[1628983],1610612760.0,OKC,driving,,,,,,Restricted Area,0-8 Center,0.29,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,4.0,,,,,,,,,,,,,
33,PT09M10.00S,2024-04-14T19:45:20.3Z,1,REGULAR,foul,personal,['1freethrow'],1630702,,,1610612760,8,0,2024-04-14T19:45:27Z,320000,False,,,0,,J. Hardy shooting personal FOUL (1 PF) (Gilgeous-Alexander 1 FT),"[1630702, 1628983]",1610612742.0,DAL,shooting,,,,,,Restricted Area,0-8 Center,,,Hardy,J. Hardy,,,,,,,,,,1162.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,
35,PT09M10.00S,2024-04-14T19:45:40.0Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1628983,,,1610612760,9,0,2024-04-14T19:45:40Z,340000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 1 (5 PTS),[1628983],1610612760.0,OKC,,,,,,,,,,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,5.0,,,,,,,,,,,,,
36,PT08M59.00S,2024-04-14T19:45:52.3Z,1,REGULAR,3pt,Jump Shot,[],203501,70.77858081471747,79.90196078431373,1610612742,9,0,2024-04-14T19:45:56Z,350000,False,150.0,222.0,1,right,MISS T. Hardaway Jr. 26' 3PT,[203501],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Right Center,26.78,Missed,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,
37,PT08M57.00S,2024-04-14T19:45:54.3Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,9,0,2024-04-14T19:45:56Z,360000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,,,Dort,L. Dort,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
38,PT08M47.00S,2024-04-14T19:46:04.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631096,10.988830486202366,49.50980392156863,1610612760,9,0,2024-04-14T19:46:52Z,370000,False,2.0,51.0,1,left,MISS C. Holmgren turnaround Shot,[1631096],1610612760.0,OKC,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,5.09,Missed,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,
39,PT08M44.00S,2024-04-14T19:46:07.5Z,1,REGULAR,rebound,offensive,[],1631096,,,1610612760,9,0,2024-04-14T19:46:08Z,380000,False,,,0,,C. Holmgren REBOUND (Off:1 Def:2),[1631096],1610612760.0,OKC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Holmgren,C. Holmgren,38.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
40,PT08M44.00S,2024-04-14T19:46:06.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631096,5.590000152587891,50.0,1610612760,11,0,2024-04-14T19:46:06Z,390000,False,0.0,0.0,1,left,C. Holmgren tip Layup (4 PTS),[1631096],1610612760.0,OKC,tip,,,,,,Mid-Range,8-16 Left,0.0,Made,Holmgren,C. Holmgren,,,,,,4.0,,,,,,,,,,,,,
41,PT08M30.00S,2024-04-14T19:46:21.2Z,1,REGULAR,3pt,Jump Shot,[],1641765,97.45400788436268,4.166666666666666,1610612742,11,3,2024-04-14T19:46:27Z,400000,False,-229.0,-29.0,1,right,O. Prosper 3PT  (3 PTS) (J. Hardy 1 AST),"[1641765, 1630702]",1610612742.0,DAL,,,,,,,Left Corner 3,24+ Left,23.1,Made,Prosper,O. Prosper,,,,,,3.0,J. Hardy,1630702.0,1.0,,,,,,,,,,
43,PT08M17.00S,2024-04-14T19:46:33.9Z,1,REGULAR,2pt,Jump Shot,[],1631114,24.52365308804205,50.0,1610612760,11,3,2024-04-14T19:46:38Z,420000,False,0.0,178.0,1,left,MISS J. Williams 17' pullup Shot,[1631114],1610612760.0,OKC,pullup,,,,,,Mid-Range,16-24 Center,17.8,Missed,Williams,J. Williams,,,,,,,,,,,,,,,,,,,
44,PT08M14.00S,2024-04-14T19:46:37.3Z,1,REGULAR,rebound,offensive,[],1628983,,,1610612760,11,3,2024-04-14T19:46:37Z,430000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:1 Def:0),[1628983],1610612760.0,OKC,,,,,,,Mid-Range,16-24 Center,,,Gilgeous-Alexander,S. Gilgeous-Alexander,43.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
45,PT08M11.00S,2024-04-14T19:46:39.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629652,9.674770039421814,48.77450980392157,1610612760,13,3,2024-04-14T19:47:58Z,440000,False,6.0,38.0,1,left,L. Dort driving floating bank Jump Shot (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1629652, 1628983]",1610612760.0,OKC,driving floating bank,,,,,,Restricted Area,0-8 Center,3.89,Made,Dort,L. Dort,,,,,,2.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,
47,PT07M58.00S,2024-04-14T19:46:54.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630702,91.93495400788436,58.333333333333336,1610612742,13,3,2024-04-14T19:46:57Z,460000,False,42.0,23.0,1,right,MISS J. Hardy driving Layup - blocked,"[1630702, 1631096]",1610612742.0,DAL,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.78,Missed,Hardy,J. Hardy,,,,,,,,,,,,,,,,Holmgren,1631096.0,,
48,PT07M58.00S,2024-04-14T19:46:54.2Z,1,REGULAR,block,,[],1631096,,,1610612742,13,3,2024-04-14T19:46:56Z,470000,False,,,0,,C. Holmgren BLOCK (1 BLK),[1631096],1610612760.0,OKC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,
49,PT07M58.00S,2024-04-14T19:46:54.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,13,3,2024-04-14T19:46:57Z,480000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,47.0,,,,,,,,,,,,,,,,,,
51,PT07M45.00S,2024-04-14T19:47:22.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630182,84.31340341655716,63.48039215686274,1610612742,13,3,2024-04-14T19:47:26Z,500000,False,67.0,95.0,1,right,MISS J. Green 11' fadeaway Shot,[1630182],1610612742.0,DAL,fadeaway,,,,,,In The Paint (Non-RA),8-16 Right,11.65,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,,
52,PT07M42.00S,2024-04-14T19:47:25.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,13,3,2024-04-14T19:47:26Z,510000,False,,,0,,J. Giddey REBOUND (Off:1 Def:1),[1630581],1610612760.0,OKC,,,,,,,In The Paint (Non-RA),8-16 Right,,,Giddey,J. Giddey,51.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
53,PT07M33.00S,2024-04-14T19:47:33.2Z,1,REGULAR,turnover,bad pass,[],1631096,,,1610612760,13,3,2024-04-14T19:47:36Z,520000,False,,,0,,C. Holmgren bad pass TURNOVER (1 TO),"[1631096, 1630702]",1610612760.0,OKC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,1.0,,,Hardy,1630702.0
54,PT07M33.00S,2024-04-14T19:47:33.2Z,1,REGULAR,steal,,[],1630702,,,1610612742,13,3,2024-04-14T19:47:34Z,530000,False,,,0,,J. Hardy STEAL (1 STL),[1630702],1610612742.0,DAL,,,,,,,In The Paint (Non-RA),0-8 Center,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,
55,PT07M28.00S,2024-04-14T19:47:39.5Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612742,13,3,2024-04-14T19:47:47Z,540000,False,,,0,,L. Dort shooting personal FOUL (1 PF) (Prosper 2 FT),"[1629652, 1641765]",1610612760.0,OKC,shooting,,,,,,Restricted Area,0-8 Center,,,Dort,L. Dort,,,,,,,,,,1162.0,1.0,0.0,Prosper,1641765.0,,,,,
57,PT07M28.00S,2024-04-14T19:48:14.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1641765,,,1610612742,13,4,2024-04-14T19:48:37Z,560000,False,,,0,,O. Prosper Free Throw 1 of 2 (4 PTS),[1641765],1610612742.0,DAL,,,,,,,,,,Made,Prosper,O. Prosper,,,,,,4.0,,,,,,,,,,,,,
58,PT07M28.00S,2024-04-14T19:48:14.2Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1641765,,,1610612742,13,4,2024-04-14T19:48:37Z,570000,False,,,0,,MISS O. Prosper Free Throw 2 of 2,[1641765],1610612742.0,DAL,,,,,,,,,,Missed,Prosper,O. Prosper,,,,,,,,,,,,,,,,,,,
59,PT07M26.00S,2024-04-14T19:48:16.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,13,4,2024-04-14T19:48:37Z,580000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,
61,PT07M08.00S,2024-04-14T19:49:00.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631096,17.95335085413929,36.27450980392157,1610612760,15,4,2024-04-14T19:49:04Z,600000,False,69.0,116.0,1,left,C. Holmgren 13' turnaround fadeaway Jump Shot (6 PTS) (L. Dort 1 AST),"[1631096, 1629652]",1610612760.0,OKC,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,13.5,Made,Holmgren,C. Holmgren,,,,,,6.0,L. Dort,1629652.0,1.0,,,,,,,,,,
63,PT06M50.00S,2024-04-14T19:49:21.4Z,1,REGULAR,turnover,out-of-bounds,[],1630702,,,1610612742,15,4,2024-04-14T19:49:26Z,620000,False,,,0,,J. Hardy bad pass out-of-bounds TURNOVER (1 TO),[1630702],1610612742.0,DAL,bad pass,,,,,,In The Paint (Non-RA),8-16 Center,,,Hardy,J. Hardy,,,,,,,,,,1162.0,,,,,1.0,,,,
64,PT06M50.00S,2024-04-14T19:49:25.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,15,4,2024-04-14T19:49:25Z,630000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M50.00S,2024-04-14T19:51:30.4Z,1,REGULAR,substitution,out,[],1630702,,,1610612760,15,4,2024-04-14T19:51:54Z,640000,False,,,0,,SUB out: J. Hardy,[1630702],1610612742.0,DAL,,,,,,,,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,
66,PT06M50.00S,2024-04-14T19:51:30.4Z,1,REGULAR,substitution,out,[],203939,,,1610612760,15,4,2024-04-14T19:51:54Z,650000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,,,,,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,
