actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-24T01:10:34.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-24T01:10:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-24T01:10:36.4Z,1,REGULAR,jumpball,recovered,[],1631133,,,1610612757,0,0,2024-01-24T01:10:36Z,40000,False,,,0,,Jump Ball D. Ayton vs. C. Holmgren: Tip to J. Walker,"[1631133, 1629028, 1631096]",1610612757.0,POR,startperiod,J. Walker,1631133.0,Walker,J. Walker,Ayton,1629028.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-01-24T01:10:52.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,87.72996057818659,49.01960784313725,1610612757,0,0,2024-01-24T01:11:11Z,70000,False,-5.0,63.0,1,right,MISS D. Ayton 6' driving Hook,[1629028],1610612757.0,POR,driving,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,6.3,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-01-24T01:10:56.4Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,0,0,2024-01-24T01:10:58Z,80000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2024-01-24T01:11:09.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631096,19.66162943495401,42.40196078431372,1610612760,2,0,2024-01-24T01:11:14Z,90000,False,38.0,132.0,1,left,C. Holmgren 13' pullup Jump Shot (2 PTS) (L. Dort 1 AST),"[1631096, 1629652]",1610612760.0,OKC,pullup,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),8-16 Center,13.76,Made,,,,,2.0,L. Dort,1629652.0,1.0,,,,,,,,,,
11,PT11M09.00S,2024-01-24T01:11:23.9Z,1,REGULAR,3pt,Jump Shot,[],203924,92.06636005256242,3.9215686274509802,1610612757,2,0,2024-01-24T01:11:28Z,110000,False,-230.0,22.0,1,right,MISS J. Grant 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Left Corner 3,24+ Left,23.15,Missed,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2024-01-24T01:11:27.9Z,1,REGULAR,rebound,offensive,[],1631133,,,1610612757,2,0,2024-01-24T01:11:28Z,130000,False,,,0,,J. Walker REBOUND (Off:1 Def:0),[1631133],1610612757.0,POR,,,,Walker,J. Walker,,,,,Left Corner 3,24+ Left,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M02.00S,2024-01-24T01:11:30.6Z,1,REGULAR,turnover,bad pass,[],1631133,,,1610612757,2,0,2024-01-24T01:11:35Z,140000,False,,,0,,J. Walker bad pass TURNOVER (1 TO),"[1631133, 1628983]",1610612757.0,POR,,,,Walker,J. Walker,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,Gilgeous-Alexander,1628983.0,,,,,,,
15,PT11M02.00S,2024-01-24T01:11:30.6Z,1,REGULAR,steal,,[],1628983,,,1610612760,2,0,2024-01-24T01:11:32Z,150000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
16,PT10M59.00S,2024-01-24T01:11:33.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628983,5.601182654402102,51.9607843137255,1610612760,4,0,2024-01-24T01:11:41Z,160000,False,-10.0,0.0,1,left,S. Gilgeous-Alexander running finger roll Layup (2 PTS),[1628983],1610612760.0,OKC,running finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,0.98,Made,,,,,2.0,,,,,,,,,,,,,
17,PT10M46.00S,2024-01-24T01:11:49.1Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612757,4,0,2024-01-24T01:12:00Z,170000,False,,,0,,L. Dort shooting personal FOUL (1 PF) (Ayton 2 FT),"[1629652, 1629028]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1628171.0,1.0,0.0,Ayton,1629028.0,,
19,PT10M46.00S,2024-01-24T01:12:10.4Z,1,REGULAR,freethrow,1 of 2,[],1629028,,,1610612757,4,0,2024-01-24T01:12:10Z,190000,False,,,0,,MISS D. Ayton Free Throw 1 of 2,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
20,PT10M46.00S,2024-01-24T01:12:10.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,4,0,2024-01-24T01:12:10Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,
21,PT10M46.00S,2024-01-24T01:12:23.1Z,1,REGULAR,freethrow,2 of 2,[],1629028,,,1610612757,4,1,2024-01-24T01:12:23Z,210000,False,,,0,,D. Ayton Free Throw 2 of 2 (1 PTS),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
22,PT10M39.00S,2024-01-24T01:12:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,7.178055190538765,59.068627450980394,1610612760,4,1,2024-01-24T01:12:36Z,220000,False,-45.0,15.0,1,left,MISS S. Gilgeous-Alexander driving Layup - blocked,"[1628983, 1629014]",1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,4.77,Missed,,,,,,,,,,,,,,,,,Simons,1629014.0
23,PT10M39.00S,2024-01-24T01:12:31.3Z,1,REGULAR,block,,[],1629014,,,1610612760,4,1,2024-01-24T01:12:33Z,230000,False,,,0,,A. Simons BLOCK (1 BLK),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
