actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-01T00:10:46.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-01T00:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-01T00:10:49.0Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612751,0,0,2024-01-01T00:10:49Z,40000,False,,,0,,Jump Ball N. Claxton vs. C. Holmgren: Tip to S. Dinwiddie,"[203915, 1629651, 1631096]",1610612751.0,BKN,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Claxton,1629651.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2024-01-01T00:11:14.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612751,0,0,2024-01-01T00:11:20Z,70000,False,,,0,,BKN shot clock Team TURNOVER,[],1610612751.0,BKN,,,,,,,,,,Mid-Range,16-24 Center,1627534.0,,,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2024-01-01T00:11:33.1Z,1,REGULAR,turnover,bad pass,[],1631114,,,1610612760,0,0,2024-01-01T00:11:36Z,80000,False,,,0,,J. Williams bad pass TURNOVER (1 TO),"[1631114, 1629651]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,1.0,Claxton,1629651.0,,,,,,,,,,,,,,,,
9,PT11M25.00S,2024-01-01T00:11:33.1Z,1,REGULAR,steal,,[],1629651,,,1610612751,0,0,2024-01-01T00:11:35Z,90000,False,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2024-01-01T00:11:40.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628969,25.312089356110377,9.313725490196079,1610612751,0,3,2024-01-01T00:11:45Z,100000,False,203.0,185.0,1,left,M. Bridges 27' 3PT  (3 PTS) (S. Dinwiddie 1 AST),"[1628969, 203915]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,27.52,Made,3.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,
12,PT11M01.00S,2024-01-01T00:11:56.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,93.9060446780552,48.28431372549019,1610612760,0,3,2024-01-01T00:12:03Z,120000,False,-9.0,5.0,1,right,MISS J. Giddey cutting Layup,[1630581],1610612760.0,OKC,cutting,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,0.98,Missed,,,,,,,,,,,,,,
13,PT10M58.00S,2024-01-01T00:11:59.4Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,3,2024-01-01T00:12:03Z,130000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
14,PT10M51.00S,2024-01-01T00:12:09.4Z,1,REGULAR,foul,personal,['2freethrow'],1631096,,,1610612751,0,3,2024-01-01T00:12:16Z,140000,False,,,0,,C. Holmgren shooting personal FOUL (1 PF) (Claxton 2 FT),"[1631096, 1629651]",1610612760.0,OKC,shooting,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,1627534.0,,,,,,,,,,,,,,1.0,0.0,Claxton,1629651.0,,
16,PT10M51.00S,2024-01-01T00:12:34.9Z,1,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,0,4,2024-01-01T00:12:35Z,160000,False,,,0,,N. Claxton Free Throw 1 of 2 (1 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
