actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-09T01:10:30.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-09T01:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-09T01:10:51.2Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2023-11-09T01:10:51Z,40000,False,,,0,,Jump Ball J. Allen vs. C. Holmgren: Tip to E. Mobley,"[1630596, 1628386, 1631096]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-11-09T01:11:11.0Z,1,REGULAR,foul,personal,['2freethrow'],1628983,,,1610612739,0,0,2023-11-09T01:11:19Z,70000,False,,,0,,S. Gilgeous-Alexander shooting personal FOUL (1 PF) (Allen 2 FT),"[1628983, 1628386]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,202056.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2023-11-09T01:11:32.3Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,0,1,2023-11-09T01:11:32Z,90000,False,,,0,,J. Allen Free Throw 1 of 2 (1 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M45.00S,2023-11-09T01:11:32.3Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,0,1,2023-11-09T01:11:50Z,100000,False,,,0,,MISS J. Allen Free Throw 2 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M43.00S,2023-11-09T01:11:34.3Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,1,2023-11-09T01:11:50Z,110000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M37.00S,2023-11-09T01:11:54.3Z,1,REGULAR,turnover,bad pass,[],1629652,,,1610612760,0,1,2023-11-09T01:11:58Z,120000,False,,,0,,L. Dort bad pass TURNOVER (1 TO),"[1629652, 1628378]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,Mitchell,1628378.0,,,,,,
13,PT11M37.00S,2023-11-09T01:11:54.3Z,1,REGULAR,steal,,[],1628378,,,1610612739,0,1,2023-11-09T01:11:55Z,130000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M31.00S,2023-11-09T01:11:59.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628378,93.51182654402102,50.98039215686274,1610612739,0,3,2023-11-09T01:12:05Z,140000,False,5.0,8.0,1,right,D. Mitchell running Layup (2 PTS),[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,,,,0.98,,,,,
15,PT11M10.00S,2023-11-09T01:12:20.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,19.530223390275953,49.26470588235294,1610612760,0,3,2023-11-09T01:12:26Z,150000,False,4.0,131.0,1,left,MISS J. Williams 13' pullup Shot,[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,,,,13.12,,,,,
16,PT11M08.00S,2023-11-09T01:12:22.2Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,0,3,2023-11-09T01:12:26Z,160000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT11M02.00S,2023-11-09T01:12:29.3Z,1,REGULAR,3pt,Jump Shot,[],1629636,97.58541392904073,95.34313725490196,1610612739,0,6,2023-11-09T01:12:35Z,170000,False,227.0,-30.0,1,right,D. Garland 3PT  (3 PTS) (D. Mitchell 1 AST),"[1629636, 1628378]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,,,,,,,,22.87,D. Mitchell,1628378.0,1.0,,
19,PT10M50.00S,2023-11-09T01:12:40.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,6.258212877792378,47.794117647058826,1610612760,2,6,2023-11-09T01:12:43Z,190000,False,11.0,6.0,1,left,J. Giddey Layup (2 PTS),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,,,,1.27,,,,,
20,PT10M36.00S,2023-11-09T01:12:57.5Z,1,REGULAR,foul,personal,['2freethrow'],1631096,,,1610612739,2,6,2023-11-09T01:13:05Z,200000,False,,,0,,C. Holmgren shooting personal FOUL (1 PF) (Allen 2 FT),"[1631096, 1628386]",1610612760.0,OKC,shooting,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,1628484.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,,,,
22,PT10M36.00S,2023-11-09T01:13:21.4Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,2,6,2023-11-09T01:13:21Z,220000,False,,,0,,MISS J. Allen Free Throw 1 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
23,PT10M36.00S,2023-11-09T01:13:21.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,2,6,2023-11-09T01:13:21Z,230000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,
24,PT10M36.00S,2023-11-09T01:13:38.4Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,2,7,2023-11-09T01:13:38Z,240000,False,,,0,,J. Allen Free Throw 2 of 2 (2 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
25,PT10M22.00S,2023-11-09T01:13:53.6Z,1,REGULAR,3pt,Jump Shot,[],1630581,26.10052562417871,81.86274509803921,1610612760,2,7,2023-11-09T01:13:57Z,250000,False,-159.0,193.0,1,left,MISS J. Giddey 25' 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,,,,25.01,,,,,
26,PT10M19.00S,2023-11-09T01:13:56.6Z,1,REGULAR,rebound,offensive,[],1628983,,,1610612760,2,7,2023-11-09T01:13:57Z,260000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:1 Def:0),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,
27,PT10M16.00S,2023-11-09T01:13:59.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628983,5.601182654402102,53.431372549019606,1610612760,4,7,2023-11-09T01:14:03Z,270000,False,-17.0,0.0,1,left,S. Gilgeous-Alexander putback Layup (2 PTS),[1628983],1610612760.0,OKC,putback,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,,,,1.72,,,,,
28,PT10M10.00S,2023-11-09T01:14:04.4Z,1,REGULAR,3pt,Jump Shot,[],1629622,72.88107752956637,81.12745098039215,1610612739,4,10,2023-11-09T01:14:08Z,280000,False,156.0,202.0,1,right,M. Strus 25' 3PT  (3 PTS) (D. Mitchell 2 AST),"[1629622, 1628378]",1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,,,,,,,,25.53,D. Mitchell,1628378.0,2.0,,
30,PT09M51.00S,2023-11-09T01:14:23.2Z,1,REGULAR,3pt,Jump Shot,[],1631096,28.728646517739815,76.9607843137255,1610612760,7,10,2023-11-09T01:14:29Z,300000,False,-135.0,218.0,1,left,C. Holmgren 25' 3PT  (3 PTS) (J. Giddey 1 AST),"[1631096, 1630581]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,,,,,,,25.59,J. Giddey,1630581.0,1.0,,
32,PT09M29.00S,2023-11-09T01:14:46.3Z,1,REGULAR,2pt,Jump Shot,[],1628378,70.90998685939553,47.30392156862745,1610612739,7,10,2023-11-09T01:14:52Z,320000,False,-13.0,221.0,1,right,MISS D. Mitchell 22' pullup Shot,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Center,,,,,,Missed,,,,,,,,,22.13,,,,,
33,PT09M25.00S,2023-11-09T01:14:50.3Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,7,10,2023-11-09T01:14:52Z,330000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Mid-Range,16-24 Center,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,
