actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-23T01:10:44.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-23T01:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-23T01:10:45.9Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612760,0,0,2024-02-23T01:10:46Z,40000,False,,,0,,Jump Ball C. Holmgren vs. I. Zubac: Tip to J. Giddey,"[1630581, 1631096, 1627826]",1610612760.0,OKC,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Holmgren,1631096.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-02-23T01:11:00.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,91.40932982917214,59.80392156862745,1610612760,2,0,2024-02-23T01:11:06Z,70000,False,49.0,28.0,1,right,J. Giddey driving bank Jump Shot (2 PTS),[1630581],1610612760.0,OKC,driving bank,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,5.66,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-02-23T01:11:07.4Z,1,REGULAR,turnover,lost ball,[],201935,,,1610612746,2,0,2024-02-23T01:11:13Z,80000,False,,,0,,J. Harden lost ball TURNOVER (1 TO),"[201935, 1629652]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,,,,1.0,Dort,1629652.0,,,,,,,,,,,,,,
9,PT11M36.00S,2024-02-23T01:11:07.4Z,1,REGULAR,steal,,[],1629652,,,1610612760,2,0,2024-02-23T01:11:09Z,90000,False,,,0,,L. Dort STEAL (1 STL),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2024-02-23T01:11:10.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629652,94.95729303547962,50.98039215686274,1610612760,4,0,2024-02-23T01:11:54Z,100000,False,5.0,-5.0,1,right,L. Dort driving Layup (2 PTS),[1629652],1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,0.71,Made,2.0,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2024-02-23T01:11:31.9Z,1,REGULAR,2pt,Jump Shot,[],202331,23.866622864651774,70.83333333333334,1610612746,4,0,2024-02-23T01:11:35Z,110000,False,-104.0,172.0,1,left,MISS P. George 20' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Mid-Range,16-24 Left Center,20.09,Missed,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2024-02-23T01:11:33.9Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,4,0,2024-02-23T01:11:35Z,120000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Left Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M04.00S,2024-02-23T01:11:39.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630581,92.32917214191852,39.950980392156865,1610612760,4,0,2024-02-23T01:11:47Z,130000,False,-50.0,20.0,1,right,MISS J. Giddey running Layup,[1630581],1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,5.39,Missed,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2024-02-23T01:11:42.5Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,4,0,2024-02-23T01:11:47Z,140000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
