actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-12-01T01:10:56.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-01T01:10:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-01T01:10:58.6Z,1,REGULAR,jumpball,recovered,[],1631108,,,1610612747,0,0,2023-12-01T01:10:58Z,40000,False,,,0,,Jump Ball A. Davis vs. C. Holmgren: Tip to M. Christie,"[1631108, 203076, 1631096]",1610612747.0,LAL,startperiod,M. Christie,1631108.0,Christie,M. Christie,Davis,203076.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-12-01T01:11:15.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,94.69448094612353,46.568627450980394,1610612747,0,0,2023-12-01T01:11:21Z,70000,False,-17.0,-3.0,1,right,MISS A. Davis Layup - blocked,"[203076, 1629652]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,1.74,Missed,Dort,1629652.0,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-12-01T01:11:15.3Z,1,REGULAR,block,,[],1629652,,,1610612747,0,0,2023-12-01T01:11:19Z,80000,False,,,0,,L. Dort BLOCK (1 BLK),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2023-12-01T01:11:19.3Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,0,2023-12-01T01:11:21Z,90000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M35.00S,2023-12-01T01:11:20.7Z,1,REGULAR,turnover,lost ball,[],1630581,,,1610612760,0,0,2023-12-01T01:11:23Z,100000,False,,,0,,J. Giddey lost ball TURNOVER (1 TO),"[1630581, 1631108]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Right Center,,,,,,,,,1.0,Christie,1631108.0,,,,,,,,,
11,PT11M35.00S,2023-12-01T01:11:20.7Z,1,REGULAR,steal,,[],1631108,,,1610612747,0,0,2023-12-01T01:11:22Z,110000,False,,,0,,M. Christie STEAL (1 STL),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
12,PT11M29.00S,2023-12-01T01:11:26.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631108,93.51182654402102,48.77450980392157,1610612747,0,0,2023-12-01T01:11:32Z,120000,False,-6.0,8.0,1,right,MISS M. Christie running Layup,[1631108],1610612747.0,LAL,running,,,Christie,M. Christie,,,,,Restricted Area,0-8 Center,1.05,Missed,,,,,,,,,,,,,,,,,,
13,PT11M26.00S,2023-12-01T01:11:29.4Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,0,0,2023-12-01T01:11:32Z,130000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M12.00S,2023-12-01T01:11:42.6Z,1,REGULAR,3pt,Jump Shot,[],1631096,30.962549277266753,19.852941176470587,1610612760,0,0,2023-12-01T01:11:47Z,140000,False,151.0,239.0,1,left,MISS C. Holmgren 28' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,28.21,Missed,,,,,,,,,,,,,,,,,,
15,PT11M11.00S,2023-12-01T01:11:43.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,0,0,2023-12-01T01:11:47Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,14.0,,,,,,,,,,,,,,,
