actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-01T01:10:37.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-01T01:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-02-01T01:10:39.7Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612760,0,0,2024-02-01T01:10:39Z,40000,False,,,0,,Jump Ball C. Holmgren vs. A. Gordon: Tip to J. Giddey,"[1630581, 1631096, 203932]",1610612760.0,OKC,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Holmgren,1631096.0,Gordon,203932.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2024-02-01T01:11:04.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612760,0,0,2024-02-01T01:11:11Z,70000,False,,,0,,OKC shot clock Team TURNOVER,[],1610612760.0,OKC,,,,,,,,,,Above the Break 3,24+ Center,200832.0,,,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2024-02-01T01:11:32.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631212,93.11760840998686,46.07843137254902,1610612743,0,0,2024-02-01T01:11:38Z,80000,False,-20.0,12.0,1,right,MISS P. Watson driving reverse Layup,[1631212],1610612743.0,DEN,driving reverse,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,2.31,Missed,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2024-02-01T01:11:35.9Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,0,2024-02-01T01:11:38Z,100000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M14.00S,2024-02-01T01:11:39.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630581,5.863994743758213,55.88235294117647,1610612760,0,0,2024-02-01T01:13:11Z,110000,False,-29.0,3.0,1,left,MISS J. Giddey running Layup - blocked,"[1630581, 1627750]",1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,2.95,Missed,,,,,Murray,1627750.0,,,,,,,,,,,
12,PT11M14.00S,2024-02-01T01:11:39.4Z,1,REGULAR,block,,[],1627750,,,1610612760,0,0,2024-02-01T01:11:41Z,120000,False,,,0,,J. Murray BLOCK (1 BLK),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2024-02-01T01:11:42.4Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,0,0,2024-02-01T01:11:49Z,130000,False,,,0,,J. Giddey REBOUND (Off:1 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,
14,PT11M11.00S,2024-02-01T01:11:45.5Z,1,REGULAR,foul,personal,['2freethrow'],1627750,,,1610612760,0,0,2024-02-01T01:11:52Z,140000,False,,,0,,J. Murray shooting personal FOUL (1 PF) (Giddey 2 FT),"[1627750, 1630581]",1610612743.0,DEN,shooting,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,202007.0,,,,,,,,,1.0,0.0,Giddey,1630581.0,,,,,,,
16,PT11M11.00S,2024-02-01T01:12:10.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630581,,,1610612760,1,0,2024-02-01T01:12:10Z,160000,False,,,0,,J. Giddey Free Throw 1 of 2 (1 PTS),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,
