actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-09T01:11:02.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-09T01:11:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-09T01:11:04.9Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2024-03-09T01:11:04Z,40000,False,,,0,,Jump Ball C. Holmgren vs. B. Adebayo: Tip to S. Gilgeous-Alexander,"[1628983, 1631096, 1628389]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Holmgren,1631096.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2024-03-09T01:11:13.2Z,1,REGULAR,2pt,Jump Shot,[],1631114,24.26084099868594,54.65686274509803,1610612760,0,0,2024-03-09T01:11:18Z,70000,False,-23.0,176.0,1,left,MISS J. Williams 17' pullup Shot,[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Mid-Range,16-24 Center,17.71,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-03-09T01:11:17.2Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,0,0,2024-03-09T01:11:18Z,80000,False,,,0,,N. Jovic REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Mid-Range,16-24 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-03-09T01:11:32.4Z,1,REGULAR,3pt,Jump Shot,[],1629130,72.35545335085413,19.607843137254903,1610612748,0,0,2024-03-09T01:11:37Z,90000,False,-152.0,207.0,1,right,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,25.71,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2024-03-09T01:11:35.4Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,0,0,2024-03-09T01:11:37Z,100000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M12.00S,2024-03-09T01:11:50.0Z,1,REGULAR,2pt,Jump Shot,[],1631096,4.155716162943495,67.64705882352942,1610612760,0,0,2024-03-09T01:11:59Z,110000,False,-88.0,-13.0,1,left,MISS C. Holmgren 8' driving floating Shot,[1631096],1610612760.0,OKC,driving floating,,,Holmgren,C. Holmgren,,,,,Mid-Range,8-16 Left,8.92,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2024-03-09T01:11:54.0Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,0,0,2024-03-09T01:11:59Z,120000,False,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Mid-Range,8-16 Left,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M56.00S,2024-03-09T01:12:04.7Z,1,REGULAR,2pt,Jump Shot,[],202710,82.47371879106439,73.52941176470588,1610612748,0,0,2024-03-09T01:12:09Z,130000,False,118.0,112.0,1,right,MISS J. Butler 16' pullup Shot,[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,Mid-Range,16-24 Right Center,16.25,Missed,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2024-03-09T01:12:07.7Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,0,2024-03-09T01:12:09Z,140000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Right Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
