actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-12T01:10:52.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-12T01:10:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-12T01:10:54.2Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612760,0,0,2023-12-12T01:10:54Z,40000,False,,,0,,Jump Ball C. Holmgren vs. K. Olynyk: Tip to J. Giddey,"[1630581, 1631096, 203482]",1610612760.0,OKC,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Holmgren,1631096.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-12-12T01:11:04.3Z,1,REGULAR,turnover,bad pass,[],1631114,,,1610612760,0,0,2023-12-12T01:11:11Z,70000,False,,,0,,J. Williams bad pass TURNOVER (1 TO),"[1631114, 1630534]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,1.0,Agbaji,1630534.0,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2023-12-12T01:11:04.3Z,1,REGULAR,steal,,[],1630534,,,1610612762,0,0,2023-12-12T01:11:07Z,80000,False,,,0,,O. Agbaji STEAL (1 STL),[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2023-12-12T01:11:13.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631323,8.623521681997373,3.9215686274509802,1610612762,0,0,2023-12-12T01:11:18Z,90000,False,230.0,29.0,1,left,MISS S. Fontecchio 3PT,[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Right Corner 3,24+ Right,,,,23.22,Missed,,,,,,,,,,,,,,,
11,PT11M34.00S,2023-12-12T01:11:17.1Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,0,2023-12-12T01:11:18Z,110000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Right Corner 3,24+ Right,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT11M18.00S,2023-12-12T01:11:33.2Z,1,REGULAR,3pt,Jump Shot,[],1630581,96.40275952693824,4.6568627450980395,1610612760,3,0,2023-12-12T01:11:37Z,120000,False,-227.0,-19.0,1,right,J. Giddey 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1630581, 1628983]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Left Corner 3,24+ Left,,,,22.75,Made,,,,,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,
14,PT11M00.00S,2023-12-12T01:11:51.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,8.492115637319317,61.51960784313726,1610612762,3,0,2023-12-12T01:11:59Z,140000,False,-58.0,27.0,1,left,MISS K. George 6' floating Shot,[1641718],1610612762.0,UTA,floating,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,,,,6.37,Missed,,,,,,,,,,,,,,,
15,PT10M56.00S,2023-12-12T01:11:54.4Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,3,0,2023-12-12T01:11:54Z,150000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M52.00S,2023-12-12T01:11:58.8Z,1,REGULAR,turnover,lost ball,[],1628983,,,1610612760,3,0,2023-12-12T01:12:02Z,160000,False,,,0,,S. Gilgeous-Alexander lost ball TURNOVER (1 TO),"[1628983, 1630534]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.0,Agbaji,1630534.0,,,,,,,,,,,,,,,,,
