actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-13T00:10:06.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-13T00:10:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-13T00:10:10.1Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612754,0,0,2024-03-13T00:10:10Z,40000,False,,,0,,Jump Ball M. Turner vs. C. Holmgren: Tip to T. Haliburton,"[1630169, 1626167, 1631096]",1610612754.0,IND,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Turner,1626167.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2024-03-13T00:10:31.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,19.004599211563733,62.5,1610612754,0,2,2024-03-13T00:10:36Z,70000,False,-62.0,126.0,1,left,A. Nembhard 14' pullup Jump Shot (2 PTS) (M. Turner 1 AST),"[1629614, 1626167]",1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,14.07,Made,2.0,M. Turner,1626167.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2024-03-13T00:10:45.8Z,1,REGULAR,3pt,Jump Shot,[],1629652,66.83639947437582,59.068627450980394,1610612760,0,2,2024-03-13T00:10:50Z,90000,False,45.0,259.0,1,right,MISS L. Dort 26' 3PT - blocked,"[1629652, 1630169]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,26.31,Missed,,,,,Haliburton,1630169.0,,,,,,,,,,,,
10,PT11M20.00S,2024-03-13T00:10:45.8Z,1,REGULAR,block,,[],1630169,,,1610612760,0,2,2024-03-13T00:10:49Z,100000,False,,,0,,T. Haliburton BLOCK (1 BLK),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2024-03-13T00:10:48.8Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,0,2,2024-03-13T00:10:50Z,110000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,
12,PT11M01.00S,2024-03-13T00:11:04.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,6.521024967148489,45.09803921568628,1610612754,0,4,2024-03-13T00:11:08Z,120000,False,25.0,9.0,1,left,M. Turner cutting finger roll Layup (2 PTS) (T. Haliburton 1 AST),"[1626167, 1630169]",1610612754.0,IND,cutting finger roll,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,2.6,Made,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,
14,PT10M46.00S,2024-03-13T00:11:19.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,93.77463863337714,46.568627450980394,1610612760,0,4,2024-03-13T00:11:23Z,140000,False,-17.0,6.0,1,right,MISS J. Giddey driving reverse Layup,[1630581],1610612760.0,OKC,driving reverse,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,1.82,Missed,,,,,,,,,,,,,,,,,,
15,PT10M44.00S,2024-03-13T00:11:21.4Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,0,4,2024-03-13T00:11:23Z,150000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M42.00S,2024-03-13T00:11:26.6Z,1,REGULAR,turnover,out-of-bounds,[],1630169,,,1610612754,0,4,2024-03-13T00:11:32Z,160000,False,,,0,,T. Haliburton bad pass out-of-bounds TURNOVER (1 TO),[1630169],1610612754.0,IND,bad pass,,,Haliburton,T. Haliburton,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,1627962.0,1.0,,,,,,
17,PT10M24.00S,2024-03-13T00:11:48.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630581,89.96386333771353,44.6078431372549,1610612760,2,4,2024-03-13T00:11:52Z,170000,False,-27.0,42.0,1,right,J. Giddey turnaround Hook (2 PTS),[1630581],1610612760.0,OKC,turnaround,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,4.98,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M07.00S,2024-03-13T00:12:06.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626167,6.521024967148489,48.77450980392157,1610612754,2,6,2024-03-13T00:12:09Z,190000,False,6.0,9.0,1,left,M. Turner cutting DUNK (4 PTS) (A. Nembhard 1 AST),"[1626167, 1629614]",1610612754.0,IND,cutting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,1.07,Made,4.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,,,,,
