actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-04T00:10:45.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-04T00:10:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-04T00:10:47.5Z,1,REGULAR,jumpball,recovered,[],1641717,,,1610612760,0,0,2023-11-04T00:10:47Z,40000,False,,,0,,Jump Ball C. Holmgren vs. K. Looney: Tip to C. Wallace,"[1641717, 1631096, 1626172]",1610612760.0,OKC,startperiod,C. Wallace,1641717.0,Wallace,C. Wallace,Holmgren,1631096.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-11-04T00:10:57.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631096,82.21090670170827,61.51960784313726,1610612760,2,0,2023-11-04T00:11:01Z,70000,False,58.0,115.0,1,right,C. Holmgren 12' pullup Jump Shot (2 PTS) (J. Williams 1 AST),"[1631096, 1631114]",1610612760.0,OKC,pullup,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),8-16 Center,12.84,Made,2.0,J. Williams,1631114.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2023-11-04T00:11:12.0Z,1,REGULAR,3pt,Jump Shot,[],202691,24.78646517739816,11.519607843137255,1610612744,2,3,2023-11-04T00:11:16Z,90000,False,192.0,180.0,1,left,K. Thompson 26' 3PT  (3 PTS) (K. Looney 1 AST),"[202691, 1626172]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,26.38,Made,3.0,K. Looney,1626172.0,1.0,,,,,,,,,,,,,,
11,PT11M20.00S,2023-11-04T00:11:24.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641717,93.77463863337714,53.67647058823529,1610612760,4,3,2023-11-04T00:11:34Z,110000,False,18.0,6.0,1,right,C. Wallace cutting Layup (2 PTS) (C. Holmgren 1 AST),"[1641717, 1631096]",1610612760.0,OKC,cutting,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,1.94,Made,2.0,C. Holmgren,1631096.0,1.0,,,,,,,,,,,,,,
13,PT11M03.00S,2023-11-04T00:11:41.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,7.835085413929041,62.5,1610612744,4,5,2023-11-04T00:11:45Z,130000,False,-62.0,21.0,1,left,A. Wiggins 6' cutting Layup (2 PTS) (K. Looney 2 AST),"[203952, 1626172]",1610612744.0,GSW,cutting,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,6.6,Made,2.0,K. Looney,1626172.0,2.0,,,,,,,,,,,,,,
15,PT10M55.00S,2023-11-04T00:11:49.6Z,1,REGULAR,3pt,Jump Shot,[],1631096,74.06373193166885,18.627450980392158,1610612760,7,5,2023-11-04T00:11:54Z,150000,False,-157.0,191.0,1,right,C. Holmgren 24' 3PT  (5 PTS) (J. Giddey 1 AST),"[1631096, 1630581]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,24.74,Made,5.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,
17,PT10M40.00S,2023-11-04T00:12:13.3Z,1,REGULAR,foul,personal,['3freethrow'],1629652,,,1610612744,7,5,2023-11-04T00:12:38Z,170000,False,,,0,,L. Dort shooting personal FOUL (1 PF) (Curry 3 FT),"[1629652, 201939]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,,,,,203054.0,1.0,0.0,Curry,201939.0,,,,,,,,,
19,PT10M40.00S,2023-11-04T00:12:38.8Z,1,REGULAR,freethrow,1 of 3,[],201939,,,1610612744,7,6,2023-11-04T00:12:38Z,190000,False,,,0,,S. Curry Free Throw 1 of 3 (1 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
20,PT10M40.00S,2023-11-04T00:12:45.6Z,1,REGULAR,freethrow,2 of 3,[],201939,,,1610612744,7,7,2023-11-04T00:12:45Z,200000,False,,,0,,S. Curry Free Throw 2 of 3 (2 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
