actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-14T01:10:57.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-14T01:10:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-14T01:10:59.6Z,1,REGULAR,jumpball,recovered,[],1629652,,,1610612760,0,0,2024-01-14T01:10:59Z,40000,False,,,0,,Jump Ball C. Holmgren vs. G. Bitadze: Tip to L. Dort,"[1629652, 1631096, 1629048]",1610612760.0,OKC,startperiod,L. Dort,1629652.0,Dort,L. Dort,Holmgren,1631096.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-01-14T01:11:16.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,18.347568988173457,45.588235294117645,1610612760,0,0,2024-01-14T01:11:20Z,70000,False,22.0,120.0,1,left,MISS J. Giddey 12' driving floating Shot,[1630581],1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,12.2,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-01-14T01:11:18.7Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2024-01-14T01:11:20Z,80000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2024-01-14T01:11:32.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,80.50262812089356,63.970588235294116,1610612753,0,0,2024-01-14T01:11:37Z,90000,False,70.0,131.0,1,right,MISS J. Suggs 14' pullup Shot,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Center,14.83,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2024-01-14T01:11:36.3Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612753,0,0,2024-01-14T01:11:37Z,100000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:0),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),8-16 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M12.00S,2024-01-14T01:11:44.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631216,97.7168199737188,3.6764705882352944,1610612753,0,0,2024-01-14T01:11:49Z,110000,False,-232.0,-31.0,1,right,MISS C. Houstan 3PT,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Left Corner 3,24+ Left,23.37,Missed,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2024-01-14T01:11:47.6Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,0,0,2024-01-14T01:11:49Z,120000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Left Corner 3,24+ Left,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M02.00S,2024-01-14T01:11:54.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,5.338370565045992,51.71568627450981,1610612760,2,0,2024-01-14T01:11:57Z,130000,False,-9.0,-2.0,1,left,S. Gilgeous-Alexander driving finger roll Layup (2 PTS),[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,0.89,Made,,,,,2.0,,,,,,,,,,,,,
39,PT10M40.00S,2024-01-14T01:12:05.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,88.35413929040736,64.2156862745098,1610612753,2,0,2024-01-14T01:15:23Z,135000,False,71.0,57.0,1,right,MISS P. Banchero 9' fadeaway Shot - blocked,"[1631094, 1629652]",1610612753.0,ORL,fadeaway,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Right,9.11,Missed,,,,,,Dort,1629652.0,,,,,,,,,,,
