actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-11T22:10:25.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-11T22:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-11T22:10:29.3Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2025-01-11T22:10:29Z,40000,False,,,0,,Jump Ball M. Plumlee vs. W. Kessler: Tip to D. Booker,"[1626164, 203486, 1631117]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Plumlee,203486.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-01-11T22:10:43.7Z,1,REGULAR,2pt,Jump Shot,[],1642346,16.162943495400782,31.839767156862735,1610612756,0,0,2025-01-11T22:11:18Z,70000,False,91.0,99.0,1,left,MISS R. Dunn 13' pullup bank Shot,[1642346],1610612756.0,PHX,pullup bank,,,Dunn,R. Dunn,,,,,Mid-Range,8-16 Right,13.46,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-01-11T22:10:46.7Z,1,REGULAR,rebound,offensive,[],203486,,,1610612756,0,0,2025-01-11T22:11:29Z,80000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2025-01-11T22:10:52.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203486,9.855453350854134,51.57015931372549,1610612756,2,0,2025-01-11T22:11:41Z,90000,False,-8.0,40.0,1,left,M. Plumlee tip Layup (2 PTS),[203486],1610612756.0,PHX,tip,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,4.09,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M28.00S,2025-01-11T22:10:58.5Z,1,REGULAR,3pt,Jump Shot,[],1628374,73.19111366622865,81.59466911764706,1610612762,2,0,2025-01-11T22:12:09Z,100000,False,158.0,200.0,1,right,MISS L. Markkanen 25' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,25.45,Missed,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2025-01-11T22:11:00.5Z,1,REGULAR,rebound,defensive,[],203486,,,1610612756,2,0,2025-01-11T22:12:09Z,110000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Right Center,,,10.0,2.0,1.0,1.0,,,,,,,,,,,,,,
12,PT11M21.00S,2025-01-11T22:11:07.9Z,1,REGULAR,turnover,bad pass,[],1626145,,,1610612756,2,0,2025-01-11T22:14:32Z,120000,False,,,0,,T. Jones bad pass TURNOVER (1 TO),"[1626145, 1630695]",1610612756.0,PHX,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,Potter,1630695.0,,,,,,,,,,
13,PT11M21.00S,2025-01-11T22:11:07.9Z,1,REGULAR,steal,,[],1630695,,,1610612762,2,0,2025-01-11T22:18:05Z,130000,False,,,0,,M. Potter STEAL (1 STL),[1630695],1610612762.0,UTA,,,,Potter,M. Potter,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2025-01-11T22:11:15.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642268,75.08828843626807,12.722120098039213,1610612762,2,0,2025-01-11T22:13:04Z,140000,False,-186.0,182.0,1,right,MISS I. Collier 26' 3PT,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Left Center,26.03,Missed,,,,,,,,,,,,,,,,,,
