actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-04-12T02:10:44.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-12T02:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2025-04-12T02:10:50.7Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612756,0,0,2025-04-12T02:10:50Z,40000,False,,,0,,Jump Ball O. Ighodaro vs. B. Biyombo: Tip to B. Beal,"[203078, 1642345, 202687]",1610612756.0,PHX,startperiod,B. Beal,203078.0,Beal,B. Beal,Ighodaro,1642345.0,Biyombo,202687.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-04-12T02:11:02.6Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,0,0,2025-04-12T02:11:10Z,70000,False,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 1642264]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right Center,1.0,Castle,1642264.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-04-12T02:11:02.6Z,1,REGULAR,steal,,[],1642264,,,1610612759,0,0,2025-04-12T02:11:06Z,80000,False,,,0,,S. Castle STEAL (1 STL),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2025-04-12T02:11:08.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630577,72.61826544021025,79.65686274509804,1610612759,0,3,2025-04-12T02:11:39Z,90000,False,148.0,205.0,1,right,J. Champagnie 25' 3PT running (3 PTS) (S. Castle 1 AST),"[1630577, 1642264]",1610612759.0,SAS,running,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,25.29,Made,3.0,S. Castle,1642264.0,1.0,,,,,,,,,,,
11,PT11M13.00S,2025-04-12T02:11:30.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,7.835085413929041,36.51960784313725,1610612756,2,3,2025-04-12T02:11:35Z,110000,False,67.0,21.0,1,left,B. Beal 7' turnaround Jump Shot (2 PTS),[203078],1610612756.0,PHX,turnaround,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,,,,7.06,Made,2.0,,,,,,,,,,,,,,
12,PT10M56.00S,2025-04-12T02:11:46.9Z,1,REGULAR,3pt,Jump Shot,[],1630577,66.3107752956636,40.931372549019606,1610612759,2,3,2025-04-12T02:11:52Z,120000,False,-45.0,264.0,1,right,MISS J. Champagnie 26' 3PT - blocked,"[1630577, 1626164]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Center,,,,26.81,Missed,,,,,Booker,1626164.0,,,,,,,,,
13,PT10M56.00S,2025-04-12T02:11:46.9Z,1,REGULAR,block,,[],1626164,,,1610612759,2,3,2025-04-12T02:11:51Z,130000,False,,,0,,D. Booker BLOCK (1 BLK),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2025-04-12T02:11:51.9Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,2,3,2025-04-12T02:11:52Z,140000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,
15,PT10M45.00S,2025-04-12T02:11:57.6Z,1,REGULAR,3pt,Jump Shot,[],1642346,6.652431011826544,94.6078431372549,1610612756,2,3,2025-04-12T02:12:05Z,150000,False,-223.0,10.0,1,left,MISS R. Dunn 3PT,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Left Corner 3,24+ Left,,,,22.32,Missed,,,,,,,,,,,,,,,
