actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-10T02:12:33.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-10T02:12:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-10T02:12:36.1Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2025-01-10T02:12:36Z,40000,False,,,0,,Jump Ball C. Capela vs. M. Plumlee: Tip to T. Young,"[1629027, 203991, 203486]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-01-10T02:12:50.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,11.908672798948752,46.568627450980394,1610612737,0,0,2025-01-10T02:12:55Z,70000,False,17.0,59.0,1,left,MISS C. Capela 6' Hook,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,6.18,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-01-10T02:12:52.1Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,0,0,2025-01-10T02:12:55Z,80000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2025-01-10T02:13:07.7Z,1,REGULAR,3pt,Jump Shot,[],1626164,68.01905387647832,29.901960784313726,1610612756,0,0,2025-01-10T02:13:12Z,90000,False,-100.0,248.0,1,right,MISS D. Booker 26' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,26.77,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2025-01-10T02:13:11.7Z,1,REGULAR,rebound,offensive,[],203486,,,1610612756,0,0,2025-01-10T02:13:12Z,100000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M19.00S,2025-01-10T02:13:13.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201142,67.49342969776609,62.5,1610612756,0,0,2025-01-10T02:13:17Z,110000,False,62.0,253.0,1,right,MISS K. Durant 26' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,26.07,Missed,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2025-01-10T02:13:16.1Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,0,0,2025-01-10T02:13:17Z,120000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M09.00S,2025-01-10T02:13:25.7Z,1,REGULAR,turnover,traveling,[],203991,,,1610612737,0,0,2025-01-10T02:13:33Z,130000,False,,,0,,C. Capela traveling TURNOVER (1 TO),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201246.0,1.0,,,,,,,,,,,,
14,PT10M59.00S,2025-01-10T02:13:46.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626164,82.34231274638634,50.0,1610612756,2,0,2025-01-10T02:13:53Z,140000,False,0.0,113.0,1,right,D. Booker 11' fadeaway Jump Shot (2 PTS) (K. Durant 1 AST),"[1626164, 201142]",1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,11.35,Made,,,,,,,2.0,K. Durant,201142.0,1.0,,,,,,,,
