actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-18T02:12:07.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-18T02:12:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-18T02:12:27.7Z,1,REGULAR,jumpball,recovered,[],201142,,,0,0,0,2025-03-18T02:12:27Z,40000,False,,,0,,Jump Ball N. Richards vs. C. Castleton: Tip to K. Durant,"[201142, 1630208, 1630658]",1610612756.0,PHX,heldball,K. Durant,201142.0,Durant,K. Durant,Richards,1630208.0,Castleton,1630658.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-03-18T02:12:41.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,14.931011826544022,50.49019607843137,1610612756,0,0,2025-03-18T02:13:04Z,70000,False,-2.0,88.0,1,left,MISS K. Durant 8' turnaround fadeaway Shot,[201142],1610612756.0,PHX,turnaround fadeaway,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,8.79,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2025-03-18T02:12:47.5Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612756,0,0,2025-03-18T02:12:51Z,80000,False,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M33.00S,2025-03-18T02:12:48.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630208,5.590000152587891,50.0,1610612756,2,0,2025-03-18T02:12:48Z,90000,False,0.0,0.0,1,left,N. Richards tip Layup (2 PTS),[1630208],1610612756.0,PHX,tip,,,Richards,N. Richards,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M12.00S,2025-03-18T02:13:08.6Z,1,REGULAR,3pt,Jump Shot,[],1642419,96.5341655716163,96.07843137254902,1610612761,2,0,2025-03-18T02:13:11Z,100000,False,230.0,-20.0,1,right,MISS J. Battle 3PT,[1642419],1610612761.0,TOR,,,,Battle,J. Battle,,,,,Right Corner 3,24+ Right,23.13,Missed,,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2025-03-18T02:13:10.6Z,1,REGULAR,rebound,offensive,[],1642367,,,1610612761,2,0,2025-03-18T02:13:11Z,110000,False,,,0,,J. Mogbo REBOUND (Off:1 Def:0),[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,Right Corner 3,24+ Right,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M09.00S,2025-03-18T02:13:11.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630193,68.54467805519053,24.754901960784316,1610612761,2,0,2025-03-18T02:13:15Z,120000,False,-126.0,243.0,1,right,MISS I. Quickley 27' 3PT,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,27.4,Missed,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2025-03-18T02:13:12.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,2,0,2025-03-18T02:13:15Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Above the Break 3,24+ Left Center,,,12.0,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2025-03-18T02:13:45.4Z,1,REGULAR,foul,personal,[],1630208,,,1610612761,2,0,2025-03-18T02:14:14Z,150000,False,,,0,,N. Richards personal FOUL (1 PF),"[1630208, 1630567]",1610612756.0,PHX,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,202901.0,1.0,0.0,Barnes,1630567.0,,,,,,,,
17,PT10M54.00S,2025-03-18T02:14:12.9Z,1,REGULAR,turnover,out-of-bounds,[],1630658,,,1610612761,2,0,2025-03-18T02:14:20Z,170000,False,,,0,,C. Castleton bad pass out-of-bounds TURNOVER (1 TO),[1630658],1610612761.0,TOR,bad pass,,,Castleton,C. Castleton,,,,,Above the Break 3,24+ Left Center,,,,,,,,201638.0,,,,,1.0,,,,,,,
18,PT10M34.00S,2025-03-18T02:14:43.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642346,14.799605781865965,42.64705882352941,1610612756,4,0,2025-03-18T02:14:48Z,180000,False,37.0,87.0,1,left,R. Dunn 9' driving floating Jump Shot (2 PTS) (D. Booker 1 AST),"[1642346, 1626164]",1610612756.0,PHX,driving floating,,,Dunn,R. Dunn,,,,,In The Paint (Non-RA),8-16 Center,9.41,Made,,,,,2.0,,,,,,,D. Booker,1626164.0,1.0,,,,
20,PT10M21.00S,2025-03-18T02:14:58.1Z,1,REGULAR,foul,personal,['2freethrow'],1631221,,,1610612761,4,0,2025-03-18T02:15:08Z,200000,False,,,0,,C. Gillespie shooting personal FOUL (1 PF) (Quickley 2 FT),"[1631221, 1630193]",1610612756.0,PHX,shooting,,,Gillespie,C. Gillespie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,200834.0,1.0,0.0,Quickley,1630193.0,,,,,,,,
22,PT10M21.00S,2025-03-18T02:15:26.2Z,1,REGULAR,freethrow,1 of 2,[],1630193,,,1610612761,4,1,2025-03-18T02:15:26Z,220000,False,,,0,,I. Quickley Free Throw 1 of 2 (1 PTS),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
23,PT10M21.00S,2025-03-18T02:15:46.9Z,1,REGULAR,freethrow,2 of 2,[],1630193,,,1610612761,4,2,2025-03-18T02:15:46Z,230000,False,,,0,,I. Quickley Free Throw 2 of 2 (2 PTS),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
24,PT10M08.00S,2025-03-18T02:16:03.7Z,1,REGULAR,foul,personal,['2freethrow'],1630567,,,1610612756,4,2,2025-03-18T02:16:22Z,240000,False,,,0,,S. Barnes shooting personal FOUL (1 PF) (Richards 2 FT),"[1630567, 1630208]",1610612761.0,TOR,shooting,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,200834.0,1.0,0.0,Richards,1630208.0,,,,,,,,
26,PT10M08.00S,2025-03-18T02:16:30.6Z,1,REGULAR,freethrow,1 of 2,[],1630208,,,1610612756,5,2,2025-03-18T02:16:30Z,260000,False,,,0,,N. Richards Free Throw 1 of 2 (3 PTS),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
27,PT10M08.00S,2025-03-18T02:16:47.3Z,1,REGULAR,freethrow,2 of 2,[],1630208,,,1610612756,6,2,2025-03-18T02:16:47Z,270000,False,,,0,,N. Richards Free Throw 2 of 2 (4 PTS),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
