actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-07T02:10:45.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-07T02:10:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-07T02:10:47.9Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2024-11-07T02:10:48Z,40000,False,,,0,,Jump Ball J. Nurkić vs. B. Adebayo: Tip to D. Booker,"[1626164, 203994, 1628389]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Nurkić,203994.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-11-07T02:11:06.9Z,1,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612756,0,0,2024-11-07T02:11:12Z,70000,False,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Nurkić 2 FT),"[1628389, 203994]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,201245.0,1.0,0.0,Nurkić,203994.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2024-11-07T02:11:30.0Z,1,REGULAR,freethrow,1 of 2,[],203994,,,1610612756,1,0,2024-11-07T02:11:30Z,90000,False,,,0,,J. Nurkić Free Throw 1 of 2 (1 PTS),[203994],1610612756.0,PHX,,,,Nurkić,J. Nurkić,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M39.00S,2024-11-07T02:11:46.8Z,1,REGULAR,freethrow,2 of 2,[],203994,,,1610612756,2,0,2024-11-07T02:11:46Z,100000,False,,,0,,J. Nurkić Free Throw 2 of 2 (2 PTS),[203994],1610612756.0,PHX,,,,Nurkić,J. Nurkić,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M24.00S,2024-11-07T02:12:03.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631107,5.863994743758213,47.05882352941176,1610612748,2,2,2024-11-07T02:12:10Z,110000,False,15.0,3.0,1,left,N. Jović cutting Layup (2 PTS) (B. Adebayo 1 AST),"[1631107, 1628389]",1610612748.0,MIA,cutting,,,Jović,N. Jović,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.49,B. Adebayo,1628389.0,1.0,,,,,,,,,
13,PT11M01.00S,2024-11-07T02:12:26.7Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612756,2,2,2024-11-07T02:14:20Z,130000,False,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 1626179]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,Rozier,1626179.0,,,,,,
14,PT11M01.00S,2024-11-07T02:12:26.7Z,1,REGULAR,steal,,[],1626179,,,1610612748,2,2,2024-11-07T02:12:29Z,140000,False,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2024-11-07T02:12:31.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631107,6.521024967148489,47.549019607843135,1610612748,2,2,2024-11-07T02:12:51Z,150000,False,12.0,9.0,1,left,MISS N. Jović running Layup,[1631107],1610612748.0,MIA,running,,,Jović,N. Jović,,,,,Restricted Area,0-8 Center,,,,,,Missed,,1.51,,,,,,,,,,,,
16,PT10M54.00S,2024-11-07T02:12:33.9Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,2,2,2024-11-07T02:12:51Z,160000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:1),[203994],1610612756.0,PHX,,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,
17,PT10M51.00S,2024-11-07T02:12:36.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203078,74.45795006570303,82.59803921568627,1610612756,2,2,2024-11-07T02:13:07Z,170000,False,163.0,188.0,1,right,MISS B. Beal 24' running 3PT,[203078],1610612756.0,PHX,running,,,Beal,B. Beal,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,24.85,,,,,,,,,,,,
18,PT10M47.00S,2024-11-07T02:12:40.9Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612748,2,2,2024-11-07T02:12:44Z,180000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,
19,PT10M38.00S,2024-11-07T02:12:49.5Z,1,REGULAR,3pt,Jump Shot,[],1629639,11.383048620236531,95.09803921568627,1610612748,2,5,2024-11-07T02:12:54Z,190000,False,-225.0,55.0,1,left,T. Herro 3PT  (3 PTS) (T. Rozier 1 AST),"[1629639, 1626179]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Left Corner 3,24+ Left,,,,,,Made,3.0,23.2,T. Rozier,1626179.0,1.0,,,,,,,,,
21,PT10M24.00S,2024-11-07T02:13:03.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,92.59198423127464,50.98039215686274,1610612756,2,5,2024-11-07T02:13:34Z,210000,False,5.0,17.0,1,right,MISS J. Nurkić Layup,[203994],1610612756.0,PHX,,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,,,,,,Missed,,1.78,,,,,,,,,,,,
