actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-04T02:10:33.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-04T02:10:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-12-04T02:10:38.0Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612756,0,0,2024-12-04T02:10:38Z,40000,False,,,0,,Jump Ball O. Ighodaro vs. V. Wembanyama: Tip to B. Beal,"[203078, 1642345, 1641705]",1610612756.0,PHX,startperiod,B. Beal,203078.0,Beal,B. Beal,Ighodaro,1642345.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-12-04T02:10:48.6Z,1,REGULAR,foul,personal,[],203084,,,1610612756,0,0,2024-12-04T02:10:59Z,70000,False,,,0,,H. Barnes personal FOUL (1 PF),"[203084, 203078]",1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),8-16 Center,202007.0,1.0,0.0,Beal,203078.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2024-12-04T02:11:11.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,19.530223390275953,65.68627450980392,1610612756,2,0,2024-12-04T02:11:23Z,90000,False,-78.0,131.0,1,left,D. Booker 15' step back Jump Shot (2 PTS),[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Left,,,,,,15.28,Made,2.0,,,,,,,,,,,,
11,PT11M14.00S,2024-12-04T02:11:52.5Z,1,REGULAR,3pt,Jump Shot,[],203084,71.82982917214193,17.647058823529413,1610612759,2,0,2024-12-04T02:12:22Z,110000,False,-162.0,212.0,1,right,MISS H. Barnes 26' 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,26.69,Missed,,,,,,,,,,,,,
12,PT11M11.00S,2024-12-04T02:11:55.5Z,1,REGULAR,rebound,defensive,[],203078,,,1610612756,2,0,2024-12-04T02:12:22Z,120000,False,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Left Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M07.00S,2024-12-04T02:11:58.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201142,28.728646517739815,22.30392156862745,1610612756,5,0,2024-12-04T02:12:42Z,130000,False,138.0,218.0,1,left,K. Durant 25' 3PT running (3 PTS) (B. Beal 1 AST),"[201142, 203078]",1610612756.0,PHX,running,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,,,,,,25.79,Made,3.0,,,,,B. Beal,203078.0,1.0,,,,,
15,PT10M50.00S,2024-12-04T02:12:14.8Z,1,REGULAR,3pt,Jump Shot,[],1630577,66.5735873850197,38.72549019607843,1610612759,5,0,2024-12-04T02:12:20Z,150000,False,-56.0,262.0,1,right,MISS J. Champagnie 26' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Center,,,,,,26.77,Missed,,,,,,,,,,,,,
16,PT10M48.00S,2024-12-04T02:12:16.8Z,1,REGULAR,rebound,defensive,[],203078,,,1610612756,5,0,2024-12-04T02:12:20Z,160000,False,,,0,,B. Beal REBOUND (Off:0 Def:2),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Center,,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,
17,PT10M37.00S,2024-12-04T02:12:28.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,9.411957950065702,49.01960784313725,1610612756,7,0,2024-12-04T02:12:36Z,170000,False,5.0,36.0,1,left,T. Jones driving floating Jump Shot (2 PTS) (D. Booker 1 AST),"[1626145, 1626164]",1610612756.0,PHX,driving floating,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,3.63,Made,2.0,,,,,D. Booker,1626164.0,1.0,,,,,
