actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-05T03:10:32.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-05T03:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-05T03:10:34.0Z,1,REGULAR,jumpball,recovered,[],1630208,,,1610612756,0,0,2025-03-05T03:10:34Z,40000,False,,,0,,Jump Ball B. Bol vs. I. Zubac: Tip to N. Richards,"[1630208, 1629626, 1627826]",1610612756.0,PHX,startperiod,N. Richards,1630208.0,Richards,N. Richards,Bol,1629626.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-03-05T03:10:52.1Z,1,REGULAR,turnover,traveling,[],1629626,,,1610612756,0,0,2025-03-05T03:11:18Z,70000,False,,,0,,B. Bol traveling TURNOVER (1 TO),[1629626],1610612756.0,PHX,,,,Bol,B. Bol,,,,,Left Corner 3,24+ Left,1155.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2025-03-05T03:11:24.8Z,1,REGULAR,foul,personal,['2freethrow'],1629626,,,1610612746,0,0,2025-03-05T03:11:44Z,80000,False,,,0,,B. Bol shooting personal FOUL (1 PF) (Harden 2 FT),"[1629626, 201935]",1610612756.0,PHX,shooting,,,Bol,B. Bol,,,,,Mid-Range,8-16 Right,1155.0,,1.0,0.0,Harden,201935.0,,,,,,,,,,,,,,
10,PT11M19.00S,2025-03-05T03:11:50.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201935,,,1610612746,0,1,2025-03-05T03:11:50Z,100000,False,,,0,,J. Harden Free Throw 1 of 2 (1 PTS),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
11,PT11M19.00S,2025-03-05T03:12:05.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201935,,,1610612746,0,2,2025-03-05T03:12:05Z,110000,False,,,0,,J. Harden Free Throw 2 of 2 (2 PTS),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
12,PT11M04.00S,2025-03-05T03:12:23.6Z,1,REGULAR,2pt,Jump Shot,[],203078,21.156373193166885,44.584865196078425,1610612756,0,2,2025-03-05T03:12:58Z,120000,False,27.0,146.0,1,left,MISS B. Beal 14' step back Shot,[203078],1610612756.0,PHX,step back,,,Beal,B. Beal,,,,,Mid-Range,8-16 Center,,,,,,,Missed,,14.89,,,,,,,,,,,
13,PT11M01.00S,2025-03-05T03:12:26.6Z,1,REGULAR,rebound,offensive,[],1626164,,,1610612756,0,2,2025-03-05T03:12:58Z,130000,False,,,0,,D. Booker REBOUND (Off:1 Def:0),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,8-16 Center,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,
14,PT10M58.00S,2025-03-05T03:12:28.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201142,30.66688567674113,76.47058823529412,1610612756,0,2,2025-03-05T03:13:13Z,140000,False,-132.0,236.0,1,left,MISS K. Durant 27' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,,,,,Missed,,27.04,,,,,,,,,,,
15,PT10M56.00S,2025-03-05T03:12:30.9Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612746,0,2,2025-03-05T03:13:13Z,150000,False,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
16,PT10M44.00S,2025-03-05T03:12:43.2Z,1,REGULAR,3pt,Jump Shot,[],1627739,92.90407358738501,95.81035539215686,1610612746,0,2,2025-03-05T03:13:28Z,160000,False,229.0,14.0,1,right,MISS K. Dunn 3PT,[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Right Corner 3,24+ Right,,,,,,,Missed,,22.95,,,,,,,,,,,
17,PT10M42.00S,2025-03-05T03:12:45.2Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612756,0,2,2025-03-05T03:13:28Z,170000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,Right Corner 3,24+ Right,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,
18,PT10M35.00S,2025-03-05T03:12:52.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629626,6.5703022339027655,56.43382352941176,1610612756,2,2,2025-03-05T03:13:39Z,180000,False,-32.0,9.0,1,left,B. Bol cutting DUNK (2 PTS) (D. Booker 1 AST),"[1629626, 1626164]",1610612756.0,PHX,cutting,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,,,,Made,2.0,3.35,,,,,D. Booker,1626164.0,1.0,,,,
20,PT10M10.00S,2025-03-05T03:13:17.3Z,1,REGULAR,3pt,Jump Shot,[],202695,77.45359724047306,9.045649509803923,1610612746,2,2,2025-03-05T03:13:56Z,200000,False,-205.0,159.0,1,right,MISS K. Leonard 25' 3PT,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Left Center,,,,,,,Missed,,25.95,,,,,,,,,,,
21,PT10M07.00S,2025-03-05T03:13:20.3Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,2,2,2025-03-05T03:14:06Z,210000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,
22,PT09M59.00S,2025-03-05T03:13:29.2Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612756,2,2,2025-03-05T03:14:39Z,220000,False,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 201935]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,,1.0,,,,,,,,,,,,,,,Harden,201935.0,,
23,PT09M59.00S,2025-03-05T03:13:29.2Z,1,REGULAR,steal,,[],201935,,,1610612746,2,2,2025-03-05T03:13:30Z,230000,False,,,0,,J. Harden STEAL (1 STL),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
24,PT09M47.00S,2025-03-05T03:13:41.1Z,1,REGULAR,foul,personal,[],1630208,,,1610612746,2,2,2025-03-05T03:14:51Z,240000,False,,,0,,N. Richards personal FOUL (1 PF),"[1630208, 201935]",1610612756.0,PHX,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Left Center,1627524.0,,1.0,0.0,Harden,201935.0,,,,,,,,,,,,,,
26,PT09M39.00S,2025-03-05T03:14:08.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201935,88.69908015768725,62.51148897058824,1610612746,2,2,2025-03-05T03:15:12Z,260000,False,63.0,54.0,1,right,MISS J. Harden 8' driving floating Shot,[201935],1610612746.0,LAC,driving floating,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,Missed,,8.25,,,,,,,,,,,
27,PT09M37.00S,2025-03-05T03:14:10.7Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612756,2,2,2025-03-05T03:15:12Z,270000,False,,,0,,N. Richards REBOUND (Off:0 Def:2),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,
28,PT09M27.00S,2025-03-05T03:14:20.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,17.871222076215503,37.231924019607845,1610612756,4,2,2025-03-05T03:15:40Z,280000,False,64.0,115.0,1,left,D. Booker 13' pullup Jump Shot (2 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,Made,2.0,13.19,,,,,,,,,,,
