actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-08T03:10:29.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-08T03:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-02-08T03:10:34.6Z,1,REGULAR,jumpball,recovered,[],1629004,,,1610612762,0,0,2025-02-08T03:10:34Z,40000,False,,,0,,Jump Ball W. Kessler vs. N. Richards: Tip to S. Mykhailiuk,"[1629004, 1631117, 1630208]",1610612762.0,UTA,startperiod,S. Mykhailiuk,1629004.0,Mykhailiuk,S. Mykhailiuk,Kessler,1631117.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2025-02-08T03:10:52.9Z,1,REGULAR,2pt,Jump Shot,[],1642268,72.7496714848883,49.26470588235294,1610612762,0,2,2025-02-08T03:10:59Z,70000,False,-4.0,204.0,1,right,I. Collier 20' pullup Jump Shot (2 PTS),[1642268],1610612762.0,UTA,pullup,,,Collier,I. Collier,,,,,Mid-Range,16-24 Center,20.37,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M15.00S,2025-02-08T03:11:13.2Z,1,REGULAR,3pt,Jump Shot,[],1628960,32.53942181340342,53.92156862745098,1610612756,0,2,2025-02-08T03:12:14Z,80000,False,-20.0,253.0,1,left,MISS G. Allen 25' step back 3PT,[1628960],1610612756.0,PHX,step back,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,25.42,Missed,,,,,,,,,,,,,,,,,,
9,PT11M09.00S,2025-02-08T03:11:19.2Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,0,2,2025-02-08T03:11:20Z,90000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M04.00S,2025-02-08T03:11:23.4Z,1,REGULAR,3pt,Jump Shot,[],1629004,72.22404730617609,80.63725490196079,1610612762,0,2,2025-02-08T03:12:43Z,100000,False,153.0,209.0,1,right,MISS S. Mykhailiuk 25' pullup 3PT,[1629004],1610612762.0,UTA,pullup,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Right Center,25.88,Missed,,,,,,,,,,,,,,,,,,
11,PT11M00.00S,2025-02-08T03:11:27.4Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,0,2,2025-02-08T03:35:29Z,110000,False,,,0,,W. Kessler REBOUND (Off:1 Def:0),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Right Center,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
161,PT11M00.00S,2025-02-08T03:11:29.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631117,93.64323258869908,50.98039215686274,1610612762,0,2,2025-02-08T03:36:04Z,115000,False,5.0,7.0,1,right,MISS W. Kessler tip Layup,[1631117],1610612762.0,UTA,tip,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,0.88,Missed,,,,,,,,,,,,,,,,,,
162,PT10M59.00S,2025-02-08T03:11:30.7Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612756,0,2,2025-02-08T03:36:04Z,117500,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,161.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M52.00S,2025-02-08T03:11:36.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628960,12.434296977660972,45.588235294117645,1610612756,0,2,2025-02-08T03:14:00Z,120000,False,22.0,64.0,1,left,MISS G. Allen 6' pullup Shot,[1628960],1610612756.0,PHX,pullup,,,Allen,G. Allen,,,,,In The Paint (Non-RA),0-8 Center,6.81,Missed,,,,,,,,,,,,,,,,,,
