actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-01T02:10:34.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-01T02:10:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-03-01T02:10:37.3Z,1,REGULAR,jumpball,recovered,[],1630208,,,1610612756,0,0,2025-03-01T02:10:37Z,40000,False,,,0,,Jump Ball B. Bol vs. Y. Missi: Tip to N. Richards,"[1630208, 1629626, 1642274]",1610612756.0,PHX,startperiod,N. Richards,1630208.0,Richards,N. Richards,Bol,1629626.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-03-01T02:10:55.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,14.536793692509855,57.59803921568627,1610612756,2,0,2025-03-01T02:11:02Z,70000,False,-38.0,84.0,1,left,K. Durant 9' fadeaway Jump Shot (2 PTS),[201142],1610612756.0,PHX,fadeaway,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,9.23,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2025-03-01T02:11:14.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642274,92.46057818659659,48.77450980392157,1610612740,2,0,2025-03-01T02:11:20Z,80000,False,-6.0,18.0,1,right,MISS Y. Missi driving DUNK,[1642274],1610612740.0,NOP,driving,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,1.94,Missed,,,,,,,,,,,,,,,,,,
9,PT11M16.00S,2025-03-01T02:11:17.6Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612740,2,0,2025-03-01T02:11:20Z,90000,False,,,0,,B. Brown REBOUND (Off:1 Def:0),[1628971],1610612740.0,NOP,,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M15.00S,2025-03-01T02:11:18.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1642274,93.77463863337714,50.0,1610612740,2,2,2025-03-01T02:11:23Z,100000,False,0.0,6.0,1,right,Y. Missi DUNK (2 PTS) (B. Brown 1 AST),"[1642274, 1628971]",1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,0.6,Made,2.0,,,,,B. Brown,1628971.0,1.0,,,,,,,,,,
12,PT10M57.00S,2025-03-01T02:11:36.2Z,1,REGULAR,3pt,Jump Shot,[],1629626,31.35676741130092,66.66666666666666,1610612756,2,2,2025-03-01T02:11:40Z,120000,False,-83.0,242.0,1,left,MISS B. Bol 25' pullup 3PT,[1629626],1610612756.0,PHX,pullup,,,Bol,B. Bol,,,,,Above the Break 3,24+ Left Center,25.62,Missed,,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2025-03-01T02:11:38.2Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612756,2,2,2025-03-01T02:11:40Z,130000,False,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Left Center,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,
14,PT10M55.00S,2025-03-01T02:11:41.5Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612756,2,2,2025-03-01T02:11:56Z,140000,False,,,0,,B. Brown shooting personal FOUL (1 PF) (Richards 2 FT),"[1628971, 1630208]",1610612740.0,NOP,shooting,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1199.0,1.0,0.0,Richards,1630208.0,,,,,
16,PT10M55.00S,2025-03-01T02:12:09.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630208,,,1610612756,3,2,2025-03-01T02:12:30Z,160000,False,,,0,,N. Richards Free Throw 1 of 2 (1 PTS),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
