actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-26T03:37:35.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-26T03:37:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-26T03:37:39.8Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612756,0,0,2024-12-26T03:37:39Z,40000,False,,,0,,Jump Ball J. Nurkić vs. N. Jokić: Tip to B. Beal,"[203078, 203994, 203999]",1610612756.0,PHX,startperiod,B. Beal,203078.0,Beal,B. Beal,Nurkić,203994.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-12-26T03:37:58.9Z,1,REGULAR,turnover,out-of-bounds,[],203078,,,1610612756,0,0,2024-12-26T03:38:05Z,70000,False,,,0,,B. Beal bad pass out-of-bounds TURNOVER (1 TO),[203078],1610612756.0,PHX,bad pass,,,Beal,B. Beal,,,,,Above the Break 3,24+ Right Center,1627962.0,1.0,,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2024-12-26T03:38:40.4Z,1,REGULAR,violation,kicked ball,[],203994,,,1610612743,0,0,2024-12-26T03:38:51Z,90000,False,,,0,,J. Nurkić kicked ball VIOLATION,[203994],1610612756.0,PHX,,,,Nurkić,J. Nurkić,,,,,,,1626301.0,,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2024-12-26T03:38:47.6Z,1,REGULAR,turnover,lost ball,[],1629008,,,1610612743,0,0,2024-12-26T03:39:50Z,100000,False,,,0,,M. Porter Jr. lost ball TURNOVER (1 TO),"[1629008, 203078]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,1.0,Beal,203078.0,,,,,,,,,,,,,,,,
11,PT11M15.00S,2024-12-26T03:38:47.6Z,1,REGULAR,steal,,[],203078,,,1610612756,0,0,2024-12-26T03:38:49Z,110000,False,,,0,,B. Beal STEAL (1 STL),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2024-12-26T03:38:50.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201142,92.85479632063075,49.754901960784316,1610612756,2,0,2024-12-26T03:39:14Z,120000,False,-1.0,15.0,1,right,K. Durant running DUNK (2 PTS) (B. Beal 1 AST),"[201142, 203078]",1610612756.0,PHX,running,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,,,1.47,Made,2.0,B. Beal,203078.0,1.0,,,,,,,,,,
14,PT11M01.00S,2024-12-26T03:39:01.6Z,1,REGULAR,3pt,Jump Shot,[],1627750,15.850854139290407,3.431372549019608,1610612743,2,0,2024-12-26T03:40:14Z,140000,False,233.0,96.0,1,left,MISS J. Murray 25' step back 3PT,[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,,,,,25.2,Missed,,,,,,,,,,,,,,
15,PT11M01.00S,2024-12-26T03:39:01.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,2,0,2024-12-26T03:39:17Z,150000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:1),[203994],1610612756.0,PHX,,,,Nurkić,J. Nurkić,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,
16,PT10M51.00S,2024-12-26T03:39:10.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,80.23981603153744,44.85294117647059,1610612756,2,0,2024-12-26T03:40:30Z,160000,False,-26.0,133.0,1,right,MISS B. Beal 13' pullup Shot,[203078],1610612756.0,PHX,pullup,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Center,,,,,13.57,Missed,,,,,,,,,,,,,,
