actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-26T02:10:25.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-26T02:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-26T02:10:28.2Z,1,REGULAR,jumpball,recovered,[],1642346,,,1610612756,0,0,2025-01-26T02:10:28Z,40000,False,,,0,,Jump Ball N. Richards vs. A. Sarr: Tip to R. Dunn,"[1642346, 1630208, 1642259]",1610612756.0,PHX,startperiod,R. Dunn,1642346.0,Dunn,R. Dunn,Richards,1630208.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-01-26T02:10:41.9Z,1,REGULAR,foul,offensive,[],1630208,,,1610612756,0,0,2025-01-26T02:10:51Z,70000,False,,,0,,N. Richards offensive FOUL (1 PF),"[1630208, 1628398]",1610612756.0,PHX,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,1193.0,1.0,0.0,Kuzma,1628398.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2025-01-26T02:10:41.9Z,1,REGULAR,turnover,offensive foul,[],1630208,,,1610612756,0,0,2025-01-26T02:10:41Z,90000,False,,,0,,N. Richards offensive foul TURNOVER (1 TO),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,1193.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M28.00S,2025-01-26T02:11:11.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628398,11.777266754270697,44.11764705882353,1610612764,0,2,2025-01-26T02:11:15Z,100000,False,29.0,58.0,1,left,K. Kuzma 6' turnaround Hook (2 PTS),[1628398],1610612764.0,WAS,turnaround,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,6.52,Made,2.0,,,,,,,,,,,
11,PT11M07.00S,2025-01-26T02:11:32.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642346,82.21090670170827,45.83333333333333,1610612756,0,2,2025-01-26T02:11:38Z,110000,False,-21.0,115.0,1,right,MISS R. Dunn 11' step back Shot,[1642346],1610612756.0,PHX,step back,,,Dunn,R. Dunn,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,11.66,Missed,,,,,,,,,,,,
12,PT11M03.00S,2025-01-26T02:11:36.5Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612756,0,2,2025-01-26T02:11:38Z,120000,False,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,
13,PT11M02.00S,2025-01-26T02:11:37.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626164,75.90341655716163,7.107843137254902,1610612756,0,2,2025-01-26T02:11:43Z,130000,False,-214.0,174.0,1,right,MISS D. Booker 27' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,,27.62,Missed,,,,,,,,,,,,
14,PT10M59.00S,2025-01-26T02:11:40.6Z,1,REGULAR,rebound,offensive,[],1642346,,,1610612756,0,2,2025-01-26T02:11:43Z,140000,False,,,0,,R. Dunn REBOUND (Off:1 Def:0),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,
15,PT10M57.00S,2025-01-26T02:11:43.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626145,74.32654402102497,86.27450980392157,1610612756,0,2,2025-01-26T02:11:48Z,150000,False,181.0,189.0,1,right,MISS T. Jones 26' 3PT,[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,26.18,Missed,,,,,,,,,,,,
