actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-09T02:10:36.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-09T02:10:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2025-02-09T02:10:39.8Z,1,REGULAR,jumpball,recovered,[],203999,,,1610612743,0,0,2025-02-09T02:10:39Z,40000,False,,,0,,Jump Ball N. Jokić vs. N. Richards: Tip to N. Jokić,"[203999, 203999, 1630208]",1610612743.0,DEN,startperiod,N. Jokić,203999.0,Jokić,N. Jokić,Jokić,203999.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-02-09T02:11:45.1Z,1,REGULAR,3pt,Jump Shot,[],1627750,30.042706964520367,67.40196078431373,1610612743,0,3,2025-02-09T02:11:48Z,80000,False,-87.0,230.0,1,left,J. Murray 24' 3PT  (3 PTS) (N. Jokić 1 AST),"[1627750, 203999]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,24.58,Made,3.0,N. Jokić,203999.0,1.0,,,,,,,,,,,,,,
10,PT11M19.00S,2025-02-09T02:12:07.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642346,84.31340341655716,51.470588235294116,1610612756,2,3,2025-02-09T02:12:12Z,100000,False,7.0,95.0,1,right,R. Dunn 9' driving floating Jump Shot (2 PTS) (R. O'Neale 1 AST),"[1642346, 1626220]",1610612756.0,PHX,driving floating,,,Dunn,R. Dunn,,,,,In The Paint (Non-RA),8-16 Center,9.53,Made,2.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,,,,,
12,PT11M10.00S,2025-02-09T02:12:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,5.732588699080158,46.81372549019608,1610612743,2,5,2025-02-09T02:12:19Z,120000,False,16.0,1.0,1,left,C. Braun Layup (2 PTS) (N. Jokić 2 AST),"[1631128, 203999]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,1.6,Made,2.0,N. Jokić,203999.0,2.0,,,,,,,,,,,,,,
14,PT11M01.00S,2025-02-09T02:12:25.4Z,1,REGULAR,2pt,Jump Shot,[],1626145,92.85479632063075,72.79411764705883,1610612756,2,5,2025-02-09T02:13:11Z,140000,False,114.0,15.0,1,right,MISS T. Jones 11' driving floating Shot,[1626145],1610612756.0,PHX,driving floating,,,Jones,T. Jones,,,,,Mid-Range,8-16 Right,11.49,Missed,,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2025-02-09T02:12:27.4Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612756,2,5,2025-02-09T02:13:11Z,150000,False,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,Mid-Range,8-16 Right,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,
17,PT10M51.00S,2025-02-09T02:12:50.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642346,89.17542706964521,3.431372549019608,1610612756,2,5,2025-02-09T02:12:56Z,170000,False,-233.0,49.0,1,right,MISS R. Dunn 3PT,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Left Corner 3,24+ Left,23.8,Missed,,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2025-02-09T02:12:54.7Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,2,5,2025-02-09T02:12:56Z,180000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Left Corner 3,24+ Left,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M36.00S,2025-02-09T02:13:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,6.521024967148489,51.9607843137255,1610612743,2,5,2025-02-09T02:14:03Z,190000,False,-10.0,9.0,1,left,MISS A. Gordon cutting Layup,[203932],1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.32,Missed,,,,,,,,,,,,,,,,,,
