actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-01T02:10:39.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-01T02:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-01T02:10:42.8Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2024-12-01T02:10:42Z,40000,False,,,0,,Jump Ball T. Jackson-Davis vs. M. Plumlee: Tip to D. Green,"[203110, 1631218, 203486]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Jackson-Davis,1631218.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-12-01T02:10:59.6Z,1,REGULAR,3pt,Jump Shot,[],203110,89.83245729303549,3.6764705882352944,1610612744,0,0,2024-12-01T02:11:03Z,70000,False,-232.0,43.0,1,right,MISS D. Green 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Left Corner 3,24+ Left,23.56,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-12-01T02:11:03.6Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612756,0,0,2024-12-01T02:11:03Z,80000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2024-12-01T02:11:05.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626164,7.046649145860711,52.94117647058824,1610612756,0,0,2024-12-01T02:11:10Z,90000,False,-15.0,14.0,1,left,MISS D. Booker running Layup - blocked,"[1626164, 1631218]",1610612756.0,PHX,running,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,2.01,Missed,,,,,Jackson-Davis,1631218.0,,,,,,,,,,,,
10,PT11M33.00S,2024-12-01T02:11:05.8Z,1,REGULAR,block,,[],1631218,,,1610612756,0,0,2024-12-01T02:11:08Z,100000,False,,,0,,T. Jackson-Davis BLOCK (1 BLK),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2024-12-01T02:11:08.8Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,0,0,2024-12-01T02:11:10Z,110000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M24.00S,2024-12-01T02:11:14.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",203952,80.1084099868594,64.95098039215686,1610612744,0,0,2024-12-01T02:11:22Z,120000,False,75.0,134.0,1,right,MISS A. Wiggins 15' running pullup Shot,[203952],1610612744.0,GSW,running pullup,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,15.39,Missed,,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2024-12-01T02:11:18.8Z,1,REGULAR,rebound,offensive,[],1631218,,,1610612744,0,0,2024-12-01T02:11:18Z,130000,False,,,0,,T. Jackson-Davis REBOUND (Off:1 Def:0),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M19.00S,2024-12-01T02:11:19.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201939,63.288436268068324,33.33333333333333,1610612744,0,0,2024-12-01T02:11:24Z,140000,False,-83.0,293.0,1,right,MISS S. Curry 30' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,30.42,Missed,,,,,,,,,,,,,,,,,,
