actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-31T01:10:28.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-31T01:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-31T01:10:31.7Z,1,REGULAR,jumpball,recovered,[],1642346,,,1610612756,0,0,2025-03-31T01:10:31Z,40000,False,,,0,,Jump Ball N. Richards vs. A. Sengun: Tip to R. Dunn,"[1642346, 1630208, 1630578]",1610612756.0,PHX,startperiod,R. Dunn,1642346.0,Dunn,R. Dunn,Richards,1630208.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-03-31T01:10:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,6.652431011826544,51.71568627450981,1610612756,2,0,2025-03-31T01:11:01Z,70000,False,-9.0,10.0,1,left,D. Booker driving reverse Layup (2 PTS),[1626164],1610612756.0,PHX,driving reverse,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,1.32,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2025-03-31T01:11:07.2Z,1,REGULAR,foul,personal,[],1626164,,,1610612745,2,0,2025-03-31T01:11:48Z,80000,False,,,0,,D. Booker personal FOUL (1 PF),"[1626164, 1628415]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,,,,203593.0,1.0,0.0,Brooks,1628415.0,,,,,,,,,,,,
10,PT11M13.00S,2025-03-31T01:11:31.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,85.23324572930355,36.029411764705884,1610612745,2,0,2025-03-31T01:11:36Z,100000,False,-70.0,86.0,1,right,MISS A. Sengun 11' Jump Shot,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Left,11.11,Missed,,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2025-03-31T01:11:34.7Z,1,REGULAR,rebound,defensive,[],1631221,,,1610612756,2,0,2025-03-31T01:11:36Z,110000,False,,,0,,C. Gillespie REBOUND (Off:0 Def:1),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT10M58.00S,2025-03-31T01:11:47.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631221,5.863994743758213,49.50980392156863,1610612756,2,0,2025-03-31T01:11:57Z,120000,False,2.0,3.0,1,left,MISS C. Gillespie driving reverse Layup - blocked,"[1631221, 1628415]",1610612756.0,PHX,driving reverse,,,Gillespie,C. Gillespie,,,,,Restricted Area,0-8 Center,0.36,Missed,,,,,,,,,,,Brooks,1628415.0,,,,,,
13,PT10M58.00S,2025-03-31T01:11:47.2Z,1,REGULAR,block,,[],1628415,,,1610612756,2,0,2025-03-31T01:11:49Z,130000,False,,,0,,D. Brooks BLOCK (1 BLK),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2025-03-31T01:11:50.2Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,2,0,2025-03-31T01:11:57Z,140000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
15,PT10M52.00S,2025-03-31T01:11:53.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628415,69.59592641261499,71.32352941176471,1610612745,2,3,2025-03-31T01:12:50Z,150000,False,107.0,233.0,1,right,D. Brooks 25' 3PT running (3 PTS) (A. Thompson 1 AST),"[1628415, 1641708]",1610612745.0,HOU,running,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,25.65,Made,3.0,,,,,,,,,,,,A. Thompson,1641708.0,1.0,,,
17,PT10M31.00S,2025-03-31T01:12:13.5Z,1,REGULAR,2pt,Jump Shot,[],201142,11.251642575558476,25.735294117647058,1610612756,2,3,2025-03-31T01:13:13Z,170000,False,121.0,53.0,1,left,MISS K. Durant 13' pullup Shot,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,13.25,Missed,,,,,,,,,,,,,,,,,,
18,PT10M28.00S,2025-03-31T01:12:16.5Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,3,2025-03-31T01:12:19Z,180000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Right,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT10M19.00S,2025-03-31T01:12:26.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,87.72996057818659,50.98039215686274,1610612745,2,5,2025-03-31T01:12:33Z,190000,False,5.0,63.0,1,right,D. Brooks 6' driving floating Jump Shot (5 PTS) (A. Thompson 2 AST),"[1628415, 1641708]",1610612745.0,HOU,driving floating,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,6.3,Made,5.0,,,,,,,,,,,,A. Thompson,1641708.0,2.0,,,
21,PT10M02.00S,2025-03-31T01:12:43.3Z,1,REGULAR,turnover,bad pass,[],1642346,,,1610612756,2,5,2025-03-31T01:12:47Z,210000,False,,,0,,R. Dunn bad pass TURNOVER (1 TO),"[1642346, 1630578]",1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Sengun,1630578.0
22,PT10M02.00S,2025-03-31T01:12:43.3Z,1,REGULAR,steal,,[],1630578,,,1610612745,2,5,2025-03-31T01:12:45Z,220000,False,,,0,,A. Sengun STEAL (1 STL),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
23,PT09M58.00S,2025-03-31T01:12:47.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630578,94.69448094612353,47.30392156862745,1610612745,2,7,2025-03-31T01:12:53Z,230000,False,-13.0,-3.0,1,right,A. Sengun running DUNK (2 PTS) (D. Brooks 1 AST),"[1630578, 1628415]",1610612745.0,HOU,running,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.37,Made,2.0,,,,,,,,,,,,D. Brooks,1628415.0,1.0,,,
25,PT09M50.00S,2025-03-31T01:12:55.1Z,1,REGULAR,3pt,Jump Shot,[],1626164,30.824983574244413,65.21905637254902,1610612756,5,7,2025-03-31T01:14:24Z,250000,False,-76.0,237.0,1,left,D. Booker 24' 3PT pullup (5 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,24.92,Made,5.0,,,,,,,,,,,,,,,,,
26,PT09M32.00S,2025-03-31T01:13:13.4Z,1,REGULAR,2pt,Jump Shot,[],1630224,78.0059132720105,24.509803921568626,1610612745,5,7,2025-03-31T01:27:41Z,260000,False,-127.0,154.0,1,right,MISS J. Green 20' step back Shot,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,20.01,Missed,,,,,,,,,,,,,,,,,,
27,PT09M28.00S,2025-03-31T01:13:17.4Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,5,7,2025-03-31T01:13:18Z,270000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Left Center,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,
28,PT09M25.00S,2025-03-31T01:13:20.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,32.276609724047304,40.931372549019606,1610612756,5,7,2025-03-31T01:15:16Z,280000,False,45.0,251.0,1,left,MISS D. Booker 25' running 3PT,[1626164],1610612756.0,PHX,running,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,25.5,Missed,,,,,,,,,,,,,,,,,,
29,PT09M22.00S,2025-03-31T01:13:23.3Z,1,REGULAR,rebound,offensive,[],201142,,,1610612756,5,7,2025-03-31T01:13:23Z,290000,False,,,0,,K. Durant REBOUND (Off:1 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,,,,,,,,,28.0,2.0,1.0,1.0,,,,,,,,
30,PT09M20.00S,2025-03-31T01:13:25.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201142,14.273981603153747,43.13725490196079,1610612756,7,7,2025-03-31T01:15:19Z,300000,False,34.0,82.0,1,left,K. Durant 8' driving floating Jump Shot (2 PTS),[201142],1610612756.0,PHX,driving floating,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,8.86,Made,2.0,,,,,,,,,,,,,,,,,
31,PT09M00.00S,2025-03-31T01:13:44.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628415,81.68528252299606,45.34313725490196,1610612745,7,7,2025-03-31T01:15:36Z,310000,False,-23.0,120.0,1,right,MISS D. Brooks 12' driving Hook,[1628415],1610612745.0,HOU,driving,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,12.19,Missed,,,,,,,,,,,,,,,,,,
32,PT08M58.00S,2025-03-31T01:13:46.2Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612756,7,7,2025-03-31T01:13:49Z,320000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,
33,PT08M46.00S,2025-03-31T01:13:59.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,16.507884362680684,63.23529411764706,1610612756,9,7,2025-03-31T01:14:04Z,330000,False,-66.0,103.0,1,left,K. Durant 12' pullup Jump Shot (4 PTS) (C. Gillespie 1 AST),"[201142, 1631221]",1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Left,12.22,Made,4.0,,,,,,,,,,,,C. Gillespie,1631221.0,1.0,,,
35,PT08M35.00S,2025-03-31T01:14:09.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641708,95.22010512483574,50.73529411764706,1610612745,9,9,2025-03-31T01:14:18Z,350000,False,4.0,-8.0,1,right,A. Thompson driving DUNK (2 PTS),[1641708],1610612745.0,HOU,driving,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,0.85,Made,2.0,,,,,,,,,,,,,,,,,
