actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-12T02:10:14.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-12T02:10:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-04-12T02:10:18.9Z,1,REGULAR,jumpball,recovered,[],201942,,,1610612758,0,0,2025-04-12T02:10:18Z,40000,False,,,0,,Jump Ball D. Sabonis vs. I. Zubac: Tip to D. DeRozan,"[201942, 1627734, 1627826]",1610612758.0,SAC,startperiod,D. DeRozan,201942.0,DeRozan,D. DeRozan,Sabonis,1627734.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-04-12T02:10:28.4Z,1,REGULAR,3pt,Jump Shot,[],203897,65.93503613666229,25.222120098039213,1610612758,0,0,2025-04-12T02:10:47Z,70000,False,-124.0,268.0,1,right,MISS Z. LaVine 29' 3PT,[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,29.5,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-04-12T02:10:31.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,0,0,2025-04-12T02:10:47Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Above the Break 3,24+ Left Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2025-04-12T02:10:48.8Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612746,0,0,2025-04-12T02:11:17Z,100000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1627734]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,,,,1.0,Sabonis,1627734.0,,,,,,,,,,,,,,
11,PT11M34.00S,2025-04-12T02:10:48.8Z,1,REGULAR,steal,,[],1627734,,,1610612758,0,0,2025-04-12T02:10:50Z,110000,False,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
12,PT11M28.00S,2025-04-12T02:10:54.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1631099,77.39816031537451,9.290747549019613,1610612758,0,0,2025-04-12T02:11:29Z,120000,False,-204.0,160.0,1,right,MISS K. Murray 25' running 3PT,[1631099],1610612758.0,SAC,running,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,25.89,Missed,,,,,,,,,,,,,,,,,,
13,PT11M26.00S,2025-04-12T02:10:56.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2025-04-12T02:11:29Z,130000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Left Center,,,12.0,,,,1.0,1.0,0.0,,,,,,,,,,,
14,PT11M16.00S,2025-04-12T02:11:06.5Z,1,REGULAR,2pt,Jump Shot,[],201935,11.169513797634693,74.11151960784314,1610612746,0,2,2025-04-12T02:11:43Z,140000,False,-121.0,52.0,1,left,J. Harden 13' driving floating bank Jump Shot (2 PTS),[201935],1610612746.0,LAC,driving floating bank,,,Harden,J. Harden,,,,,Mid-Range,8-16 Left,13.15,Made,,,,,,,,2.0,,,,,,,,,,
15,PT11M02.00S,2025-04-12T02:11:21.1Z,1,REGULAR,foul,personal,['2freethrow'],1626181,,,1610612758,0,2,2025-04-12T02:11:53Z,150000,False,,,0,,N. Powell shooting personal FOUL (1 PF) (Murray 2 FT),"[1626181, 1631099]",1610612746.0,LAC,shooting,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202007.0,1.0,0.0,Murray,1631099.0,,,,,
17,PT11M02.00S,2025-04-12T02:11:48.5Z,1,REGULAR,freethrow,1 of 2,[],1631099,,,1610612758,1,2,2025-04-12T02:11:48Z,170000,False,,,0,,K. Murray Free Throw 1 of 2 (1 PTS),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
18,PT11M02.00S,2025-04-12T02:12:00.8Z,1,REGULAR,freethrow,2 of 2,[],1631099,,,1610612758,2,2,2025-04-12T02:12:00Z,180000,False,,,0,,K. Murray Free Throw 2 of 2 (2 PTS),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
19,PT10M41.00S,2025-04-12T02:12:24.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,6.438896189224707,62.51148897058824,1610612746,2,4,2025-04-12T02:12:47Z,190000,False,-63.0,8.0,1,left,N. Powell 6' driving Layup (2 PTS),[1626181],1610612746.0,LAC,driving,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,6.31,Made,,,,,,,,2.0,,,,,,,,,,
20,PT10M23.00S,2025-04-12T02:12:43.0Z,1,REGULAR,2pt,Jump Shot,[],1627734,75.29566360052563,42.37898284313726,1610612758,4,4,2025-04-12T02:12:59Z,200000,False,-38.0,180.0,1,right,D. Sabonis 18' Jump Shot (2 PTS) (K. Murray 1 AST),"[1627734, 1631099]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Center,18.37,Made,,,,,,,,2.0,,,,,,K. Murray,1631099.0,1.0,,
23,PT10M08.00S,2025-04-12T02:13:07.2Z,1,REGULAR,foul,personal,[],203897,,,1610612746,4,4,2025-04-12T02:13:35Z,230000,False,,,0,,Z. LaVine personal FOUL (1 PF),"[203897, 202695]",1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,1628480.0,1.0,0.0,Leonard,202695.0,,,,,
25,PT10M07.00S,2025-04-12T02:13:19.0Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612746,4,4,2025-04-12T02:14:13Z,250000,False,,,0,,J. Harden bad pass TURNOVER (2 TO),"[201935, 1631099]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,,,,2.0,Murray,1631099.0,,,,,,,,,,,,,,
