actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-17T03:10:13.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-17T03:10:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-17T03:10:16.8Z,1,REGULAR,jumpball,recovered,[],1641718,,,1610612762,0,0,2024-11-17T03:10:16Z,40000,False,,,0,,Jump Ball K. Filipowski vs. K. Murray: Tip to K. George,"[1641718, 1642271, 1631099]",1610612762.0,UTA,startperiod,K. George,1641718.0,George,K. George,Filipowski,1642271.0,Murray,1631099.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-11-17T03:10:34.4Z,1,REGULAR,turnover,bad pass,[],1628374,,,1610612762,0,0,2024-11-17T03:19:02Z,70000,False,,,0,,L. Markkanen bad pass TURNOVER (1 TO),"[1628374, 203926]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Mid-Range,16-24 Right,1.0,McDermott,203926.0,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-11-17T03:10:34.4Z,1,REGULAR,steal,,[],203926,,,1610612758,0,0,2024-11-17T03:19:11Z,80000,False,,,0,,D. McDermott STEAL (1 STL),[203926],1610612758.0,SAC,,,,McDermott,D. McDermott,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M29.00S,2024-11-17T03:10:43.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628368,86.28449408672799,44.6078431372549,1610612758,2,0,2024-11-17T03:11:34Z,90000,False,-27.0,76.0,1,right,D. Fox 8' driving floating Jump Shot (2 PTS),[1628368],1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,,,,8.1,Made,2.0,,,,,,,,,,,,,,
10,PT11M07.00S,2024-11-17T03:11:04.5Z,1,REGULAR,3pt,Jump Shot,[],1628381,11.12023653088042,2.941176470588235,1610612762,2,0,2024-11-17T03:11:14Z,100000,False,235.0,52.0,1,left,MISS J. Collins 24' 3PT,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,,,,24.1,Missed,,,,,,,,,,,,,,,
11,PT11M06.00S,2024-11-17T03:11:05.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,2,0,2024-11-17T03:11:28Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,10.0,,,,,,,,,,,,,
13,PT10M54.00S,2024-11-17T03:11:44.7Z,1,REGULAR,3pt,Jump Shot,[],203926,68.80749014454665,37.00980392156863,1610612758,5,0,2024-11-17T03:11:49Z,130000,False,-65.0,241.0,1,right,D. McDermott 24' 3PT  (3 PTS) (D. Fox 1 AST),"[203926, 1628368]",1610612758.0,SAC,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Center,,,,24.93,Made,3.0,,D. Fox,1628368.0,1.0,,,,,,,,,,
15,PT10M40.00S,2024-11-17T03:12:00.8Z,1,REGULAR,foul,personal,['2freethrow'],203926,,,1610612762,5,0,2024-11-17T03:12:08Z,150000,False,,,0,,D. McDermott shooting personal FOUL (1 PF) (Markkanen 2 FT),"[203926, 1628374]",1610612758.0,SAC,shooting,,,McDermott,D. McDermott,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1629178.0,1.0,0.0,Markkanen,1628374.0,,,,,
17,PT10M40.00S,2024-11-17T03:12:22.3Z,1,REGULAR,freethrow,1 of 2,[],1628374,,,1610612762,5,1,2024-11-17T03:12:22Z,170000,False,,,0,,L. Markkanen Free Throw 1 of 2 (1 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
